;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;56;3;50;2;3;3;6;0,02;0,05;CINF;12,629530530975307;0,8559414375078193;-14,656359521314707;43,333333333333336;6,850837143260475;6,910151557837945;2,9033435772327016;8,571428571428573;6,549655242016941
1;56;3;50;2;3;4;6;0,02;0,05;CINF;16,986358821010406;1,1048303710195533;-10,890835161499536;37,333333333333336;10,000000000000002;10,000000000000002;8,733697682533228;4,897959183673471;9,090236695172388
2;56;3;100;2;3;3;6;0,02;0,05;CINF;9,578448906560906;0,676214338194795;-14,849244130735824;41,0;4,645482172888457;4,6789173683898575;2,604690463634759;7,142857142857144;4,720261265990999
3;56;3;100;2;3;4;6;0,02;0,05;CINF;10,485192833013022;0,7620126982029815;-13,856848135014916;35,666666666666664;5,300886541311283;5,744066892198861;4,1412679797656615;3,8775510204081627;5,058516058357914
4;56;4;50;2;3;3;6;0,02;0,05;CINF;9,234743939242819;0,7130471648009556;-16,531479071093603;38,0;4,397048485650744;5,136180977115575;0,0;5,306122448979593;4,109947122880425
5;56;4;50;2;3;4;6;0,02;0,05;CINF;11,938747535042745;0,9625917267150722;-10,599046952751737;30,0;6,351531683407122;8,23416876227354;9,185488301366064;0,4081632653061232;6,44522630592009
6;56;4;100;2;3;3;6;0,02;0,05;CINF;7,879596714821783;0,6666386508188276;-14,677355443250184;35,0;3,417533338285135;4,560039351983922;2,8708345166202025;3,469387755102042;3,6732715700779273
7;56;4;100;2;3;4;6;0,02;0,05;CINF;11,659832884195417;0,9487432041037528;-10,072995946729277;29,666666666666668;6,149929141333607;8,062245344815473;10,0;0,2040816326530627;6,396908535183547
8;63;3;50;2;3;3;6;0,02;0,05;CINF;5,979904998938797;0,4105769035278494;-13,689216336139458;45,666666666666664;2,04441551204501;1,3811435296551189;4,400820874226398;10,0;3,3280506385245237
9;63;3;50;2;3;4;6;0,02;0,05;CINF;8,154852034076265;0,605467462619436;-14,629630867054084;38,333333333333336;3,6164908756980245;3,8006255126611657;2,9447289207350953;5,510204081632655;3,843665236397736
10;63;3;100;2;3;3;6;0,02;0,05;CINF;12,774723190446508;0,8544941552675148;-13,297463212946104;40,333333333333336;6,9557839761030085;6,892184174907426;5,007392286816273;6,734693877551023;6,627686634641596
11;63;3;100;2;3;4;6;0,02;0,05;CINF;8,672758047607447;0,6485510944732503;-13,186600591558273;36,666666666666664;3,9908389731029135;4,335490164487542;5,179046558033004;4,489795918367346;4,330334246383453
12;63;4;50;2;3;3;6;0,02;0,05;CINF;5,389654500617561;0,3957999592915426;-14,935996214932693;37,666666666666664;1,617776034483626;1,1976941593506911;2,4703677712527035;5,10204081632653;2,1173035728187846
13;63;4;50;2;3;4;6;0,02;0,05;CINF;5,974062329073893;0,5120136667888536;-16,204410664759006;29,333333333333332;2,040192366743454;2,640437064798168;0,5064167545793322;0,0;1,70112399777229
14;63;4;100;2;3;3;6;0,02;0,05;CINF;6,039778990515006;0,5032384569259092;-16,34163440452845;32,0;2,087693084123715;2,5314966304361657;0,2939462144740674;1,6326530612244907;1,8932388269917193
15;63;4;100;2;3;4;6;0,02;0,05;CINF;3,1514811464212755;0,2993250584755523;-15,036511320802042;30,333333333333332;0,0;0,0;2,3147350879525646;0,6122448979591837;0,4181399979873926
