;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;56;3;50;2;3;3;6;0,02;0,05;HES;26,220338237999794;1,180776498877958;-18,22586787113141;53,666666666666664;10,0;9,01231671015024;6,72345215611671;9,552238805970148;9,185760626055332
1;56;3;50;2;3;4;6;0,02;0,05;HES;18,129813875400885;0,9905379088680895;-17,386533973789025;48,666666666666664;5,538890353823039;6,392934442317534;7,684173191041314;7,313432835820895;6,342877996138056
2;56;3;100;2;3;3;6;0,02;0,05;HES;22,518235527394015;1,2525092424124835;-16,141254646342407;44,666666666666664;7,958663076305716;10,0;9,109548775207315;5,522388059701491;8,358275151975137
3;56;3;100;2;3;4;6;0,02;0,05;HES;18,693196691161273;1,0355261504647124;-15,399594947497086;43,333333333333336;5,849539256321572;7,012374495426921;9,958469658413216;4,9253731343283595;6,636744221794305
4;56;4;50;2;3;3;6;0,02;0,05;HES;19,277053473614142;1,0464723437869867;-15,36331196607498;43,0;6,17147749016797;7,163091890289587;10,0;4,776119402985074;6,802390807724023
5;56;4;50;2;3;4;6;0,02;0,05;HES;13,17921591554923;0,8313772001230353;-15,822609243985008;38,666666666666664;2,8091339964806052;4,201461417833628;9,474277689047298;2,8358208955223865;4,162917629954108
6;56;4;100;2;3;3;6;0,02;0,05;HES;14,258460370193575;0,8833905795957855;-15,592585446842554;39,666666666666664;3,4042286567790248;4,917630118799652;9,737568259281279;3,283582089552237;4,724156650967127
7;56;4;100;2;3;4;6;0,02;0,05;HES;12,652074419339561;0,7990978893702811;-16,381982515134563;35,333333333333336;2,518468533001833;3,7570097731949694;8,834006076439303;1,3432835820895526;3,606673543417756
8;63;3;50;2;3;3;6;0,02;0,05;HES;25,36891837313063;1,165626267134621;-20,872238424456;54,666666666666664;9,53052766398266;8,803714194856182;3,6943550770708478;10,0;8,55619520839017
9;63;3;50;2;3;4;6;0,02;0,05;HES;14,53702446164325;0,8379811655658717;-17,247828154374506;45,0;3,5578287078695916;4,292390970967134;7,842939087188151;5,6716417910447765;4,681835563396567
10;63;3;100;2;3;3;6;0,02;0,05;HES;20,613401357214226;1,1140598940750348;-15,562593999858654;43,333333333333336;6,908338806813393;8,093700294933358;9,771897164710325;4,9253731343283595;7,372812472763655
11;63;3;100;2;3;4;6;0,02;0,05;HES;16,339380584238885;0,9523989777364278;-22,475232925010747;38,0;4,551646651429266;5,867802081342903;1,8595304138138737;2,5373134328358202;4,255341137660471
12;63;4;50;2;3;3;6;0,02;0,05;HES;14,741145950696591;0,8542844532510149;-22,64687675886452;41,0;3,6703811584891644;4,516869835468938;1,6630629028262238;3,880597014925373;3,6555061520224235
13;63;4;50;2;3;4;6;0,02;0,05;HES;8,3694099393734;0,5335373357088277;-20,278001400093057;34,0;0,1570102434455214;0,10052448668941853;4,374532549759767;0,746268656716417;0,8275544157416551
14;63;4;100;2;3;3;6;0,02;0,05;HES;14,836596041995861;0,9402071983581776;-15,563684257215172;38,0;3,7230122740930067;5,699934296394221;9,77064923086754;2,5373134328358202;4,982409725538689
15;63;4;100;2;3;4;6;0,02;0,05;HES;8,08466123321636;0,5262365164110457;-24,099811603644117;32,333333333333336;0,0;0,0;0,0;0,0;0,0
