;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;56;3;50;2;3;3;6;0,02;0,05;K;in_sample_1_1x;14,707667665475267;0,8835166587133929;-13,695710377211046;50,0
1;56;3;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;9,599828208124128;0,6559769275154926;-13,462047891467932;40,0
2;56;4;50;2;3;3;6;0,02;0,05;K;in_sample_1_1x;10,577257089497927;0,700871210899946;-13,695705488687848;39,0
3;56;4;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;5,712902956733612;0,43954860471995577;-13,23381101673229;35,0
4;63;3;50;2;3;3;6;0,02;0,05;K;in_sample_1_1x;9,296666490315264;0,603906962630596;-16,991904666478764;52,0
5;63;3;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;6,974802313477291;0,51225475389667;-20,724299229893827;42,0
6;63;4;50;2;3;3;6;0,02;0,05;K;in_sample_1_1x;12,960545247094025;0,9103592654766308;-8,573396934266897;39,0
7;63;4;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;9,83018131296063;0,8225408440675797;-11,081937438425626;29,0
8;56;3;50;2;3;4;6;0,02;0,05;K;in_sample_1_1x;16,629023570447288;1,0150151386792645;-13,067165673792536;44,0
9;56;3;100;2;3;4;6;0,02;0,05;K;in_sample_1_1x;7,504931003794968;0,5568571149696896;-10,663708815688455;35,0
10;56;4;50;2;3;4;6;0,02;0,05;K;in_sample_1_1x;6,2118076027817715;0,43747536362733336;-22,957207977756944;35,0
11;56;4;100;2;3;4;6;0,02;0,05;K;in_sample_1_1x;4,847436299422392;0,39421525034697324;-12,517169014166829;31,0
12;63;3;50;2;3;4;6;0,02;0,05;K;in_sample_1_1x;4,981495108053435;0,3651535153438584;-19,80937677507133;42,0
13;63;3;100;2;3;4;6;0,02;0,05;K;in_sample_1_1x;6,7770784205192;0,5346747700101282;-18,654454706138544;36,0
14;63;4;50;2;3;4;6;0,02;0,05;K;in_sample_1_1x;9,451905287191265;0,7985618883223696;-10,81469262867991;33,0
15;63;4;100;2;3;4;6;0,02;0,05;K;in_sample_1_1x;6,138242175409592;0,5538715286979339;-11,31271163260925;31,0
