;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;21;1;50;2;2;3;6;0,01;0,05;AFL;3,749516466452289
1;21;1;50;2;2;3;6;0,01;0,06;AFL;4,022970145307175
2;21;1;50;2;2;3;6;0,01;0,07;AFL;3,041066717830172
3;21;1;50;2;2;3;6;0,02;0,05;AFL;4,890583238878252
4;21;1;50;2;2;3;6;0,02;0,06;AFL;4,739552164940474
5;21;1;50;2;2;3;6;0,02;0,07;AFL;3,3811839560755077
6;21;1;50;2;2;3;6;0,03;0,05;AFL;5,333505519558562
7;21;1;50;2;2;3;6;0,03;0,06;AFL;4,761956424000471
8;21;1;50;2;2;3;6;0,03;0,07;AFL;3,67084707873909
9;21;1;60;2;2;3;6;0,01;0,05;AFL;5,615442621960389
10;21;1;60;2;2;3;6;0,01;0,06;AFL;6,034020860547711
11;21;1;60;2;2;3;6;0,01;0,07;AFL;4,663005683666428
12;21;1;60;2;2;3;6;0,02;0,05;AFL;5,323121401150347
13;21;1;60;2;2;3;6;0,02;0,06;AFL;5,376634511174821
14;21;1;60;2;2;3;6;0,02;0,07;AFL;3,8170869509119827
15;21;1;60;2;2;3;6;0,03;0,05;AFL;5,065844253054354
16;21;1;60;2;2;3;6;0,03;0,06;AFL;5,233667008821174
17;21;1;60;2;2;3;6;0,03;0,07;AFL;3,6938340439365724
18;21;1;70;2;2;3;6;0,01;0,05;AFL;5,679234531796235
19;21;1;70;2;2;3;6;0,01;0,06;AFL;6,114380015935595
20;21;1;70;2;2;3;6;0,01;0,07;AFL;4,466707297316864
21;21;1;70;2;2;3;6;0,02;0,05;AFL;6,818970924398016
22;21;1;70;2;2;3;6;0,02;0,06;AFL;6,242032082648711
23;21;1;70;2;2;3;6;0,02;0,07;AFL;4,801957407711409
24;21;1;70;2;2;3;6;0,03;0,05;AFL;7,127050539267091
25;21;1;70;2;2;3;6;0,03;0,06;AFL;6,820772932829189
26;21;1;70;2;2;3;6;0,03;0,07;AFL;5,072843252664203
