;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;21;1;50;2;2;3;6;0,01;0,05;BEN;7,972535517147766
1;21;1;50;2;2;3;6;0,01;0,06;BEN;7,303832485974496
2;21;1;50;2;2;3;6;0,01;0,07;BEN;7,787684842857696
3;21;1;50;2;2;3;6;0,02;0,05;BEN;6,06522150581508
4;21;1;50;2;2;3;6;0,02;0,06;BEN;5,909177886694755
5;21;1;50;2;2;3;6;0,02;0,07;BEN;5,6617296436368205
6;21;1;50;2;2;3;6;0,03;0,05;BEN;5,80884340903732
7;21;1;50;2;2;3;6;0,03;0,06;BEN;5,872738847471949
8;21;1;50;2;2;3;6;0,03;0,07;BEN;5,901092758369948
9;21;1;60;2;2;3;6;0,01;0,05;BEN;5,824846794132899
10;21;1;60;2;2;3;6;0,01;0,06;BEN;5,754942867948778
11;21;1;60;2;2;3;6;0,01;0,07;BEN;6,297799635988672
12;21;1;60;2;2;3;6;0,02;0,05;BEN;4,163470321187953
13;21;1;60;2;2;3;6;0,02;0,06;BEN;4,098510158012741
14;21;1;60;2;2;3;6;0,02;0,07;BEN;5,003266035704916
15;21;1;60;2;2;3;6;0,03;0,05;BEN;3,856381775058483
16;21;1;60;2;2;3;6;0,03;0,06;BEN;3,972317266094469
17;21;1;60;2;2;3;6;0,03;0,07;BEN;4,212425919101575
18;21;1;70;2;2;3;6;0,01;0,05;BEN;5,243202100538604
19;21;1;70;2;2;3;6;0,01;0,06;BEN;4,379651132624365
20;21;1;70;2;2;3;6;0,01;0,07;BEN;4,917258695825725
21;21;1;70;2;2;3;6;0,02;0,05;BEN;4,16390351018694
22;21;1;70;2;2;3;6;0,02;0,06;BEN;3,203912297827056
23;21;1;70;2;2;3;6;0,02;0,07;BEN;4,0754141562251025
24;21;1;70;2;2;3;6;0,03;0,05;BEN;4,047584902764385
25;21;1;70;2;2;3;6;0,03;0,06;BEN;3,4428109315808713
26;21;1;70;2;2;3;6;0,03;0,07;BEN;4,1384742068444975
