;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;14;1;50;2;2;4;6;0,01;0,05;DHR;in_sample_1_2x;52,24336599316215;1,7719521763364183;-11,965289177582905;127,0;32,28076327239695;1,1638246224247903;-18,301683092908327;91,0;59,756227761392424;1,8097983985625292;-10,031786902847484;127,0;7,2656106428194;9,414121383496518;7,661999340379634;10,0;8,326724862261553
27;14;1;50;2;2;4;6;0,01;0,05;DHR;in_sample_2_2x;26,49867879768626;1,1297688637767198;-17,197898651996148;147,0;9,736213219853296;0,4586210704330489;-37,76788881016289;100,0;28,197229224568467;1,15611149706502;-14,800943222259221;147,0;9,079925814241005;9,622322654441254;8,956345579100704;10,0;9,348681190100889
54;14;1;50;2;2;4;6;0,01;0,05;DHR;in_sample_3_2x;14,632034936491213;0,9183817836048453;-20,17628563456164;68,0;9,649902246834575;0,6820638698508241;-20,176312238668448;48,0;20,2783844952529;1,3548743375731154;-11,32527209482691;68,0;4,687529765031176;3,512399480852959;3,005760495373784e-05;10,0;4,441059759200629
81;14;1;50;2;2;4;6;0,01;0,05;DHR;out_of_sample_val_1;2,0814810591517796;0,1566161118290684;-11,128375214466358;29,0;-7,551707192610458;-0,629769567330053;-21,56817268171929;19,0;3,560374659605725;0,2600727670381578;-7,940894634818163;29,0;8,669112034880309;8,837359707295297;7,660955791260871;10,0;8,763287330070343
108;14;1;50;2;2;4;6;0,01;0,05;DHR;out_of_sample_val_2;25,55434342676932;1,144060035667283;-10,78858987224124;57,0;16,65613616192769;0,8486047339669031;-14,00744711086972;40,0;37,411081840867546;1,4819153016641617;-8,261456558872293;57,0;4,287270804023682;4,665251406978201;5,601918780582642;10,0;5,399176286658585
1;14;1;50;2;2;4;6;0,01;0,06;DHR;in_sample_1_2x;59,756227761392424;1,8097983985625292;-10,031786902847484;116,0;32,28076327239695;1,1638246224247903;-18,301683092908327;91,0;59,756227761392424;1,8097983985625292;-10,031786902847484;127,0;10,0;10,0;10,0;6,944444444444445;9,563492063492063
28;14;1;50;2;2;4;6;0,01;0,06;DHR;in_sample_2_2x;28,197229224568467;1,15611149706502;-20,368195914402943;135,0;9,736213219853296;0,4586210704330489;-37,76788881016289;100,0;28,197229224568467;1,15611149706502;-14,800943222259221;147,0;10,0;10,0;7,575971662911977;7,446808510638298;9,288968596221467
55;14;1;50;2;2;4;6;0,01;0,06;DHR;in_sample_3_2x;13,646683008867644;0,8561093628887995;-20,176312238668448;67,0;9,649902246834575;0,6820638698508241;-20,176312238668448;48,0;20,2783844952529;1,3548743375731154;-11,32527209482691;68,0;3,7604435596887305;2,5868428240598393;0,0;9,5;3,7078594753122673
82;14;1;50;2;2;4;6;0,01;0,06;DHR;out_of_sample_val_1;2,0814810591517796;0,1566161118290684;-11,128375214466358;29,0;-7,551707192610458;-0,629769567330053;-21,56817268171929;19,0;3,560374659605725;0,2600727670381578;-7,940894634818163;29,0;8,669112034880309;8,837359707295297;7,660955791260871;10,0;8,763287330070343
109;14;1;50;2;2;4;6;0,01;0,06;DHR;out_of_sample_val_2;27,573314716002773;1,157644544824695;-12,771291263829088;55,0;16,65613616192769;0,8486047339669031;-14,00744711086972;40,0;37,411081840867546;1,4819153016641617;-8,261456558872293;57,0;5,2600371607586505;4,879751367192126;2,1513363724743995;8,823529411764707;5,216354285842759
