;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;28;1;50;2;2;3;6;0,01;0,05;FDX;in_sample_1_2x;32,55840770211229;1,2947659525802735;-27,27602086030624;129,0;24,364256594334943;0,8851573507828233;-31,89349791593301;95,0;39,78625520292012;1,3574918007003318;-15,545132353165613;129,0;5,313287412187806;8,67200353200972;2,82442733366744;10,0;6,586899519178614
27;28;1;50;2;2;3;6;0,01;0,05;FDX;in_sample_2_2x;53,66043615503357;1,59111402172684;-14,138702667771819;146,0;23,126437842762936;0,7536348526915183;-25,483389142145707;104,0;55,34848324305768;1,59111402172684;-11,924924684145788;146,0;9,476120442680319;10,0;8,367235470887094;10,0;9,542228114132579
54;28;1;50;2;2;3;6;0,01;0,05;FDX;in_sample_3_2x;35,86509408740266;1,5613414773246495;-14,142304778541536;68,0;17,39457377736573;0,8993729840379551;-21,737958230285404;47,0;40,48455484237748;1,6135567622123157;-14,142272001848088;68,0;7,99936572404787;9,26888167326984;9,999956848278797;10,0;8,933688195280299
81;28;1;50;2;2;3;6;0,01;0,05;FDX;out_of_sample_val_1;25,865817556089745;1,2706881820171458;-10,652854365947151;24,0;14,699383552406298;0,7936436070904637;-13,254995571445317;14,0;49,589379144892675;1,9446163395323701;-6,4410264070335455;24,0;3,2004687343922047;4,144707876046579;3,818833256670307;10,0;4,529950744562869
108;28;1;50;2;2;3;6;0,01;0,05;FDX;out_of_sample_val_2;29,704766344533674;1,023478505565823;-13,393351889237781;62,0;-2,889832074841814;-0,1345619111817321;-24,134785397793745;45,0;45,013583080689656;1,2601795347696734;-13,393351889237781;62,0;6,80423270732332;8,302903883074991;10,0;10,0;8,145500841159992
1;28;1;50;2;2;3;6;0,01;0,06;FDX;in_sample_1_2x;37,169226831363765;1,3065090687208434;-26,364573790566737;124,0;24,364256594334943;0,8851573507828233;-31,89349791593301;95,0;39,78625520292012;1,3574918007003318;-15,545132353165613;129,0;8,30305498140851;8,920622199198208;3,381943047541173;8,529411764705882;7,808823450695572
28;28;1;50;2;2;3;6;0,01;0,06;FDX;in_sample_2_2x;45,58075358314382;1,3414438425924864;-17,50585777471413;140,0;23,126437842762936;0,7536348526915183;-25,483389142145707;104,0;55,34848324305768;1,59111402172684;-11,924924684145788;146,0;6,968618987848451;7,018789381687612;5,883801511700379;8,571428571428571;7,056952258578503
55;28;1;50;2;2;3;6;0,01;0,06;FDX;in_sample_3_2x;37,82273959626452;1,6135567622123157;-14,417611668827945;68,0;17,39457377736573;0,8993729840379551;-21,737958230285404;47,0;40,48455484237748;1,6135567622123157;-14,142272001848088;68,0;8,847199034672919;10,0;9,637505211906964;10,0;9,454157473703674
82;28;1;50;2;2;3;6;0,01;0,06;FDX;out_of_sample_val_1;26,498968544120018;1,2910692997814581;-10,652854365947151;24,0;14,699383552406298;0,7936436070904637;-13,254995571445317;14,0;49,589379144892675;1,9446163395323701;-6,4410264070335455;24,0;3,381939375840673;4,321785205420592;3,818833256670307;10,0;4,658317399290501
109;28;1;50;2;2;3;6;0,01;0,06;FDX;out_of_sample_val_2;23,43405006938013;0,8277592810105073;-13,393380348007245;59,0;-2,889832074841814;-0,1345619111817321;-24,134785397793745;45,0;45,013583080689656;1,2601795347696734;-13,393351889237781;62,0;5,495199467251823;6,899638603166367;9,999973505613156;8,235294117647058;6,931449033049774
2;28;1;50;2;2;3;6;0,01;0,07;FDX;in_sample_1_2x;39,78625520292012;1,3574918007003318;-26,229880910784342;121,0;24,364256594334943;0,8851573507828233;-31,89349791593301;95,0;39,78625520292012;1,3574918007003318;-15,545132353165613;129,0;10,0;10,0;3,4643322498533307;7,647058823529412;8,730198724768963
29;28;1;50;2;2;3;6;0,01;0,07;FDX;in_sample_2_2x;37,497163835958666;1,1167146894269657;-21,711968823098914;135,0;23,126437842762936;0,7536348526915183;-25,483389142145707;104,0;55,34848324305768;1,59111402172684;-11,924924684145788;146,0;4,459904954719068;4,335389465909619;2,7815984108890275;7,380952380952381;4,601863512545408
56;28;1;50;2;2;3;6;0,01;0,07;FDX;in_sample_3_2x;30,686089427462004;1,305778152229238;-14,142304093473069;64,0;17,39457377736573;0,8993729840379551;-21,737958230285404;47,0;40,48455484237748;1,6135567622123157;-14,142272001848088;68,0;5,756399545184951;5,690484446876687;9,999957750196604;8,095238095238095;6,677909053534704
83;28;1;50;2;2;3;6;0,01;0,07;FDX;out_of_sample_val_1;30,984405136183234;1,4470480040405342;-10,65285329322534;22,0;14,699383552406298;0,7936436070904637;-13,254995571445317;14,0;49,589379144892675;1,9446163395323701;-6,4410264070335455;24,0;4,667533287761133;5,676975470685619;3,81883483096832;8,0;5,310769376517565
110;28;1;50;2;2;3;6;0,01;0,07;FDX;out_of_sample_val_2;30,508199411922043;0,964082565605378;-15,551072082395867;59,0;-2,889832074841814;-0,1345619111817321;-24,134785397793745;45,0;45,013583080689656;1,2601795347696734;-13,393351889237781;62,0;6,9719520786415865;7,877047606036281;7,991217660622878;8,235294117647058;7,556637603752465
3;28;1;50;2;2;3;6;0,02;0,05;FDX;in_sample_1_2x;27,827630026180515;1,0364310793608615;-31,89349791593301;117,0;24,364256594334943;0,8851573507828233;-31,89349791593301;95,0;39,78625520292012;1,3574918007003318;-15,545132353165613;129,0;2,2457357958245234;3,2026825188054278;0,0;6,470588235294118;2,801880094339792
30;28;1;50;2;2;3;6;0,02;0,05;FDX;in_sample_2_2x;53,61372843078165;1,536035101969307;-18,98842686391653;139,0;23,126437842762936;0,7536348526915183;-25,483389142145707;104,0;55,34848324305768;1,59111402172684;-11,924924684145788;146,0;9,461624862504799;9,342324898409384;4,79033765095497;8,333333333333334;8,599027909803066
57;28;1;50;2;2;3;6;0,02;0,05;FDX;in_sample_3_2x;39,82402436874639;1,597771080349268;-14,142272001848088;63,0;17,39457377736573;0,8993729840379551;-21,737958230285404;47,0;40,48455484237748;1,6135567622123157;-14,142272001848088;68,0;9,713931998570589;9,778968910447672;10,0;7,619047619047619;9,474111633664961
84;28;1;50;2;2;3;6;0,02;0,05;FDX;out_of_sample_val_1;34,98130064696283;1,550825466851366;-9,624220982819487;23,0;14,699383552406298;0,7936436070904637;-13,254995571445317;14,0;49,589379144892675;1,9446163395323701;-6,4410264070335455;24,0;5,813103942874753;6,578625526205676;5,328428264085435;9,0;6,417855877874435
