;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;35;1;50;2;2;3;6;0,01;0,05;K;in_sample_1_2x;9,699899512186994;0,5212510012475459;-18,739048514631452;124,0;5,889754922973545;0,294391236305536;-20,648597340722453;81,0;16,73868881202001;0,8187824626715414;-12,094013824020767;124,0;3,5119990850532607;4,326154854155974;2,2321937968842795;10,0;4,488642965765144
27;35;1;50;2;2;3;6;0,01;0,05;K;in_sample_2_2x;2,365749670327144;0,1861933289974948;-24,770841365668428;108,0;-2,5530216045214993;-0,20514599470478667;-42,09601594745192;65,0;9,087939813523139;0,6259521971775782;-23,923259236035122;108,0;4,225399516593245;4,708701420898679;9,533597382558462;10,0;5,946742682019364
54;35;1;50;2;2;3;6;0,01;0,05;K;in_sample_3_2x;20,70210405010382;1,0995648293796354;-9,207692588072936;68,0;9,378908461238765;0,5931216227048988;-18,779126719124374;39,0;30,09774812006125;1,3677136405944226;-8,96858691394925;68,0;5,465168790976872;6,53819294516624;9,756276740248731;10,0;7,03259557193026
81;35;1;50;2;2;3;6;0,01;0,05;K;out_of_sample_val_1;-4,86664295595427;-0,6610773756087361;-10,164424977440955;18,0;-7,727656885823597;-1,0340190126552453;-13,481297281513239;13,0;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;18,0;5,542139270088472;5,190163935931254;5,5409281152923935;10,0;6,078239113917188
108;35;1;50;2;2;3;6;0,01;0,05;K;out_of_sample_val_2;33,51299646931869;1,5282955497142823;-9,311037874594131;41,0;18,767249287916243;1,053358794686172;-10,93116985206376;29,0;34,375921146730136;1,5375810173346298;-7,000303795150931;41,0;9,447150478133624;9,808239539904621;4,1215649528949525;10,0;8,868499352443582
1;35;1;50;2;2;3;6;0,01;0,06;K;in_sample_1_2x;8,256398964450229;0,43448871773420616;-18,739048514631452;121,0;5,889754922973545;0,294391236305536;-20,648597340722453;81,0;16,73868881202001;0,8187824626715414;-12,094013824020767;124,0;2,181453095466041;2,671621384658472;2,2321937968842795;9,30232558139535;3,346017347713528
28;35;1;50;2;2;3;6;0,01;0,06;K;in_sample_2_2x;4,757793126671883;0,35591056680817706;-25,322952999923064;105,0;-2,5530216045214993;-0,20514599470478667;-42,09601594745192;65,0;9,087939813523139;0,6259521971775782;-23,923259236035122;108,0;6,280249945559392;6,750785490727871;9,229784569223556;9,30232558139535;7,267775852678975
55;35;1;50;2;2;3;6;0,01;0,06;K;in_sample_3_2x;25,386463623402868;1,2891968235095066;-9,20769310460181;65,0;9,378908461238765;0,5931216227048988;-18,779126719124374;39,0;30,09774812006125;1,3677136405944226;-8,96858691394925;68,0;7,726086704545625;8,986346163250621;9,756276213744702;8,96551724137931;8,553249413608874
82;35;1;50;2;2;3;6;0,01;0,06;K;out_of_sample_val_1;-4,86664295595427;-0,6610773756087361;-10,164424977440955;18,0;-7,727656885823597;-1,0340190126552453;-13,481297281513239;13,0;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;18,0;5,542139270088472;5,190163935931254;5,5409281152923935;10,0;6,078239113917188
109;35;1;50;2;2;3;6;0,01;0,06;K;out_of_sample_val_2;34,375921146730136;1,5375810173346298;-8,645678027887415;40,0;18,767249287916243;1,053358794686172;-10,93116985206376;29,0;34,375921146730136;1,5375810173346298;-7,000303795150931;41,0;10,0;10,0;5,814219541154485;9,166666666666666;9,282983743974452
2;35;1;50;2;2;3;6;0,01;0,07;K;in_sample_1_2x;7,517259152774924;0,3916945717760847;-18,739048514631452;113,0;5,889754922973545;0,294391236305536;-20,648597340722453;81,0;16,73868881202001;0,8187824626715414;-12,094013824020767;124,0;1,5001513019123252;1,8555485023053115;2,2321937968842795;7,441860465116279;2,555086453192594
29;35;1;50;2;2;3;6;0,01;0,07;K;in_sample_2_2x;9,087939813523139;0,6259521971775782;-23,923259236035122;96,0;-2,5530216045214993;-0,20514599470478667;-42,09601594745192;65,0;9,087939813523139;0,6259521971775782;-23,923259236035122;108,0;10,0;10,0;10,0;7,209302325581396;9,601328903654485
56;35;1;50;2;2;3;6;0,01;0,07;K;in_sample_3_2x;21,09190062981352;1,0838856642287198;-8,96858691394925;60,0;9,378908461238765;0,5931216227048988;-18,779126719124374;39,0;30,09774812006125;1,3677136405944226;-8,96858691394925;68,0;5,653305089210019;6,335774577963909;10,0;7,241379310344827;6,696120533414672
83;35;1;50;2;2;3;6;0,01;0,07;K;out_of_sample_val_1;-4,86664295595427;-0,6610773756087361;-10,164424977440955;18,0;-7,727656885823597;-1,0340190126552453;-13,481297281513239;13,0;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;18,0;5,542139270088472;5,190163935931254;5,5409281152923935;10,0;6,078239113917188
110;35;1;50;2;2;3;6;0,01;0,07;K;out_of_sample_val_2;33,592750677773495;1,4142546238104576;-8,645674176470164;35,0;18,767249287916243;1,053358794686172;-10,93116985206376;29,0;34,375921146730136;1,5375810173346298;-7,000303795150931;41,0;9,498246567010504;7,4531033943539935;5,814229339039214;5,0;7,745025118396959
3;35;1;50;2;2;3;6;0,02;0,05;K;in_sample_1_2x;9,505689876892664;0,4974910867589685;-18,739048514631452;108,0;5,889754922973545;0,294391236305536;-20,648597340722453;81,0;16,73868881202001;0,8187824626715414;-12,094013824020767;124,0;3,3329864398656883;3,8730596593100977;2,2321937968842795;6,27906976744186;3,750906028934771
30;35;1;50;2;2;3;6;0,02;0,05;K;in_sample_2_2x;1,329991337406633;0,09470545606073005;-31,370315221990598;98,0;-2,5530216045214993;-0,20514599470478667;-42,09601594745192;65,0;9,087939813523139;0,6259521971775782;-23,923259236035122;108,0;3,3356462602041437;3,607894394360062;5,9020768812268525;7,674418604651163;4,399889007887224
57;35;1;50;2;2;3;6;0,02;0,05;K;in_sample_3_2x;26,3956094328047;1,320658756201478;-11,137154882678447;59,0;9,378908461238765;0,5931216227048988;-18,779126719124374;39,0;30,09774812006125;1,3677136405944226;-8,96858691394925;68,0;8,213153464084025;9,392520406792316;7,789552856627458;6,896551724137931;8,301515112371728
84;35;1;50;2;2;3;6;0,02;0,05;K;out_of_sample_val_1;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;17,0;-7,727656885823597;-1,0340190126552453;-13,481297281513239;13,0;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;18,0;10,0;10,0;10,0;8,0;9,714285714285714
111;35;1;50;2;2;3;6;0,02;0,05;K;out_of_sample_val_2;30,48270838272602;1,3967109025989344;-8,645661122849624;37,0;18,767249287916243;1,053358794686172;-10,93116985206376;29,0;34,375921146730136;1,5375810173346298;-7,000303795150931;41,0;7,505737323957067;7,090796164512957;5,814262547040583;6,666666666666667;7,0256762163720525
4;35;1;50;2;2;3;6;0,02;0,06;K;in_sample_1_2x;7,922997705340262;0,4017036389975621;-18,739048514631452;105,0;5,889754922973545;0,294391236305536;-20,648597340722453;81,0;16,73868881202001;0,8187824626715414;-12,094013824020767;124,0;1,8741406327672105;2,0464187289267515;2,2321937968842795;5,5813953488372094;2,504121214553803
31;35;1;50;2;2;3;6;0,02;0,06;K;in_sample_2_2x;5,4876581583802375;0,36559177052324615;-30,638923122628682;94,0;-2,5530216045214993;-0,20514599470478667;-42,09601594745192;65,0;9,087939813523139;0,6259521971775782;-23,923259236035122;108,0;6,907229973666858;6,867272372899302;6,304543117349646;6,744186046511628;6,786423404380065
58;35;1;50;2;2;3;6;0,02;0,06;K;in_sample_3_2x;25,293409165032866;1,255392169628759;-11,137186860650461;57,0;9,378908461238765;0,5931216227048988;-18,779126719124374;39,0;30,09774812006125;1,3677136405944226;-8,96858691394925;68,0;7,681173736492235;8,549927337597696;7,789520261099945;6,206896551724138;7,734256099642311
85;35;1;50;2;2;3;6;0,02;0,06;K;out_of_sample_val_1;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;17,0;-7,727656885823597;-1,0340190126552453;-13,481297281513239;13,0;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;18,0;10,0;10,0;10,0;8,0;9,714285714285714
112;35;1;50;2;2;3;6;0,02;0,06;K;out_of_sample_val_2;30,84043108593093;1,3902932026956192;-8,645664774677842;36,0;18,767249287916243;1,053358794686172;-10,93116985206376;29,0;34,375921146730136;1,5375810173346298;-7,000303795150931;41,0;7,734919349462275;6,958259911463406;5,814253256904097;5,833333333333333;6,966980637364438
5;35;1;50;2;2;3;6;0,02;0,07;K;in_sample_1_2x;9,54621277251222;0,47461281461485366;-18,739048514631452;103,0;5,889754922973545;0,294391236305536;-20,648597340722453;81,0;16,73868881202001;0,8187824626715414;-12,094013824020767;124,0;3,370338400928397;3,4367771474408646;2,2321937968842795;5,116279069767442;3,4761489091883777
