;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;35;1;50;2;2;3;6;0,01;0,05;MCO;5,932953220418719
1;35;1;50;2;2;3;6;0,01;0,06;MCO;5,7437855990428845
2;35;1;50;2;2;3;6;0,01;0,07;MCO;5,769649879748643
3;35;1;50;2;2;3;6;0,02;0,05;MCO;6,670380311629117
4;35;1;50;2;2;3;6;0,02;0,06;MCO;5,352105226055
5;35;1;50;2;2;3;6;0,02;0,07;MCO;4,827352615387477
6;35;1;50;2;2;3;6;0,03;0,05;MCO;6,554862903017283
7;35;1;50;2;2;3;6;0,03;0,06;MCO;5,695568256851237
8;35;1;50;2;2;3;6;0,03;0,07;MCO;4,846835332526733
9;35;1;60;2;2;3;6;0,01;0,05;MCO;4,659673543579227
10;35;1;60;2;2;3;6;0,01;0,06;MCO;5,239804854534737
11;35;1;60;2;2;3;6;0,01;0,07;MCO;5,31697341998197
12;35;1;60;2;2;3;6;0,02;0,05;MCO;5,449657511151095
13;35;1;60;2;2;3;6;0,02;0,06;MCO;4,968657291506488
14;35;1;60;2;2;3;6;0,02;0,07;MCO;5,117733552389083
15;35;1;60;2;2;3;6;0,03;0,05;MCO;4,739365412700063
16;35;1;60;2;2;3;6;0,03;0,06;MCO;4,698217928048
17;35;1;60;2;2;3;6;0,03;0,07;MCO;4,938704813127466
18;35;1;70;2;2;3;6;0,01;0,05;MCO;4,578943837188371
19;35;1;70;2;2;3;6;0,01;0,06;MCO;5,294277601331997
20;35;1;70;2;2;3;6;0,01;0,07;MCO;5,355620263054809
21;35;1;70;2;2;3;6;0,02;0,05;MCO;5,569089190572001
22;35;1;70;2;2;3;6;0,02;0,06;MCO;5,563881021810222
23;35;1;70;2;2;3;6;0,02;0,07;MCO;5,711354221326364
24;35;1;70;2;2;3;6;0,03;0,05;MCO;4,373356056531148
25;35;1;70;2;2;3;6;0,03;0,06;MCO;4,45851533073566
26;35;1;70;2;2;3;6;0,03;0,07;MCO;5,123657095477716
