;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;49;2;50;2;2;2;6;0,01;0,05;ITUB;7,569609635907862
1;49;2;50;2;2;2;6;0,01;0,06;ITUB;7,303985662175416
2;49;2;50;2;2;2;6;0,01;0,07;ITUB;6,608974577878453
3;49;2;50;2;2;2;6;0,02;0,05;ITUB;6,49592000648515
4;49;2;50;2;2;2;6;0,02;0,06;ITUB;6,593564350253362
5;49;2;50;2;2;2;6;0,02;0,07;ITUB;5,078243447344474
6;49;2;50;2;2;2;6;0,03;0,05;ITUB;5,398671470887431
7;49;2;50;2;2;2;6;0,03;0,06;ITUB;5,786697219429887
8;49;2;50;2;2;2;6;0,03;0,07;ITUB;4,64965033665793
9;49;2;60;2;2;2;6;0,01;0,05;ITUB;5,4930196960800775
10;49;2;60;2;2;2;6;0,01;0,06;ITUB;4,800185553355332
11;49;2;60;2;2;2;6;0,01;0,07;ITUB;3,355749732962726
12;49;2;60;2;2;2;6;0,02;0,05;ITUB;4,387549169337507
13;49;2;60;2;2;2;6;0,02;0,06;ITUB;4,151950605393109
14;49;2;60;2;2;2;6;0,02;0,07;ITUB;2,7331412835100997
15;49;2;60;2;2;2;6;0,03;0,05;ITUB;3,8845557610006325
16;49;2;60;2;2;2;6;0,03;0,06;ITUB;4,0865715005230925
17;49;2;60;2;2;2;6;0,03;0,07;ITUB;3,081674056828959
18;49;2;70;2;2;2;6;0,01;0,05;ITUB;4,925630569516836
19;49;2;70;2;2;2;6;0,01;0,06;ITUB;5,474559216831352
20;49;2;70;2;2;2;6;0,01;0,07;ITUB;4,151163059032717
21;49;2;70;2;2;2;6;0,02;0,05;ITUB;4,205948453197594
22;49;2;70;2;2;2;6;0,02;0,06;ITUB;5,04489320323331
23;49;2;70;2;2;2;6;0,02;0,07;ITUB;3,764245157851601
24;49;2;70;2;2;2;6;0,03;0,05;ITUB;3,8688209098909887
25;49;2;70;2;2;2;6;0,03;0,06;ITUB;4,951201210852902
26;49;2;70;2;2;2;6;0,03;0,07;ITUB;4,186769786764392
