;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;14;3;50;2;3;3;6;0,02;0,05;CI;10,388032205484217;0,6435745614723705;-19,158817989524817;28,666666666666668;2,9248616023388445;3,5863461878223584;5,733682813304756;4,603174603174604;3,7548763713058015
1;14;3;50;2;3;3;6;0,02;0,1;CI;8,670838851740463;0,4826259776599093;-23,476798449617544;24,666666666666668;2,1713460790133152;2,028524331582512;4,044243079163183;3,650793650793651;2,6094462328802583
2;14;3;50;2;3;3;6;0,05;0,05;CI;8,601217506216237;0,49800618400698715;-24,747977973515102;27,333333333333332;2,1407957833853115;2,177389397887629;3,546885294257046;4,285714285714286;2,658537960843218
3;14;3;50;2;3;3;6;0,05;0,1;CI;9,520809167156216;0,5032290004951488;-21,55629423320737;23,0;2,5443185376099833;2,2279410553403505;4,795653643147091;3,253968253968254;2,8769228029465705
8;14;3;100;2;3;3;6;0,02;0,05;CI;11,437667042449219;0,8101926632830679;-17,60719187915177;28,0;3,3854481412699826;5,199043326856175;6,340767265775731;4,444444444444444;4,477091826820353
9;14;3;100;2;3;3;6;0,02;0,1;CI;13,09665552485099;0,7083033153659392;-25,596676584286683;24,666666666666668;4,1134229915002365;4,212856003280358;3,2148260900527097;3,650793650793651;3,9473715317011124
10;14;3;100;2;3;3;6;0,05;0,05;CI;10,255401955950894;0,7102440080427526;-20,68547541409806;26,0;2,8666625930845786;4,231639973891166;5,136367531928774;3,9682539682539675;3,7382698896026874
11;14;3;100;2;3;3;6;0,05;0,1;CI;11,338361886981327;0,6410211665136843;-28,900869177676707;21,666666666666668;3,3418723983123395;3,5616318698704297;1,922037873866683;2,9365079365079367;3,143918106436071
16;14;4;50;2;3;3;6;0,02;0,05;CI;7,6473875204487785;0,62162115987464;-19,38934365469878;19,666666666666668;1,7222490313132675;3,373859143713881;5,6434880516369486;2,4603174603174605;2,859752984760282
17;14;4;50;2;3;3;6;0,02;0,1;CI;3,769067800013337;0,27304609720722567;-23,581186190983388;17,666666666666668;0,02041731422887873;0,0;4,00340065302192;1,9841269841269844;0,8641113685479344
18;14;4;50;2;3;3;6;0,05;0,05;CI;7,532596032721524;0,582628980633808;-20,17830690048728;17,666666666666668;1,6718777858390517;2,9964537164342735;5,334800722333061;1,9841269841269844;2,618209785263678
19;14;4;50;2;3;3;6;0,05;0,1;CI;4,892168117903524;0,335732787331267;-22,623786873900542;15,333333333333334;0,5132409802051546;0,6067446737173797;4,377989760746838;1,4285714285714286;1,2228247824812128
24;14;4;100;2;3;3;6;0,02;0,05;CI;7,818892774857826;0,6523896398518331;-17,202913637351937;21,333333333333332;1,7975066435369376;3,6716673595823734;6,498943925364149;2,8571428571428568;3,155991633183224
25;14;4;100;2;3;3;6;0,02;0,1;CI;8,0342848124575;0,5307559296936605;-24,87579023094439;19,0;1,8920220593916686;2,494374290879563;3,4968778641153326;2,3015873015873014;2,3518971322338236
26;14;4;100;2;3;3;6;0,05;0,05;CI;7,372537355173396;0,5811620023696116;-23,210332265139446;20,333333333333332;1,6016430053977413;2,982254829134608;4,148499817706351;2,6190476190476186;2,5052837301737725
27;14;4;100;2;3;3;6;0,05;0,1;CI;4,188513498237664;0,3225501088848936;-32,10731121041999;16,666666666666668;0,20447279296404117;0,47914948697456594;0,6674952409382702;1,7460317460317463;0,5693206199730387
32;14;5;50;2;3;3;6;0,02;0,05;CI;4,530472111514487;0,569273467152672;-12,98880762005781;10,0;0,35452643886081436;2,867185658838549;8,147742064980765;0,15873015873015858;2,1577746939957807
