;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;start_date;end_date;final_balance;return_acum;return_ann;sharpe_ratio;sortino_ratio;volatility;max_drawdown;trades;win_rate;profit_factor;avg_trade_return
0;14;3;50;2;3;3;6;0,02;0,05;CL;2000-01-01;2005-08-19;16323260,965493646;63,232609654936454;7,688659987705737;0,8774302133074117;1,8105262062588128;8,762702572919016;-14,338301882952598;25;60,0;3,182535324096403;1,9793599941334339
1;14;3;50;2;3;3;6;0,02;0,1;CL;2000-01-01;2005-08-19;14538605,565527966;45,38605565527966;5,820187505757124;0,47567032048418395;0,8369151658263456;12,235759212037374;-14,338299830102997;22;45,45454545454545;2,137618974971967;1,7155629698871966
2;14;3;50;2;3;3;6;0,05;0,05;CL;2000-01-01;2005-08-19;15122190,074510997;51,22190074510997;6,451628836197965;0,6423609685121219;1,1426332193411313;10,04361901244038;-13,466870922361752;22;68,18181818181817;2,429891353040013;1,89768393805263
3;14;3;50;2;3;3;6;0,05;0,1;CL;2000-01-01;2005-08-19;16470877,106420327;64,70877106420328;7,8353163893449596;0,5748239583091865;1,0250510795948102;13,6308104004435;-14,777401001342838;16;62,5;2,9580622859934866;3,167951963802973
4;14;3;100;2;3;3;6;0,02;0,05;CL;2000-01-01;2005-08-19;22303945,67305976;123,03945673059762;12,892419232552598;0,9859793728911899;2,577387432333124;13,075749439613654;-7,546689575052278;31;67,74193548387096;3,9709361977343627;2,62144537034652
5;14;3;100;2;3;3;6;0,02;0,1;CL;2000-01-01;2005-08-19;19684915,679339126;96,84915679339126;10,78069904055765;0,6431445753286558;1,2913467276019106;16,762481491892494;-17,386149584838805;27;59,25925925925925;2,838993189345833;2,540126582165181
6;14;3;100;2;3;3;6;0,05;0,05;CL;2000-01-01;2005-08-19;26100485,854797393;161,00485854797392;15,607143408729485;1,0754840979780975;2,6552713997078765;14,5117379588139;-9,387568334188712;27;81,48148148148148;6,355270641811527;3,617102263186389
7;14;3;100;2;3;3;6;0,05;0,1;CL;2000-01-01;2005-08-19;20718370,522864148;107,18370522864149;11,640918625919273;0,6627000124584052;1,305161796332972;17,565894683984066;-17,386351209948714;22;68,18181818181817;3,2716492536817765;3,366501289300916
8;14;4;50;2;3;3;6;0,02;0,05;CL;2000-01-01;2005-08-19;16711222,102539748;67,11222102539747;8,071728872063355;1,026874332078442;2,530811507287657;7,860483624832454;-6,161771361702673;16;68,75;7,240645658790156;3,2614046923325812
9;14;4;50;2;3;3;6;0,02;0,1;CL;2000-01-01;2005-08-19;12884415,276358897;28,84415276358897;3,9054809858268147;0,3289677084704827;0,5489759162711189;11,871928111075505;-13,84858275851013;15;46,666666666666664;2,1366147853107798;1,7039112454236838
