;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;start_date;end_date;final_balance;return_acum;return_ann;sharpe_ratio;sortino_ratio;volatility;max_drawdown;trades;win_rate;profit_factor;avg_trade_return
0;14;3;50;2;3;3;6;0,02;0,05;CSCO;2008-01-15;2013-10-29;11941489,238840846;19,414892388408465;2,6368011842428984;0,2681910759555246;0,43136379744204467;9,831800610249132;-11,074499144227845;24;50,0;1,6159629040495738;0,7420473607299805
1;14;3;50;2;3;3;6;0,02;0,1;CSCO;2008-01-15;2013-10-29;13031999,147945281;30,319991479452813;3,9609097927872483;0,3106904290046355;0,5039795887192878;12,748734505523347;-19,765610638690646;22;40,909090909090914;1,811512480859537;1,2110146150182244
2;14;3;50;2;3;3;6;0,05;0,05;CSCO;2008-01-15;2013-10-29;13945249,82679234;39,45249826792341;4,998903948260969;0,32666101744046694;0,5795873201100132;15,30303183229387;-19,82274525969583;22;68,18181818181817;2,002398999725076;1,5230928084180917
3;14;3;50;2;3;3;6;0,05;0,1;CSCO;2008-01-15;2013-10-29;19671979,936078224;96,71979936078225;10,433866632169075;0,5484983219727427;1,0096400757214794;19,02260447150024;-19,822758838695954;19;63,1578947368421;2,971786002837627;3,6252771260250727
4;14;3;100;2;3;3;6;0,02;0,05;CSCO;2008-01-15;2013-10-29;15122193,140847752;51,221931408477516;6,254244853371604;0,5908423635428146;1,0093624737414664;10,585302001484528;-13,552673648773917;25;64,0;2,5126864934758593;1,6680746910699984
5;14;3;100;2;3;3;6;0,02;0,1;CSCO;2008-01-15;2013-10-29;17410193,314926416;74,10193314926416;8,472986672270743;0,5718902202821545;0,9799005234548364;14,815757241119476;-14,66381754711714;20;60,0;3,455921655064897;2,8111421823153515
6;14;3;100;2;3;3;6;0,05;0,05;CSCO;2008-01-15;2013-10-29;16596073,598440759;65,96073598440759;7,713680716525539;0,47319149098770713;0,8412489095115248;16,30139354455537;-22,67760169687184;24;79,16666666666666;2,3683484116235474;2,13318945501646
7;14;3;100;2;3;3;6;0,05;0,1;CSCO;2008-01-15;2013-10-29;16539986,360105298;65,39986360105299;7,660207781133654;0,45014759570934465;0,7154343466237529;17,01710251070577;-22,485886517386334;18;66,66666666666666;2,360949122279513;2,834976037231862
8;14;4;50;2;3;3;6;0,02;0,05;CSCO;2008-01-15;2013-10-29;10327968,56903562;3,2796856903561946;0,47447308564432245;0,06415914531898455;0,10329951300873108;7,395252590809169;-12,429589404830377;15;40,0;1,1794756246907363;0,21536811829041547
9;14;4;50;2;3;3;6;0,02;0,1;CSCO;2008-01-15;2013-10-29;10193878,838882519;1,9387883888251893;0,28206107356947285;0,028615358096617204;0,04081610018317413;9,856982135855816;-20,504886835808954;15;33,33333333333333;1,127023196778779;0,1280980371893614
10;14;4;50;2;3;3;6;0,05;0,05;CSCO;2008-01-15;2013-10-29;12104307,957421403;21,043079574214033;2,8408874128154737;0,21252089606726393;0,3777817785820291;13,367567450479404;-21,90503247203367;15;60,0;1,654635025651622;1,281317780226443
11;14;4;50;2;3;3;6;0,05;0,1;CSCO;2008-01-15;2013-10-29;12619135,245369406;26,191352453694066;3,471141933296673;0,21796780453579662;0,35235550745702243;15,92502131536867;-21,511406740657247;14;50,0;1,7296423097936282;1,675520722208934
12;14;4;100;2;3;3;6;0,02;0,05;CSCO;2008-01-15;2013-10-29;13203166,223697906;32,03166223697907;4,160085207283171;0,45773616936937245;0,7630204158744579;9,088390836613502;-11,926684744504989;17;64,70588235294117;2,3487580214558927;1,6479715789559313
13;14;4;100;2;3;3;6;0,02;0,1;CSCO;2008-01-15;2013-10-29;14555300,954289125;45,55300954289125;5,6604132374254545;0,432811417496907;0,7066782345151685;13,078243799947597;-13,76664716761562;15;53,333333333333336;2,769378029537465;2,534043477618697
14;14;4;100;2;3;3;6;0,05;0,05;CSCO;2008-01-15;2013-10-29;17791781,89107301;77,9178189107301;8,818500211500947;0,650393491983805;1,4546117130289198;13,55871533185718;-10,555067714993116;17;82,35294117647058;4,054333382219097;3,447214298013934
15;14;4;100;2;3;3;6;0,05;0,1;CSCO;2008-01-15;2013-10-29;15827726,98943487;58,277269894348706;6,967328492863301;0,48029700681383375;0,8014042757005583;14,506291719539869;-15,605799024919854;13;61,53846153846154;2,790313427172999;3,5952642340008722
16;14;5;50;2;3;3;6;0,02;0,05;CSCO;2008-01-15;2013-10-29;9793843,611224946;-2,0615638877505433;-0,30508890123451815;-0,04585690349888192;-0,06442360922281258;6,653063725551308;-11,479103076505703;13;38,46153846153847;0,9476481930640632;-0,16011216387891158
17;14;5;50;2;3;3;6;0,02;0,1;CSCO;2008-01-15;2013-10-29;9914106,649092129;-0,858933509078715;-0,12645443058812988;-0,014358572133455177;-0,018886025236205594;8,80689454444385;-16,115978364520977;13;30,76923076923077;1,033661726283409;-0,0663358385377677
18;14;5;50;2;3;3;6;0,05;0,05;CSCO;2008-01-15;2013-10-29;9714178,969358778;-2,8582103064122237;-0,424453356500476;-0,040780739229681125;-0,05531769703931804;10,408182012344431;-21,905024706229636;13;53,84615384615385;0,9955122469301396;-0,22281768716952977
19;14;5;50;2;3;3;6;0,05;0,1;CSCO;2008-01-15;2013-10-29;10386550,846271472;3,865508462714721;0,5578672825294007;0,04285767646354288;0,05719979000537728;13,016741189969865;-21,51141456827301;12;41,66666666666667;1,1897858933090144;0,3165571690976865
20;14;5;100;2;3;3;6;0,02;0,05;CSCO;2008-01-15;2013-10-29;12973217,80945735;29,732178094573502;3,8919948828964435;0,46618764533965257;0,7816622713054276;8,348558615406537;-8,874628871912005;14;64,28571428571429;2,6478236394340295;1,8766943923950619
21;14;5;100;2;3;3;6;0,02;0,1;CSCO;2008-01-15;2013-10-29;13270277,16090019;32,70277160900191;4,237576695950329;0,3504141199271532;0,5549548386781903;12,093053490057049;-13,766642910742355;13;46,15384615384615;2,3672400240289977;2,2003330317313274
