Date;Open;High;Low;Close;Adj Close;Volume
1999-01-04;31,0;31,75;31,0;31,15625;17,310543060302734;832800
1999-01-05;31,15625;31,3125;30,5625;31,21875;17,34528160095215;831000
1999-01-06;31,15625;32,0;31,0625;32,0;17,779342651367188;1115800
1999-01-07;31,75;31,9375;30,9375;31,40625;17,44944953918457;978000
1999-01-08;31,53125;31,875;31,15625;31,5;17,501537322998047;1267000
1999-01-11;31,0625;31,09375;30,5;30,59375;16,998027801513672;1262400
1999-01-12;30,71875;30,71875;29,71875;30,125;16,737581253051758;1348800
1999-01-13;29,375;29,96875;28,625;29,71875;16,51186752319336;1003200
1999-01-14;29,8125;30,125;29,21875;29,90625;16,61604118347168;707800
1999-01-15;30,28125;30,9375;30,15625;30,625;17,0153865814209;587000
1999-01-19;30,5;30,71875;29,9375;30,4375;16,911212921142578;1118800
1999-01-20;30,5;30,5;29,8125;29,875;16,59868049621582;757200
1999-01-21;29,625;29,625;28,78125;29,0;16,11252784729004;2295000
1999-01-22;29,125;29,9375;29,03125;29,5;16,39032745361328;583000
1999-01-25;29,375;30,75;29,28125;30,75;17,08483123779297;1013200
1999-01-26;30,625;30,875;30,375;30,75;17,08483123779297;877600
1999-01-27;30,75;31,21875;30,65625;30,96875;17,206378936767578;539200
1999-01-28;30,9375;32,0;30,875;31,96875;17,761978149414062;855000
1999-01-29;32,0;32,0625;28,125;28,125;15,626372337341309;2698200
1999-02-01;28,5;28,65625;27,0625;27,78125;15,43539810180664;7365200
1999-02-02;27,75;28,28125;27,53125;28,1875;15,661110877990723;3401600
1999-02-03;28,3125;28,71875;28,0625;28,5;15,834723472595215;3251200
1999-02-04;28,625;28,9375;28,40625;28,53125;15,852078437805176;3976800
1999-02-05;28,65625;28,875;28,28125;28,46875;15,817367553710938;918200
1999-02-08;28,59375;28,65625;27,78125;27,78125;15,43539810180664;2153800
1999-02-09;28,0;29,0625;27,90625;28,71875;15,956274032592773;3325400
1999-02-10;28,71875;29,59375;28,71875;29,59375;16,442420959472656;2960200
1999-02-11;29,25;30,0;29,03125;29,84375;16,58131980895996;2130600
1999-02-12;29,75;29,875;29,03125;29,75;16,529233932495117;3349600
1999-02-16;29,875;30,75;29,78125;30,53125;16,963302612304688;1543800
1999-02-17;30,40625;30,4375;29,875;30,34375;16,859128952026367;2763800
1999-02-18;30,375;31,375;30,25;30,90625;17,171648025512695;1990000
1999-02-19;30,90625;31,6875;30,84375;31,5;17,501537322998047;1804600
1999-02-22;31,25;31,875;31,25;31,875;17,777618408203125;912200
1999-02-23;31,75;31,90625;31,03125;31,28125;17,44646644592285;1930600
1999-02-24;31,28125;32,4375;31,28125;31,625;17,63818359375;1526600
1999-02-25;31,46875;32,0;31,1875;31,53125;17,58588981628418;808200
1999-02-26;31,5;31,53125;30,875;31,125;17,359323501586914;635400
1999-03-01;31,0;31,03125;30,5;30,9375;17,254749298095703;659400
1999-03-02;30,84375;30,84375;30,125;30,5;17,010730743408203;475200
1999-03-03;30,59375;30,65625;29,4375;30,125;16,801584243774414;908000
1999-03-04;30,25;30,375;29,59375;29,6875;16,557584762573242;1738000
1999-03-05;30,1875;30,5;29,8125;30,0;16,73188018798828;1675400
1999-03-08;30,25;30,46875;29,3125;30,0625;16,76673698425293;805400
1999-03-09;30,375;30,78125;30,0625;30,5;17,010730743408203;909600
1999-03-10;30,40625;30,90625;30,09375;30,25;16,871301651000977;620600
1999-03-11;30,125;30,625;29,90625;30,53125;17,028169631958008;657200
1999-03-12;30,53125;30,875;30,53125;30,75;17,150169372558594;384600
1999-03-15;30,65625;31,125;30,65625;30,90625;17,23731803894043;436800
1999-03-16;30,90625;31,25;30,53125;30,9375;17,254749298095703;592800
1999-03-17;30,25;30,3125;29,5;29,78125;16,6098690032959;1536400
1999-03-18;29,5;29,625;28,625;28,75;16,03472137451172;3341800
1999-03-19;28,875;28,90625;27,875;28,15625;15,703557968139648;2335000
1999-03-22;28,03125;28,71875;27,28125;28,375;15,82556438446045;1409600
1999-03-23;28,3125;29,0;27,75;28,0625;15,65127944946289;941400
1999-03-24;28,03125;28,34375;27,3125;27,84375;15,529272079467773;1358000
1999-03-25;27,8125;28,46875;27,78125;28,4375;15,860424041748047;726200
1999-03-26;28,375;28,5;27,84375;28,40625;15,842996597290039;895400
1999-03-29;28,40625;29,4375;28,28125;29,4375;16,418140411376953;1188800
1999-03-30;29,4375;29,4375;28,8125;29,03125;16,19157600402832;1411800
1999-03-31;29,0;29,15625;28,0;28,03125;15,633842468261719;752400
1999-04-01;28,125;28,125;27,75;27,875;15,546701431274414;814000
1999-04-05;27,78125;27,9375;27,53125;27,59375;15,389826774597168;819400
1999-04-06;27,5;27,5625;25,5;26,40625;14,727526664733887;2588400
1999-04-07;26,78125;26,96875;26,21875;26,40625;14,727526664733887;2278200
1999-04-08;26,5;26,5;25,40625;26,25;14,640392303466797;2122000
1999-04-09;26,0;26,03125;25,625;25,875;14,431241035461426;1473400
1999-04-12;25,9375;26,4375;25,5625;26,3125;14,675248146057129;1238200
1999-04-13;26,875;26,875;26,3125;26,71875;14,901825904846191;1446400
1999-04-14;26,71875;26,8125;25,46875;25,71875;14,344094276428223;1597600
1999-04-15;25,9375;26,0625;24,40625;25,5;14,222092628479004;2273800
1999-04-16;25,625;27,15625;25,625;27,15625;15,145833969116211;1162000
1999-04-19;27,125;27,375;26,8125;27,21875;15,180688858032227;849200
1999-04-20;27,21875;27,28125;26,875;27,15625;15,145833969116211;607000
1999-04-21;27,21875;27,5;27,0625;27,34375;15,250401496887207;419600
1999-04-22;27,25;27,875;27,25;27,46875;15,320123672485352;999200
1999-04-23;27,53125;27,59375;26,59375;27,3125;15,232975959777832;956600
1999-04-26;26,5;26,8125;25,28125;26,15625;14,588098526000977;2816200
1999-04-27;26,25;26,3125;25,71875;26,09375;14,553242683410645;1139400
1999-04-28;26,09375;26,3125;26,03125;26,21875;14,622962951660156;988800
1999-04-29;26,25;26,4375;26,0;26,34375;14,692679405212402;843000
1999-04-30;26,5;26,59375;25,9375;26,3125;14,675248146057129;1538800
1999-05-03;26,25;27,40625;26,21875;27,40625;15,285263061523438;1501200
1999-05-04;27,375;27,4375;25,8125;26,25;14,640392303466797;828600
1999-05-05;26,625;26,90625;26,28125;26,90625;15,00639533996582;724600
1999-05-06;26,8125;27,625;26,25;27,4375;15,302692413330078;1124800
1999-05-07;27,5;28,1875;27,4375;27,71875;15,459554672241211;972600
1999-05-10;27,75;27,96875;27,0;27,875;15,546701431274414;816200
1999-05-11;27,875;28,25;27,6875;27,875;15,546701431274414;1918600
1999-05-12;27,84375;27,84375;27,25;27,59375;15,389826774597168;634600
1999-05-13;27,46875;29,03125;27,4375;28,75;16,03472137451172;1073600
1999-05-14;28,5;28,5625;28,125;28,4375;15,860424041748047;643400
1999-05-17;28,9375;28,9375;27,4375;27,75;15,47697925567627;1209800
1999-05-18;28,5;28,53125;27,75;28,1875;15,720990180969238;578200
1999-05-19;28,0625;28,34375;27,8125;28,125;15,686125755310059;388400
1999-05-20;27,96875;28,25;27,875;28,0625;15,718343734741211;367200
1999-05-21;28,0625;28,40625;27,875;28,34375;15,875870704650879;403000
1999-05-24;28,21875;28,34375;27,65625;27,9375;15,648333549499512;491600
1999-05-25;27,96875;28,96875;27,875;28,25;15,823352813720703;670400
1999-05-26;28,375;28,625;27,6875;28,25;15,823352813720703;598400
1999-05-27;28,0;28,0;27,0;27,21875;15,245737075805664;336800
1999-05-28;26,71875;27,375;26,71875;27,125;15,193228721618652;372800
1999-06-01;27,03125;27,28125;26,65625;27,125;15,193228721618652;381200
1999-06-02;27,15625;27,21875;26,9375;27,1875;15,22823715209961;438800
1999-06-03;27,1875;27,3125;26,75;26,90625;15,070697784423828;425800
1999-06-04;27,0;27,625;26,84375;27,625;15,473282814025879;434000
1999-06-07;27,25;27,5;27,0625;27,46875;15,385769844055176;270200
1999-06-08;27,21875;27,4375;27,03125;27,4375;15,368264198303223;476400
1999-06-09;27,1875;27,21875;26,75;26,90625;15,070697784423828;895400
1999-06-10;26,75;27,125;26,71875;26,875;15,053202629089355;529200
1999-06-11;26,875;27,28125;26,875;26,9375;15,088204383850098;745200
1999-06-14;27,0625;27,625;27,0625;27,5625;15,43828296661377;524000
1999-06-15;27,6875;27,8125;27,4375;27,46875;15,385769844055176;429200
1999-06-16;27,5625;27,8125;27,375;27,78125;15,560808181762695;603600
1999-06-17;27,6875;28,03125;27,34375;27,9375;15,648333549499512;767000
1999-06-18;27,8125;28,15625;27,625;28,15625;15,77084732055664;1133800
1999-06-21;28,15625;28,6875;27,78125;28,5625;15,998394012451172;896200
1999-06-22;28,5;29,1875;28,40625;28,5625;15,998394012451172;928800
1999-06-23;28,40625;28,53125;28,125;28,3125;15,858373641967773;389200
1999-06-24;28,0;28,59375;27,96875;28,375;15,893376350402832;572800
1999-06-25;28,40625;28,5625;27,84375;27,9375;15,648333549499512;530800
1999-06-28;27,8125;28,4375;27,65625;28,40625;15,910883903503418;566000
1999-06-29;28,5625;29,5;28,53125;29,5;16,52351188659668;1007600
1999-06-30;29,0;29,75;28,90625;29,6875;16,6285343170166;1094000
1999-07-01;29,40625;29,46875;28,9375;29,4375;16,488492965698242;602800
1999-07-02;29,3125;29,40625;29,125;29,34375;16,435997009277344;258200
1999-07-06;29,0;29,46875;28,875;29,3125;16,418489456176758;541600
1999-07-07;29,0;29,25;28,875;29,25;16,38347816467285;858400
