;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;;;
0;21;3;50;2;3;3;6;0,02;0,05;AAPL;in_sample_1_1x;11,53887562;0,630136098;-26,3833929;41;;;
1;21;3;50;2;3;3;6;0,02;0,1;AAPL;in_sample_1_1x;12,65630765;0,555747151;-28,65574035;36;;;
2;21;3;50;2;3;3;6;0,05;0,05;AAPL;in_sample_1_1x;12,18292979;0,605925908;-30,73815332;37;;;
3;21;3;50;2;3;3;6;0,05;0,1;AAPL;in_sample_1_1x;11,71431041;0,451753982;-39,09011117;32;;;
4;21;3;100;2;3;3;6;0,02;0,05;AAPL;in_sample_1_1x;9,482650568;0,550728283;-22,68976111;40;;;
5;21;3;100;2;3;3;6;0,02;0,1;AAPL;in_sample_1_1x;5,926299459;0,290302601;-29,81708362;35;;;
6;21;3;100;2;3;3;6;0,05;0,05;AAPL;in_sample_1_1x;12,74381459;0,675271056;-28,90598489;40;;;
7;21;3;100;2;3;3;6;0,05;0,1;AAPL;in_sample_1_1x;8,995742549;0,380977758;-30,10666209;33;;;
8;21;4;50;2;3;3;6;0,02;0,05;AAPL;in_sample_1_1x;9,205795902;0,890431871;-9,353997233;21;;;
9;21;4;50;2;3;3;6;0,02;0,1;AAPL;in_sample_1_1x;6,263593938;0,461506014;-20,94749657;21;;;
10;21;4;50;2;3;3;6;0,05;0,05;AAPL;in_sample_1_1x;11,40928766;0,835453967;-12,31409199;20;;;
11;21;4;50;2;3;3;6;0,05;0,1;AAPL;in_sample_1_1x;8,521895859;0,464560039;-20,33787956;20;;;
12;21;4;100;2;3;3;6;0,02;0,05;AAPL;in_sample_1_1x;10,76823664;0,703330512;-13,28710294;31;;;
13;21;4;100;2;3;3;6;0,02;0,1;AAPL;in_sample_1_1x;8,402446691;0,465824107;-24,76025486;27;;;
14;21;4;100;2;3;3;6;0,05;0,05;AAPL;in_sample_1_1x;13,17980867;0,76893994;-16,66633098;31;;;
15;21;4;100;2;3;3;6;0,05;0,1;AAPL;in_sample_1_1x;9,270144971;0,426373993;-21,03640858;26;;;
16;21;5;50;2;3;3;6;0,02;0,05;AAPL;in_sample_1_1x;7,616785738;0,919618714;-5,941634518;13;;;
17;21;5;50;2;3;3;6;0,02;0,1;AAPL;in_sample_1_1x;2,125628252;0,181427983;-21,38237938;13;;;
