;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;21;3;50;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;17,473200722291836;0,8184466478728409;-18,14711513545121;54,0
1;21;3;50;2;3;3;6;0,02;0,1;ADBE;in_sample_1_1x;7,715303170500953;0,31140848118199715;-34,41665457003119;48,0
2;21;3;50;2;3;3;6;0,05;0,05;ADBE;in_sample_1_1x;20,494201583446838;0,8276126640706907;-33,85984424243155;48,0
3;21;3;50;2;3;3;6;0,05;0,1;ADBE;in_sample_1_1x;14,43187984919485;0,4770218632344965;-40,95578048548657;39,0
4;21;3;100;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;12,355083189976689;0,6844134058639707;-24,797871199810572;47,0
5;21;3;100;2;3;3;6;0,02;0,1;ADBE;in_sample_1_1x;3,907728272039823;0,17306398393745923;-40,156978017492975;40,0
6;21;3;100;2;3;3;6;0,05;0,05;ADBE;in_sample_1_1x;16,896564138161473;0,7498474834945872;-26,34403645852953;45,0
7;21;3;100;2;3;3;6;0,05;0,1;ADBE;in_sample_1_1x;4,551923502776534;0,1648287717253585;-31,868439852618803;35,0
8;21;4;50;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;5,788836540242404;0,37225267380281807;-18,12230679945789;40,0
9;21;4;50;2;3;3;6;0,02;0,1;ADBE;in_sample_1_1x;1,1127547809560046;0,057142082714451065;-33,33865119342033;37,0
10;21;4;50;2;3;3;6;0,05;0,05;ADBE;in_sample_1_1x;14,815850190232638;0,6980750806537382;-25,775724617597508;35,0
11;21;4;50;2;3;3;6;0,05;0,1;ADBE;in_sample_1_1x;5,989730839815088;0,22973093479036458;-29,04177122106455;31,0
12;21;4;100;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;9,971911789715037;0,5838835716849147;-20,16218520343219;40,0
13;21;4;100;2;3;3;6;0,02;0,1;ADBE;in_sample_1_1x;2,734842457679787;0,1358935194369959;-34,99371823302801;33,0
14;21;4;100;2;3;3;6;0,05;0,05;ADBE;in_sample_1_1x;11,068776014450933;0,5750359126735707;-22,506723844542677;38,0
15;21;4;100;2;3;3;6;0,05;0,1;ADBE;in_sample_1_1x;6,842637533425866;0,28280272126421946;-35,9421255706583;32,0
16;21;5;50;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;6,130904088953759;0,4242386783913511;-18,122312591262425;26,0
17;21;5;50;2;3;3;6;0,02;0,1;ADBE;in_sample_1_1x;5,070499651064231;0,2795535140943128;-20,080805241153854;24,0
18;21;5;50;2;3;3;6;0,05;0,05;ADBE;in_sample_1_1x;8,017580864606067;0,4752405582046348;-24,912915359472166;24,0
19;21;5;50;2;3;3;6;0,05;0,1;ADBE;in_sample_1_1x;5,415199285089356;0,24701518512922735;-20,960693319924996;22,0
20;21;5;100;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;10,982308580576138;0,6563797996924222;-20,162193577958966;34,0
21;21;5;100;2;3;3;6;0,02;0,1;ADBE;in_sample_1_1x;6,916917593080707;0,3240900014694687;-27,335178956237293;30,0
22;21;5;100;2;3;3;6;0,05;0,05;ADBE;in_sample_1_1x;12,70779736044827;0,6849577361387971;-21,3666059214219;33,0
23;21;5;100;2;3;3;6;0,05;0,1;ADBE;in_sample_1_1x;10,37897316102212;0,4226794677405952;-31,663539736868664;29,0
24;28;3;50;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;33,10613723895466;1,0484696126394566;-11,932907817387871;62,0
25;28;3;50;2;3;3;6;0,02;0,1;ADBE;in_sample_1_1x;24,627438954503234;0,7263481309426403;-27,673008124772647;55,0
26;28;3;50;2;3;3;6;0,05;0,05;ADBE;in_sample_1_1x;27,80690634147378;0,8440812686334948;-31,459098599357638;59,0
27;28;3;50;2;3;3;6;0,05;0,1;ADBE;in_sample_1_1x;29,05969220323761;0,7757356669038504;-31,45910975526416;48,0
28;28;3;100;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;30,120622568446432;1,1554916042110375;-17,931933391854514;59,0
29;28;3;100;2;3;3;6;0,02;0,1;ADBE;in_sample_1_1x;25,4214439377469;0,8270068138459867;-19,794642783290385;51,0
30;28;3;100;2;3;3;6;0,05;0,05;ADBE;in_sample_1_1x;27,948682746800692;1,010716863748735;-16,118010912853663;56,0
31;28;3;100;2;3;3;6;0,05;0,1;ADBE;in_sample_1_1x;32,553521636837914;0,8813649916674342;-20,65616457367543;45,0
32;28;4;50;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;25,292550496128463;0,9966181027964303;-14,507078000716945;47,0
33;28;4;50;2;3;3;6;0,02;0,1;ADBE;in_sample_1_1x;24,187599367117073;0,7983806063117354;-27,530862722908857;41,0
34;28;4;50;2;3;3;6;0,05;0,05;ADBE;in_sample_1_1x;22,220407503055117;0,8203362822750543;-26,77664085058371;45,0
35;28;4;50;2;3;3;6;0,05;0,1;ADBE;in_sample_1_1x;25,676871225376964;0,7789453669002189;-32,03593791578038;36,0
36;28;4;100;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;23,59011858759623;1,0628538873762525;-20,196590761051837;48,0
37;28;4;100;2;3;3;6;0,02;0,1;ADBE;in_sample_1_1x;17,727731206809683;0,6714432737521456;-22,81680308769146;43,0
38;28;4;100;2;3;3;6;0,05;0,05;ADBE;in_sample_1_1x;24,323358636138572;1,0009440390212332;-17,239455787359958;47,0
39;28;4;100;2;3;3;6;0,05;0,1;ADBE;in_sample_1_1x;26,229127339354452;0,7995854931432448;-19,79461408673998;39,0
40;28;5;50;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;15,23118452526544;0,909396405291708;-12,564781606420784;30,0
41;28;5;50;2;3;3;6;0,02;0,1;ADBE;in_sample_1_1x;16,32388627874686;0,7845081734586831;-22,454366121781465;29,0
42;28;5;50;2;3;3;6;0,05;0,05;ADBE;in_sample_1_1x;14,703265834248548;0,8416045787558318;-15,678389939827852;29,0
43;28;5;50;2;3;3;6;0,05;0,1;ADBE;in_sample_1_1x;17,9290450616433;0,7215433948836149;-15,678394380378979;28,0
44;28;5;100;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;11,39803479889352;0,7125754069527508;-20,196589617464657;35,0
45;28;5;100;2;3;3;6;0,02;0,1;ADBE;in_sample_1_1x;9,687259060026898;0,48074215797626385;-24,78858914488725;33,0
46;28;5;100;2;3;3;6;0,05;0,05;ADBE;in_sample_1_1x;9,243477341140082;0,5020111897655914;-17,239438785684634;34,0
47;28;5;100;2;3;3;6;0,05;0,1;ADBE;in_sample_1_1x;10,10670013184567;0,4135402564023956;-21,58065832496311;31,0
48;21;3;50;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;12,995636574204216;0,6680518581000153;-24,117773089232962;51,0
49;21;3;50;2;3;4;6;0,02;0,1;ADBE;in_sample_1_1x;9,333988030814577;0,38360205617032694;-28,256107816761666;44,0
50;21;3;50;2;3;4;6;0,05;0,05;ADBE;in_sample_1_1x;16,10635343852218;0,6970531839076882;-38,71468964768832;47,0
51;21;3;50;2;3;4;6;0,05;0,1;ADBE;in_sample_1_1x;15,856919801266557;0,535886706861452;-36,16601177829138;36,0
52;21;3;100;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;12,334502230185041;0,7177175751761722;-26,714042133993456;44,0
53;21;3;100;2;3;4;6;0,02;0,1;ADBE;in_sample_1_1x;11,507953894678892;0,4879899009179157;-37,52016317826424;38,0
54;21;3;100;2;3;4;6;0,05;0,05;ADBE;in_sample_1_1x;15,277073374040672;0,729675705821628;-25,488541323090352;42,0
55;21;3;100;2;3;4;6;0,05;0,1;ADBE;in_sample_1_1x;12,133928854733034;0,4291404979241845;-24,32315325781197;34,0
56;21;4;50;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;1,5492306873923445;0,11552312303421212;-22,993180671029624;36,0
57;21;4;50;2;3;4;6;0,02;0,1;ADBE;in_sample_1_1x;2,423034786813405;0,1302477507895131;-33,09897109956117;32,0
58;21;4;50;2;3;4;6;0,05;0,05;ADBE;in_sample_1_1x;9,145488908189847;0,49170033607085495;-31,22396043916258;33,0
59;21;4;50;2;3;4;6;0,05;0,1;ADBE;in_sample_1_1x;8,47909007836627;0,3433721857869756;-27,691078042056628;27,0
60;21;4;100;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;7,99216729424852;0,502114741678512;-22,196473623662904;37,0
61;21;4;100;2;3;4;6;0,02;0,1;ADBE;in_sample_1_1x;4,498656371127319;0,22899706449068996;-32,12940649395011;30,0
62;21;4;100;2;3;4;6;0,05;0,05;ADBE;in_sample_1_1x;10,205402378193584;0,5645389256874807;-24,10245125622944;36,0
63;21;4;100;2;3;4;6;0,05;0,1;ADBE;in_sample_1_1x;9,119514950301832;0,3898823569931295;-25,18646905798949;28,0
64;21;5;50;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;1,393250925237477;0,11448558852008257;-22,46868951758717;23,0
65;21;5;50;2;3;4;6;0,02;0,1;ADBE;in_sample_1_1x;6,242239952995754;0,3639885019139137;-20,080798074624628;19,0
66;21;5;50;2;3;4;6;0,05;0,05;ADBE;in_sample_1_1x;2,194794287863999;0,15459572451356077;-32,58357131708094;23,0
67;21;5;50;2;3;4;6;0,05;0,1;ADBE;in_sample_1_1x;7,698639817417208;0,3819138714169753;-20,79521490427213;18,0
68;21;5;100;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;8,353149386197046;0,536225025283868;-22,19647935994954;32,0
69;21;5;100;2;3;4;6;0,02;0,1;ADBE;in_sample_1_1x;8,122646308776726;0,3897987028557067;-27,335178956237293;28,0
70;21;5;100;2;3;4;6;0,05;0,05;ADBE;in_sample_1_1x;10,12862577932918;0,5906862430282702;-24,102451827011564;31,0
71;21;5;100;2;3;4;6;0,05;0,1;ADBE;in_sample_1_1x;12,84913530712517;0,5378530729085836;-21,366600449449614;27,0
72;28;3;50;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;31,271400690735906;1,0442290346448633;-11,577257569355904;58,0
73;28;3;50;2;3;4;6;0,02;0,1;ADBE;in_sample_1_1x;23,143177508516644;0,718086782054485;-24,882400841030183;53,0
74;28;3;50;2;3;4;6;0,05;0,05;ADBE;in_sample_1_1x;27,23121183264563;0,8338701563055377;-26,77663927831848;55,0
75;28;3;50;2;3;4;6;0,05;0,1;ADBE;in_sample_1_1x;30,082655959749193;0,8028001345432377;-29,222169945644804;46,0
76;28;3;100;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;31,975607145256156;1,220003605104956;-17,073360668595594;57,0
77;28;3;100;2;3;4;6;0,02;0,1;ADBE;in_sample_1_1x;31,45392009291228;1,0121613444750075;-19,607766711822382;52,0
78;28;3;100;2;3;4;6;0,05;0,05;ADBE;in_sample_1_1x;31,84932725704368;1,0898422046244853;-15,076618170130928;53,0
79;28;3;100;2;3;4;6;0,05;0,1;ADBE;in_sample_1_1x;40,17078037023174;1,036397004059397;-20,656162952466804;46,0
80;28;4;50;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;25,518078765617513;1,0085736524190416;-14,507078325297673;44,0
81;28;4;50;2;3;4;6;0,02;0,1;ADBE;in_sample_1_1x;20,643549753648436;0,7500695148689152;-29,135818246474987;40,0
82;28;4;50;2;3;4;6;0,05;0,05;ADBE;in_sample_1_1x;26,08341081703942;0,9021781807711575;-26,776631039764776;42,0
83;28;4;50;2;3;4;6;0,05;0,1;ADBE;in_sample_1_1x;27,284882279882194;0,8447099636974398;-32,52546407971629;36,0
84;28;4;100;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;23,760679491525003;1,071973079867454;-19,361709676318906;42,0
85;28;4;100;2;3;4;6;0,02;0,1;ADBE;in_sample_1_1x;23,738543826237613;0,8904499576526838;-19,36170799525906;39,0
86;28;4;100;2;3;4;6;0,05;0,05;ADBE;in_sample_1_1x;24,073994894232833;0,9941856679544352;-16,21198212192525;41,0
87;28;4;100;2;3;4;6;0,05;0,1;ADBE;in_sample_1_1x;30,32746414852463;0,9361634365206668;-18,384748606216718;37,0
88;28;5;50;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;18,37833304857743;1,0655790120158681;-12,56478370679286;27,0
89;28;5;50;2;3;4;6;0,02;0,1;ADBE;in_sample_1_1x;19,481885243506735;0,9597193801554486;-20,833051161125383;26,0
90;28;5;50;2;3;4;6;0,05;0,05;ADBE;in_sample_1_1x;17,870402860029124;0,9989110252159983;-15,67838941179981;26,0
91;28;5;50;2;3;4;6;0,05;0,1;ADBE;in_sample_1_1x;18,502826973167963;0,7747007929344795;-23,652225364517488;25,0
92;28;5;100;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;14,351882243608905;0,8690596256298159;-19,36170538314831;31,0
93;28;5;100;2;3;4;6;0,02;0,1;ADBE;in_sample_1_1x;13,347400498051897;0,6617306577476695;-21,47318686345696;29,0
94;28;5;100;2;3;4;6;0,05;0,05;ADBE;in_sample_1_1x;12,172930234696322;0,6441162079458692;-16,971461709990432;30,0
95;28;5;100;2;3;4;6;0,05;0,1;ADBE;in_sample_1_1x;14,781989260028695;0,6023583632858235;-17,570199635925444;27,0
96;21;3;50;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;4,812035838893491;0,3371916294453805;-23,402537356609933;39,0
97;21;3;50;2;3;3;6;0,02;0,1;ADBE;in_sample_2_1x;5,141589126475465;0,3152849936305425;-23,544815597310688;34,0
98;21;3;50;2;3;3;6;0,05;0,05;ADBE;in_sample_2_1x;2,7899535994067692;0,1673124262783678;-20,77706940366997;34,0
99;21;3;50;2;3;3;6;0,05;0,1;ADBE;in_sample_2_1x;0,40125447930701164;0,020978097665262836;-39,1167896594148;30,0
100;21;3;100;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;0,968944625458712;0,0775347716146211;-22,039161582408983;39,0
101;21;3;100;2;3;3;6;0,02;0,1;ADBE;in_sample_2_1x;1,8725000081445176;0,11261048938796978;-25,714896662151855;37,0
102;21;3;100;2;3;3;6;0,05;0,05;ADBE;in_sample_2_1x;5,018051497070952;0,32835583167239013;-14,449126103583254;35,0
103;21;3;100;2;3;3;6;0,05;0,1;ADBE;in_sample_2_1x;3,3047846779812984;0,1627869674705049;-23,419110271347098;30,0
104;21;4;50;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;1,6549057988927585;0,15222756662053014;-29,915705180321595;24,0
105;21;4;50;2;3;3;6;0,02;0,1;ADBE;in_sample_2_1x;-2,3023729164743267;-0,18246726655435097;-42,9253356586601;21,0
106;21;4;50;2;3;3;6;0,05;0,05;ADBE;in_sample_2_1x;0,7376381834774737;0,053476629852184175;-30,6224907902075;24,0
107;21;4;50;2;3;3;6;0,05;0,1;ADBE;in_sample_2_1x;-4,330910985297587;-0,2731210793144413;-49,58005622779156;21,0
108;21;4;100;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;2,432577765437216;0,23204831681088323;-14,7623718698204;26,0
109;21;4;100;2;3;3;6;0,02;0,1;ADBE;in_sample_2_1x;3,4629376717675964;0,24063476585551993;-18,953611690178672;25,0
110;21;4;100;2;3;3;6;0,05;0,05;ADBE;in_sample_2_1x;4,426824917154493;0,3506964685055387;-13,953232231955292;23,0
111;21;4;100;2;3;3;6;0,05;0,1;ADBE;in_sample_2_1x;3,425845110544734;0,19005926396986414;-27,80411502750494;22,0
112;21;5;50;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;3,909698507258841;0,39113847365944376;-16,393557631573497;17,0
113;21;5;50;2;3;3;6;0,02;0,1;ADBE;in_sample_2_1x;-1,3263491808645278;-0,11318774350120643;-32,8624757382834;16,0
114;21;5;50;2;3;3;6;0,05;0,05;ADBE;in_sample_2_1x;2,8309100259718;0,2241082554120124;-17,89203352834755;17,0
115;21;5;50;2;3;3;6;0,05;0,1;ADBE;in_sample_2_1x;-3,2826949400615257;-0,22480916617493688;-40,11695777178532;16,0
116;21;5;100;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;3,1026806606237134;0,3127175371777368;-14,206718916672411;23,0
117;21;5;100;2;3;3;6;0,02;0,1;ADBE;in_sample_2_1x;1,8216185418893138;0,1418089807887776;-18,664951996342126;22,0
118;21;5;100;2;3;3;6;0,05;0,05;ADBE;in_sample_2_1x;4,893793838160754;0,40232727708588856;-13,953233434633816;20,0
119;21;5;100;2;3;3;6;0,05;0,1;ADBE;in_sample_2_1x;1,5757819800905626;0,09447495887636125;-29,83229979902955;19,0
120;28;3;50;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;17,263804878901734;1,0302557588526289;-12,750756749763648;54,0
121;28;3;50;2;3;3;6;0,02;0,1;ADBE;in_sample_2_1x;11,579593612910388;0,6081468637054639;-18,49276013943576;43,0
122;28;3;50;2;3;3;6;0,05;0,05;ADBE;in_sample_2_1x;16,517235489263825;0,8800042312286934;-17,01796990262737;50,0
123;28;3;50;2;3;3;6;0,05;0,1;ADBE;in_sample_2_1x;14,568592938334902;0,6901993823254329;-18,21680698666197;39,0
124;28;3;100;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;11,714759237706861;0,653420010874701;-31,70455428812443;52,0
125;28;3;100;2;3;3;6;0,02;0,1;ADBE;in_sample_2_1x;12,397689854563865;0,6031946502733551;-41,67638786580981;41,0
126;28;3;100;2;3;3;6;0,05;0,05;ADBE;in_sample_2_1x;14,088433292891711;0,751701473277355;-35,359769803164276;48,0
127;28;3;100;2;3;3;6;0,05;0,1;ADBE;in_sample_2_1x;11,339936508688965;0,5343599740117438;-39,98865864361017;37,0
128;28;4;50;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;6,875573539622204;0,5795484442447755;-14,412235568891607;32,0
129;28;4;50;2;3;3;6;0,02;0,1;ADBE;in_sample_2_1x;3,6434364534556174;0,2500673833916989;-23,156665759863426;27,0
130;28;4;50;2;3;3;6;0,05;0,05;ADBE;in_sample_2_1x;7,988750807793088;0,5946192164579645;-20,470161771218333;31,0
131;28;4;50;2;3;3;6;0,05;0,1;ADBE;in_sample_2_1x;4,018798977992111;0,256914308733597;-26,919222550283294;25,0
132;28;4;100;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;6,012402250760718;0,5663854297156877;-18,73099748861524;34,0
133;28;4;100;2;3;3;6;0,02;0,1;ADBE;in_sample_2_1x;3,41595449925598;0,23625839128685722;-19,740390255712846;28,0
134;28;4;100;2;3;3;6;0,05;0,05;ADBE;in_sample_2_1x;6,2113984728982885;0,5369947205331406;-22,793774677609168;31,0
135;28;4;100;2;3;3;6;0,05;0,1;ADBE;in_sample_2_1x;3,805241688612626;0,2511510189213522;-23,390095540345925;25,0
136;28;5;50;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;4,479203726649095;0,527387647533833;-10,208289126241466;20,0
137;28;5;50;2;3;3;6;0,02;0,1;ADBE;in_sample_2_1x;2,4284803969829127;0,20174414593951492;-19,068710222894303;19,0
138;28;5;50;2;3;3;6;0,05;0,05;ADBE;in_sample_2_1x;5,420731246997179;0,5685726541947184;-13,030306272546;19,0
139;28;5;50;2;3;3;6;0,05;0,1;ADBE;in_sample_2_1x;2,99556686039546;0,23711000217350123;-20,82042922286589;16,0
140;28;5;100;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;9,058491408072022;0,9253035352889111;-12,510063643466761;26,0
141;28;5;100;2;3;3;6;0,02;0,1;ADBE;in_sample_2_1x;7,537653744454897;0,5395134908880943;-14,196178293732531;22,0
142;28;5;100;2;3;3;6;0,05;0,05;ADBE;in_sample_2_1x;9,460908555097735;0,9323659672604849;-14,86390104556693;24,0
143;28;5;100;2;3;3;6;0,05;0,1;ADBE;in_sample_2_1x;7,705854726681305;0,5424561801368948;-16,32566019027878;20,0
144;21;3;50;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;5,944898775386442;0,4093462665763684;-23,402537356609933;39,0
145;21;3;50;2;3;4;6;0,02;0,1;ADBE;in_sample_2_1x;6,472452363234993;0,38739536248814554;-18,393854264341392;34,0
146;21;3;50;2;3;4;6;0,05;0,05;ADBE;in_sample_2_1x;3,900956401157063;0,23032519963912235;-20,77706940366997;34,0
147;21;3;50;2;3;4;6;0,05;0,1;ADBE;in_sample_2_1x;1,6721113153736145;0,08564940325648701;-33,66552371897785;30,0
148;21;3;100;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;2,429427721227717;0,18620858379745509;-20,961616138668894;40,0
149;21;3;100;2;3;4;6;0,02;0,1;ADBE;in_sample_2_1x;4,132189092602823;0,2508113142657885;-25,714897735095743;36,0
150;21;3;100;2;3;4;6;0,05;0,05;ADBE;in_sample_2_1x;6,782006116550354;0,43356314365481796;-14,44912627181446;34,0
151;21;3;100;2;3;4;6;0,05;0,1;ADBE;in_sample_2_1x;4,1232086233832455;0,21898903735960726;-21,27651962448641;31,0
152;21;4;50;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;1,6549057988927585;0,15222756662053014;-29,915705180321595;24,0
153;21;4;50;2;3;4;6;0,02;0,1;ADBE;in_sample_2_1x;-2,3023729164743267;-0,18246726655435097;-42,9253356586601;21,0
154;21;4;50;2;3;4;6;0,05;0,05;ADBE;in_sample_2_1x;0,7376381834774737;0,053476629852184175;-30,6224907902075;24,0
155;21;4;50;2;3;4;6;0,05;0,1;ADBE;in_sample_2_1x;-4,330910985297587;-0,2731210793144413;-49,58005622779156;21,0
156;21;4;100;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;2,311689781621862;0,21684438111292392;-16,015177471282062;27,0
157;21;4;100;2;3;4;6;0,02;0,1;ADBE;in_sample_2_1x;2,424730223977223;0,17864592301105087;-19,252709700876437;26,0
158;21;4;100;2;3;4;6;0,05;0,05;ADBE;in_sample_2_1x;4,092444598919576;0,3178860885036954;-13,953213756811088;22,0
159;21;4;100;2;3;4;6;0,05;0,1;ADBE;in_sample_2_1x;-0,3947260164728683;-0,025729773599720486;-20,21272388064138;21,0
160;21;5;50;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;3,909698507258841;0,39113847365944376;-16,393557631573497;17,0
161;21;5;50;2;3;4;6;0,02;0,1;ADBE;in_sample_2_1x;-1,3263491808645278;-0,11318774350120643;-32,8624757382834;16,0
162;21;5;50;2;3;4;6;0,05;0,05;ADBE;in_sample_2_1x;2,8309100259718;0,2241082554120124;-17,89203352834755;17,0
163;21;5;50;2;3;4;6;0,05;0,1;ADBE;in_sample_2_1x;-3,2826949400615257;-0,22480916617493688;-40,11695777178532;16,0
164;21;5;100;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;3,31093218949432;0,3324802914254881;-13,698269711485944;24,0
165;21;5;100;2;3;4;6;0,02;0,1;ADBE;in_sample_2_1x;2,801790337828347;0,21773019534276739;-20,430468499056996;23,0
166;21;5;100;2;3;4;6;0,05;0,05;ADBE;in_sample_2_1x;4,762848753279569;0,40218444234980777;-13,953229614218332;19,0
167;21;5;100;2;3;4;6;0,05;0,1;ADBE;in_sample_2_1x;1,3610864616670382;0,09492529177732952;-24,30490288036936;18,0
168;28;3;50;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;11,611656678685911;0,7657329602958731;-12,750755229270627;51,0
169;28;3;50;2;3;4;6;0,02;0,1;ADBE;in_sample_2_1x;8,286166611729207;0,48437289615217183;-17,200401357307182;40,0
170;28;3;50;2;3;4;6;0,05;0,05;ADBE;in_sample_2_1x;12,329332402988147;0,69251837884085;-17,01797557786422;45,0
171;28;3;50;2;3;4;6;0,05;0,1;ADBE;in_sample_2_1x;7,451627639008596;0,4027798435589144;-25,404077100485;37,0
