;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;3;50;2;3;4;6;0,02;0,05;AEE;in_sample_1_2x;16,322860132471504;1,6412968300553248;-9,789596023793756;28,0
1;28;3;50;2;3;4;6;0,02;0,07;AEE;in_sample_1_2x;17,50047970927209;1,6221762938944764;-9,096926583638687;26,0
2;28;3;50;2;3;4;6;0,02;0,09;AEE;in_sample_1_2x;17,150392553244043;1,3387272289204586;-14,216038402899967;25,0
3;28;3;50;2;3;4;6;0,02;0,11;AEE;in_sample_1_2x;18,667275100451874;1,4195348586333003;-14,216033756994262;24,0
4;28;3;50;2;3;4;6;0,02;0,13;AEE;in_sample_1_2x;15,798756707858042;1,0747102307482577;-14,216040425826604;23,0
5;28;3;50;2;3;4;6;0,03;0,05;AEE;in_sample_1_2x;17,319411525068507;1,6704840683665658;-10,384388422014723;27,0
6;28;3;50;2;3;4;6;0,03;0,07;AEE;in_sample_1_2x;19,363479263601313;1,7167541682164216;-9,696280793901146;25,0
7;28;3;50;2;3;4;6;0,03;0,09;AEE;in_sample_1_2x;17,524406464958652;1,3292782928274058;-15,125990386436673;24,0
8;28;3;50;2;3;4;6;0,03;0,11;AEE;in_sample_1_2x;19,288557635310344;1,4208460944996713;-15,125987440476674;23,0
9;28;3;50;2;3;4;6;0,03;0,13;AEE;in_sample_1_2x;15,97013764333861;1,0567649016975478;-15,12598542533966;22,0
10;28;3;50;2;3;4;6;0,04;0,05;AEE;in_sample_1_2x;16,021201108644245;1,5429615437123143;-13,466598375708383;27,0
11;28;3;50;2;3;4;6;0,04;0,07;AEE;in_sample_1_2x;16,80716580333077;1,5421114981749189;-12,802160215809522;24,0
12;28;3;50;2;3;4;6;0,04;0,09;AEE;in_sample_1_2x;15,943461382746872;1,222378643696254;-17,689654712824698;24,0
13;28;3;50;2;3;4;6;0,04;0,11;AEE;in_sample_1_2x;17,683871334274336;1,316685040946946;-17,689652701712344;23,0
14;28;3;50;2;3;4;6;0,04;0,13;AEE;in_sample_1_2x;14,489849016911105;0,9687380168767465;-17,689649400219377;22,0
15;28;3;50;2;3;4;6;0,05;0,05;AEE;in_sample_1_2x;17,482566057980176;1,6400025776406022;-8,841759341055354;26,0
16;28;3;50;2;3;4;6;0,05;0,07;AEE;in_sample_1_2x;15,810064569404503;1,4136508287742053;-16,62552979650761;23,0
17;28;3;50;2;3;4;6;0,05;0,09;AEE;in_sample_1_2x;17,040439025445654;1,2859479763914732;-16,625530983951954;23,0
18;28;3;50;2;3;4;6;0,05;0,11;AEE;in_sample_1_2x;18,797323142032198;1,3778987008373618;-16,625533948135274;22,0
19;28;3;50;2;3;4;6;0,05;0,13;AEE;in_sample_1_2x;15,085202690854093;0,9907320921125422;-16,625536383616137;21,0
20;28;3;60;2;3;4;6;0,02;0,05;AEE;in_sample_1_2x;20,838596358265924;1,8425131327751532;-7,781730645716422;30,0
21;28;3;60;2;3;4;6;0,02;0,07;AEE;in_sample_1_2x;23,106792718511905;1,8204487877518425;-7,781730888948624;29,0
