Date;Open;High;Low;Close;Adj Close;Volume
1999-01-04;42,5625;42,9375;42,3125;42,6875;12,963357925415039;323200
1999-01-05;42,625;42,6875;42,1875;42,3125;12,8494873046875;105300
1999-01-06;42,4375;42,4375;41,9375;42,25;12,830509185791016;126800
1999-01-07;41,875;42,125;41,625;41,875;12,716625213623047;125600
1999-01-08;41,8125;41,8125;40,875;41,5;12,602745056152344;219500
1999-01-11;41,25;41,5625;40,0625;40,625;12,33702564239502;260400
1999-01-12;40,5;41,0;40,5;40,8125;12,393962860107422;337600
1999-01-13;40,6875;41,0625;40,375;40,75;12,374982833862305;199800
1999-01-14;40,5;40,5;40,0;40,1875;12,204169273376465;202800
1999-01-15;40,3125;40,5;40,25;40,5;12,299059867858887;189000
1999-01-19;39,9375;40,0625;39,8125;40,0625;12,16620922088623;260200
1999-01-20;40,0;40,0;39,375;39,5;11,995381355285645;319900
1999-01-21;39,375;39,75;39,3125;39,5625;12,014364242553711;229500
1999-01-22;39,4375;39,875;39,4375;39,875;12,109264373779297;228700
1999-01-25;40,0;40,3125;39,875;40,1875;12,204169273376465;347800
1999-01-26;40,3125;40,5625;39,5;39,6875;12,052323341369629;462600
1999-01-27;39,9375;39,9375;39,125;39,1875;11,900481224060059;182400
1999-01-28;39,3125;39,8125;39,1875;39,5625;12,014364242553711;326900
1999-01-29;39,6875;39,6875;38,75;39,25;11,919464111328125;343000
1999-02-01;39,0;39,0;38,1875;38,4375;11,672717094421387;367600
1999-02-02;38,25;38,5;38,0;38,3125;11,634765625;234800
1999-02-03;38,375;38,375;37,9375;38,3125;11,634765625;202900
1999-02-04;38,3125;38,3125;37,25;37,5625;11,407002449035645;241100
1999-02-05;37,5625;37,75;37,4375;37,625;11,425982475280762;221500
1999-02-08;37,875;38,0;37,375;37,625;11,425982475280762;300200
1999-02-09;37,75;37,875;37,4375;37,5;11,38802433013916;194900
1999-02-10;37,75;37,9375;37,3125;37,5625;11,407002449035645;147200
1999-02-11;37,3125;37,5;37,0;37,3125;11,331080436706543;91100
1999-02-12;37,4375;37,4375;36,5;36,625;11,122302055358887;232500
1999-02-16;36,75;37,4375;36,75;37,0625;11,25516414642334;172600
1999-02-17;37,125;38,125;37,0;37,5625;11,407002449035645;214100
1999-02-18;37,5625;38,625;37,5;38,4375;11,672717094421387;324000
1999-02-19;38,3125;38,375;37,5625;37,625;11,425982475280762;330800
1999-02-22;37,5;38,0;37,5;37,8125;11,482917785644531;273600
1999-02-23;37,625;37,75;37,3125;37,75;11,46394157409668;295600
1999-02-24;37,9375;38,125;37,25;37,3125;11,331080436706543;278800
1999-02-25;37,1875;37,5;36,75;37,0625;11,25516414642334;214800
1999-02-26;37,125;37,4375;36,8125;37,3125;11,331080436706543;294300
1999-03-01;37,1875;37,4375;37,0;37,3125;11,331080436706543;233100
1999-03-02;37,375;38,0625;37,125;37,625;11,425982475280762;276700
1999-03-03;37,5625;38,375;37,4375;38,125;11,577820777893066;238300
1999-03-04;38,0625;39,0625;37,875;38,6875;11,748642921447754;452600
1999-03-05;38,9375;39,625;38,9375;39,1875;11,900481224060059;394400
1999-03-08;38,25;38,25;37,5625;38,25;11,807103157043457;316000
1999-03-09;38,125;38,1875;37,1875;37,5;11,575593948364258;242600
1999-03-10;37,375;37,625;36,9375;37,0625;11,440546989440918;258300
1999-03-11;37,1875;37,75;37,0625;37,625;11,614171981811523;240300
1999-03-12;37,625;38,1875;37,5625;38,125;11,768526077270508;170200
1999-03-15;37,875;37,9375;37,4375;37,5625;11,594887733459473;246400
1999-03-16;37,375;37,875;37,1875;37,6875;11,633468627929688;123800
1999-03-17;37,4375;37,6875;37,3125;37,6875;11,633468627929688;126700
1999-03-18;37,5;38,125;37,4375;38,0625;11,749227523803711;170900
1999-03-19;38,0625;38,0625;37,3125;37,5;11,575593948364258;293200
1999-03-22;37,4375;37,625;37,25;37,625;11,614171981811523;82300
1999-03-23;37,5;37,625;36,9375;37,0625;11,440546989440918;226700
1999-03-24;37,125;38,125;36,875;38,0625;11,749227523803711;389700
1999-03-25;37,9375;37,9375;37,5625;37,875;11,691347122192383;100700
1999-03-26;37,75;37,875;37,375;37,4375;11,556295394897461;317800
1999-03-29;37,4375;37,625;37,25;37,375;11,537013053894043;179000
1999-03-30;37,5625;37,5625;36,5625;36,5625;11,28620719909668;353700
1999-03-31;37,0625;37,0625;36,1875;36,1875;11,170441627502441;174300
1999-04-01;36,25;36,875;35,8125;36,625;11,305498123168945;357900
1999-04-05;36,625;37,0;36,625;37,0;11,421249389648438;229900
1999-04-06;37,0;37,0;36,125;36,3125;11,209029197692871;170800
1999-04-07;36,25;36,5625;35,8125;36,125;11,151155471801758;272100
1999-04-08;36,0625;36,875;36,0625;36,8125;11,36337661743164;251500
1999-04-09;36,625;36,75;36,125;36,3125;11,209029197692871;150200
1999-04-12;36,5625;36,75;36,3125;36,6875;11,324790000915527;130500
1999-04-13;36,4375;36,5625;36,1875;36,375;11,228326797485352;126200
1999-04-14;36,375;36,4375;36,0625;36,1875;11,170441627502441;228500
1999-04-15;36,375;36,5;36,1875;36,25;11,189743995666504;281600
1999-04-16;36,4375;36,625;36,1875;36,5;11,266911506652832;291800
1999-04-19;36,625;37,5;36,625;37,375;11,537013053894043;352600
1999-04-20;37,5;38,75;37,375;38,625;11,922855377197266;403000
1999-04-21;38,6875;38,9375;38,375;38,9375;12,019328117370605;538500
1999-04-22;38,9375;38,9375;38,25;38,5;11,884278297424316;303400
1999-04-23;38,5;38,625;38,1875;38,3125;11,826403617858887;148400
1999-04-26;38,3125;38,625;38,125;38,3125;11,826403617858887;147300
1999-04-27;38,4375;38,5625;38,1875;38,1875;11,787814140319824;209600
1999-04-28;38,125;38,6875;38,0;38,375;11,845693588256836;367900
1999-04-29;38,4375;39,0;38,375;38,75;11,961447715759277;359700
1999-04-30;38,9375;38,9375;38,5;38,6875;11,94215202331543;478300
1999-05-03;38,5625;39,5;38,5;39,375;12,154373168945312;268200
1999-05-04;39,375;39,375;39,0;39,125;12,077197074890137;144600
1999-05-05;39,0;39,5;38,875;39,5;12,192961692810059;264700
1999-05-06;39,125;39,3125;39,0;39,1875;12,096491813659668;175600
1999-05-07;39,25;39,4375;38,875;39,25;12,1157865524292;226800
1999-05-10;39,0625;39,8125;38,9375;39,4375;12,173666000366211;104600
1999-05-11;39,1875;39,5625;38,9375;39,3125;12,135077476501465;144000
1999-05-12;39,3125;39,4375;39,0;39,375;12,154373168945312;186500
1999-05-13;39,375;39,9375;39,25;39,9375;12,328007698059082;148900
1999-05-14;39,75;39,75;39,0;39,25;12,1157865524292;182100
1999-05-17;39,3125;39,875;39,125;39,6875;12,250838279724121;117800
1999-05-18;39,6875;39,8125;39,25;39,5;12,192961692810059;161700
1999-05-19;39,6875;39,9375;39,625;39,8125;12,289424896240234;118100
1999-05-20;39,75;39,9375;39,5;39,875;12,30871295928955;432500
1999-05-21;39,6875;40,3125;39,6875;40,125;12,385881423950195;290000
1999-05-24;40,0625;40,75;40,0625;40,375;12,463054656982422;257800
