;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;21;3;50;2;3;3;6;0,02;0,05;CINF;in_sample_1_1x;13,359253439979724;1,1617658033637628;-9,970638857046332;40,0
1;21;3;50;2;3;3;6;0,02;0,1;CINF;in_sample_1_1x;11,929934900478711;0,8680478596617288;-9,583985142654171;36,0
2;21;3;50;2;3;3;6;0,05;0,05;CINF;in_sample_1_1x;17,76673944109963;1,3091234624973107;-9,527213218306564;34,0
3;21;3;50;2;3;3;6;0,05;0,1;CINF;in_sample_1_1x;10,223462631362734;0,5991363613580031;-15,68925214286071;29,0
4;21;3;100;2;3;3;6;0,02;0,05;CINF;in_sample_1_1x;13,16351011232646;1,0684545801184655;-10,483482229753282;34,0
5;21;3;100;2;3;3;6;0,02;0,1;CINF;in_sample_1_1x;1,1910766284879193;0,09132082803337306;-19,72497543606979;29,0
6;21;3;100;2;3;3;6;0,05;0,05;CINF;in_sample_1_1x;16,332161930812262;1,0787639727524938;-15,692981792470984;33,0
7;21;3;100;2;3;3;6;0,05;0,1;CINF;in_sample_1_1x;2,117802627590648;0,13396138356842174;-26,7751124404105;24,0
8;21;4;50;2;3;3;6;0,02;0,05;CINF;in_sample_1_1x;3,5872841580163906;0,37633620094189973;-13,210083690418884;25,0
9;21;4;50;2;3;3;6;0,02;0,1;CINF;in_sample_1_1x;0,4839746334101669;0,03955433211869665;-26,231238269996926;24,0
10;21;4;50;2;3;3;6;0,05;0,05;CINF;in_sample_1_1x;5,130243672935819;0,4387408713668024;-14,553371159953398;20,0
11;21;4;50;2;3;3;6;0,05;0,1;CINF;in_sample_1_1x;-1,9039466846950015;-0,12401831188216485;-29,605359161756116;19,0
12;21;4;100;2;3;3;6;0,02;0,05;CINF;in_sample_1_1x;3,6390613778985115;0,421251669204714;-15,026019896667098;24,0
13;21;4;100;2;3;3;6;0,02;0,1;CINF;in_sample_1_1x;-3,586034031480423;-0,38094663041985327;-26,01964815362222;21,0
14;21;4;100;2;3;3;6;0,05;0,05;CINF;in_sample_1_1x;6,247879328079287;0,518949276984433;-17,641133982850434;22,0
15;21;4;100;2;3;3;6;0,05;0,1;CINF;in_sample_1_1x;-4,567238904509785;-0,3533388731038787;-32,416599870452536;17,0
16;21;5;50;2;3;3;6;0,02;0,05;CINF;in_sample_1_1x;0,7410961933086213;0,09080018769101729;-10,114362309008772;19,0
17;21;5;50;2;3;3;6;0,02;0,1;CINF;in_sample_1_1x;2,3644954982048105;0,2535927292698715;-14,732878550548179;18,0
18;21;5;50;2;3;3;6;0,05;0,05;CINF;in_sample_1_1x;1,4272569528278378;0,1380827733156962;-17,29605514028001;15,0
19;21;5;50;2;3;3;6;0,05;0,1;CINF;in_sample_1_1x;-0,29639196206723284;-0,02305527188626278;-19,0245002781558;15,0
20;21;5;100;2;3;3;6;0,02;0,05;CINF;in_sample_1_1x;0,6246041783210421;0,0771907875476629;-13,947810088669222;21,0
21;21;5;100;2;3;3;6;0,02;0,1;CINF;in_sample_1_1x;-4,102804988435194;-0,4081373140067646;-30,80813411388754;19,0
22;21;5;100;2;3;3;6;0,05;0,05;CINF;in_sample_1_1x;2,554877884413309;0,22175053737401926;-25,273695247309735;20,0
23;21;5;100;2;3;3;6;0,05;0,1;CINF;in_sample_1_1x;-4,407359042507086;-0,31420007781915854;-32,24884869539579;15,0
24;28;3;50;2;3;3;6;0,02;0,05;CINF;in_sample_1_1x;13,361009546353486;1,079887270411658;-8,814147156630547;37,0
25;28;3;50;2;3;3;6;0,02;0,1;CINF;in_sample_1_1x;9,33302280205055;0,6314677503010284;-16,364789482171226;31,0
26;28;3;50;2;3;3;6;0,05;0,05;CINF;in_sample_1_1x;16,94104800560694;1,21644451753932;-9,860451123669744;33,0
