;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;28;3;50;2;3;4;6;0,02;0,05;CINF;8,646224256482725;0,6927940238354844;-10,738798819309151;27,6;8,983277541145211;8,400888115667835;10,0;10,0;9,107372693538759
1;28;3;50;2;3;4;6;0,02;0,07;CINF;7,6256992127396614;0,5377260460110929;-13,665172668726267;25,6;7,359014866630681;6,171271824115896;7,522497443593689;8,11320754716981;7,150756176983904
2;28;3;50;2;3;4;6;0,02;0,09;CINF;8,025062760842175;0,5229240639125743;-16,801377178362205;23,8;7,994639938961504;5,9584442571536735;4,867349779673824;6,415094339622641;6,740464635784046
3;28;3;50;2;3;4;6;0,02;0,11;CINF;7,1222034359413815;0,37285065603155665;-18,623095839734496;22,6;6,5576534477775015;3,8006414674689815;3,325061311813879;5,283018867924529;5,126046208286982
4;28;3;50;2;3;4;6;0,02;0,13;CINF;7,554979397048609;0,38623777073687116;-18,7950981845612;22,2;7,24645755343216;3,9931256248212206;3,179442101506583;4,9056603773584895;5,401532341257713
5;28;3;50;2;3;4;6;0,03;0,05;CINF;8,238111793412642;0,6059812180358009;-13,944626304438657;26,4;8,3337277384891;7,152666214267228;7,285908705277706;8,867924528301884;7,922906982511621
6;28;3;50;2;3;4;6;0,03;0,07;CINF;7,17181068177217;0,4708055359831693;-16,6220274014258;24,0;6,636608097918065;5,209067625089102;5,019189412514772;6,603773584905659;5,9929889344789755
7;28;3;50;2;3;4;6;0,03;0,09;CINF;7,902319255032653;0,5049558764424397;-18,543627884241644;22,4;7,799281974698103;5,700091990778985;3,3923398185997224;5,094339622641507;6,183529906699072
8;28;3;50;2;3;4;6;0,03;0,11;CINF;7,269788243961767;0,37092484970777784;-20,99551273570825;21,0;6,792548707293796;3,772951616771802;1,3165452345508077;3,773584905660377;4,716239927948025
9;28;3;50;2;3;4;6;0,03;0,13;CINF;7,666547835003959;0,3788391787805959;-20,995502329436384;21,0;7,424029334287338;3,8867463362556767;1,3165540446230939;3,773584905660377;5,0193885179509765
10;28;3;50;2;3;4;6;0,04;0,05;CINF;7,977136147980484;0,563432683705753;-15,872511009954327;25,4;7,918360176044923;6,540889968423842;5,653738814433763;7,92452830188679;7,202161083043286
11;28;3;50;2;3;4;6;0,04;0,07;CINF;6,524751273513377;0,42224761739225575;-19,128688733831936;23,0;5,606751504518457;4,510886557062536;2,8970204147573493;5,660377358490566;4,914203628704051
12;28;3;50;2;3;4;6;0,04;0,09;CINF;7,643501873744292;0,46983936391792;-19,625368794986123;21,2;7,387349494922407;5,195175698417036;2,4765252270113813;3,962264150943395;5,570169894222295
13;28;3;50;2;3;4;6;0,04;0,11;CINF;6,828107410047323;0,3353285350492496;-21,68303865307133;20,0;6,089571649578098;3,2611365780038186;0,7344776978955373;2,830188679245283;4,050807783126108
14;28;3;50;2;3;4;6;0,04;0,13;CINF;7,224874430925739;0,3390235777938376;-21,683041580847366;20,0;6,721064101862682;3,314265067953201;0,7344752192058719;2,830188679245283;4,336626619992229
15;28;3;50;2;3;4;6;0,05;0,05;CINF;7,991606021733356;0,5349759576057742;-16,86749468757891;24,8;7,9413903564269015;6,131730185682652;4,811373917895184;7,358490566037735;6,893927989225561
16;28;3;50;2;3;4;6;0,05;0,07;CINF;7,136055703040183;0,4535734932519085;-18,088645030229063;22,6;6,579700648425773;4,961299879940272;3,777533659831502;5,283018867924529;5,531750604701985
17;28;3;50;2;3;4;6;0,05;0,09;CINF;7,454058629545268;0,43594730090240574;-20,3474660407656;20,8;7,085832552856175;4,707864927270775;1,8651891966716667;3,5849056603773586;5,160474624308443
18;28;3;50;2;3;4;6;0,05;0,11;CINF;6,844841878688975;0,3151226867641369;-22,55058029337918;19,6;6,116206148122861;2,9706105187026974;6,730667703634172e-06;2,4528301886792465;3,8203823430172754
19;28;3;50;2;3;4;6;0,05;0,13;CINF;7,401788349575111;0,32980969669696264;-22,55058824350214;19,6;7,0026394305879025;3,1817849796058857;0,0;2,4528301886792465;4,260616919950675
20;28;3;60;2;3;4;6;0,02;0,05;CINF;5,685050902217363;0,44813717595132807;-11,56507242915348;26,4;4,270288495370107;4,883134795249827;9,30046703325751;8,867924528301884;5,820789519738481
21;28;3;60;2;3;4;6;0,02;0,07;CINF;4,247498353531684;0,26561835746906753;-13,294242079675362;24,4;1,9822868811037433;2,2588216590863386;7,836531647667089;6,981132075471696;3,611738240660384
