;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;21;3;50;2;3;3;6;0,02;0,05;CMI;in_sample_1_1x;11,123702918534706;0,6491888222281366;-17,439333667219238;42,0
1;21;3;50;2;3;3;6;0,02;0,1;CMI;in_sample_1_1x;19,12847833698079;0,8535915927406078;-24,600668697385775;37,0
2;21;3;50;2;3;3;6;0,05;0,05;CMI;in_sample_1_1x;6,475892595750721;0,32816997429910916;-30,48960068854877;38,0
3;21;3;50;2;3;3;6;0,05;0,1;CMI;in_sample_1_1x;17,988516837797896;0,7189899017374838;-36,99379349884331;32,0
4;21;3;100;2;3;3;6;0,02;0,05;CMI;in_sample_1_1x;10,92816773461922;0,7267593268416741;-16,061059965729207;36,0
5;21;3;100;2;3;3;6;0,02;0,1;CMI;in_sample_1_1x;20,893188876902368;0,9778867417916114;-16,493631042077006;32,0
6;21;3;100;2;3;3;6;0,05;0,05;CMI;in_sample_1_1x;8,103132463010777;0,4423166546579467;-24,670328943315923;32,0
7;21;3;100;2;3;3;6;0,05;0,1;CMI;in_sample_1_1x;22,41064014202021;0,9709953665111902;-24,419508926905763;29,0
8;21;4;50;2;3;3;6;0,02;0,05;CMI;in_sample_1_1x;1,8280930205242907;0,14303902862843104;-20,3782862932682;27,0
9;21;4;50;2;3;3;6;0,02;0,1;CMI;in_sample_1_1x;9,652922537806274;0,5514034985844575;-30,43080107768824;26,0
10;21;4;50;2;3;3;6;0,05;0,05;CMI;in_sample_1_1x;-0,4144787287301499;-0,025625832345757077;-36,23226031408877;24,0
11;21;4;50;2;3;3;6;0,05;0,1;CMI;in_sample_1_1x;7,904264347117285;0,3841082718576759;-40,82854808268158;22,0
12;21;4;100;2;3;3;6;0,02;0,05;CMI;in_sample_1_1x;5,402817857043751;0,463972172278278;-18,07719689540682;23,0
13;21;4;100;2;3;3;6;0,02;0,1;CMI;in_sample_1_1x;16,909660810985084;0,9998740609069029;-13,234449746507826;23,0
14;21;4;100;2;3;3;6;0,05;0,05;CMI;in_sample_1_1x;2,3255086704467853;0,15228844249678122;-31,696934507067663;21,0
15;21;4;100;2;3;3;6;0,05;0,1;CMI;in_sample_1_1x;14,743611625184272;0,8484211330963437;-19,290555209063022;21,0
16;21;5;50;2;3;3;6;0,02;0,05;CMI;in_sample_1_1x;-0,23678485900340274;-0,024633791432400347;-18,307256300965978;16,0
17;21;5;50;2;3;3;6;0,02;0,1;CMI;in_sample_1_1x;3,4903947702424665;0,27969009841461107;-22,69376696774024;15,0
18;21;5;50;2;3;3;6;0,05;0,05;CMI;in_sample_1_1x;0,8073011358411097;0,05848222739508199;-24,763998927539;14,0
19;21;5;50;2;3;3;6;0,05;0,1;CMI;in_sample_1_1x;6,315652475929845;0,3732650967668827;-24,670332603234314;13,0
20;21;5;100;2;3;3;6;0,02;0,05;CMI;in_sample_1_1x;-0,09713197939216212;-0,009321749190185066;-27,77944589985869;17,0
21;21;5;100;2;3;3;6;0,02;0,1;CMI;in_sample_1_1x;2,516905074990139;0,19674671733011906;-24,849981376192154;17,0
