Date;Open;High;Low;Close;Adj Close;Volume
2001-01-02;40,0;41,5625;40,0;41,1875;27,660076141357422;13349400
2001-01-03;40,875;42,75;39,1875;42,6875;28,66741180419922;16253500
2001-01-04;41,75;44,8125;41,75;43,625;29,297019958496094;19779200
2001-01-05;43,625;43,875;40,0;41,3125;27,744016647338867;11955900
2001-01-08;40,8125;42,0625;40,0625;41,9375;28,163740158081055;4264300
2001-01-09;42,0;43,0;41,6875;41,8125;28,079803466796875;5973600
2001-01-10;41,0625;41,3125;39,0;40,6875;27,32428550720215;10842500
2001-01-11;40,5625;41,6875;39,75;41,3125;27,744016647338867;5128800
2001-01-12;41,375;44,0625;40,4375;43,0625;28,919260025024414;7726600
2001-01-16;43,25;43,9375;42,875;43,5625;29,255043029785156;5344300
2001-01-17;43,875;44,25;41,0625;41,4375;27,827966690063477;5520100
2001-01-18;41,875;42,4375;41,25;41,4375;27,827966690063477;4920800
2001-01-19;41,4375;41,6875;40,3125;40,4375;27,156400680541992;6090600
2001-01-22;41,0;42,875;39,75;42,25;28,373615264892578;7135600
2001-01-23;42,0;42,8125;41,625;42,5;28,541505813598633;5472400
2001-01-24;42,5;43,0;41,375;42,9375;28,83531379699707;6070400
2001-01-25;42,8125;43,5625;41,1875;43,1875;29,00318717956543;7484700
2001-01-26;43,4375;43,6875;41,125;41,25;27,70203971862793;5766900
2001-01-29;41,875;44,25;41,4375;44,0625;29,5908260345459;5208000
2001-01-30;44,0;44,125;42,875;43,75;29,380966186523438;3954100
2001-01-31;43,75;46,375;43,6875;46,25;31,059860229492188;9318900
2001-02-01;45,875;46,3125;44,375;46,25;31,059860229492188;6449600
2001-02-02;45,875;46,375;43,875;43,9375;29,506864547729492;6157500
2001-02-05;44,375;44,375;42,015625;43,1875;29,00318717956543;5229800
2001-02-06;43,0625;45,125;43,0;43,75;29,380966186523438;5585600
2001-02-07;43,75;45,3125;43,5625;45,25;30,388280868530273;4313200
2001-02-08;45,625;46,0;42,8125;42,875;28,7933406829834;5656000
2001-02-09;42,9375;43,875;40,8125;41,3125;27,744016647338867;4396200
2001-02-12;41,6875;42,6875;41,375;42,4375;28,499530792236328;4024300
2001-02-13;42,75;43,5;41,3125;42,9375;28,83531379699707;3532500
2001-02-14;43,0;44,3125;42,875;43,6875;29,338979721069336;3786800
2001-02-15;43,9375;44,0;41,875;42,8125;28,751365661621094;5465100
2001-02-16;41,875;43,5;41,625;42,6875;28,66741180419922;4396800
2001-02-20;42,375;44,25;42,375;44,125;29,632795333862305;5130100
2001-02-21;43,8125;44,25;41,0;42,0;28,205718994140625;6097200
2001-02-22;42,0;42,3125;40,5625;41,875;28,121768951416016;4175700
2001-02-23;41,8125;42,0625;39,75;41,375;27,785978317260742;5331300
2001-02-26;41,875;43,0;41,8125;42,875;28,7933406829834;3528900
2001-02-27;42,875;43,3125;41,921875;43,0;28,877262115478516;5412200
2001-02-28;43,125;43,75;40,9375;41,75;28,03782844543457;4541200
2001-03-01;41,375;41,5;39,1875;40,3125;27,07245635986328;5401200
2001-03-02;40,0625;40,1875;38,0625;38,6875;25,98116683959961;6332700
2001-03-05;38,875;39,25;37,0;37,6875;25,30959129333496;4652800
2001-03-06;38,125;40,1875;37,5;37,8125;25,393543243408203;12305400
2001-03-07;38,125;40,0625;37,9375;39,9375;26,820613861083984;9365700
2001-03-08;40,1875;43,109375;39,3125;40,1875;26,9885196685791;18114700
2001-03-09;39,75;40,625;39,0;39,375;26,44286346435547;5296300
2001-03-12;39,125;39,5;37,6875;37,9375;25,477495193481445;5325400
2001-03-13;38,125;39,375;37,5;38,0625;25,561431884765625;4371300
2001-03-14;37,1875;37,5;36,125;36,5;24,512121200561523;5568400
2001-03-15;37,375;38,0625;36,75;37,625;25,26761817932129;3920600
2001-03-16;36,609375;37,625;36,5;37,125;24,931838989257812;5875900
2001-03-19;37,125;38,4375;35,5625;38,1875;25,6453800201416;4065200
2001-03-20;39,1875;40,75;38,75;39,5;26,526811599731445;9488400
2001-03-21;39,1875;39,9375;38,25;38,375;25,771297454833984;4836200
2001-03-22;38,6875;38,75;35,6875;37,25;25,015777587890625;5285000
2001-03-23;37,5625;37,6875;35,3125;37,0625;24,889875411987305;7811600
2001-03-26;37,75;38,5;37,0;37,875;25,435518264770508;2949400
2001-03-27;37,9375;38,8125;37,0625;37,9375;25,477495193481445;6082000
2001-03-28;37,6875;38,5625;36,5625;37,6875;25,30959129333496;4666900
2001-03-29;37,5;38,171875;36,875;37,9375;25,477495193481445;2704700
2001-03-30;37,9375;39,375;37,1875;39,25;26,358924865722656;3652700
