;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;start_date;end_date;final_balance;return_acum;return_ann;sharpe_ratio;sortino_ratio;volatility;max_drawdown;trades;win_rate;profit_factor;avg_trade_return
0;28;3;50;2;3;4;6;0,02;0,05;GE;2000-01-01;2005-08-19;25897463,53970443;158,9746353970443;15,470753241471403;1,0182877136412642;2,0436028731550673;15,192909660227565;-18,749383293292954;44;61,36363636363637;2,941925972958746;2,186203785075702
1;28;3;50;2;3;4;6;0,02;0,07;GE;2000-01-01;2005-08-19;28924141,95810903;189,2414195810903;17,41636722660129;0,9925761637468496;1,902743368306721;17,546630538513746;-18,749419154306747;41;58,536585365853654;3,152949321570531;2,624325492248869
2;28;3;50;2;3;4;6;0,02;0,09;GE;2000-01-01;2005-08-19;34807473,89404101;248,0747389404101;20,749267817908603;1,084085191568476;2,255186002790797;19,13988677207937;-13,591954582045995;38;55,26315789473685;4,031669864210391;3,336706680028012
3;28;3;50;2;3;4;6;0,02;0,11;GE;2000-01-01;2005-08-19;38324788,02638718;283,24788026387176;22,519297794746684;1,1070637881942635;2,338726639024703;20,34146364002928;-13,591925452468267;35;57,14285714285714;4,705395839712255;3,913253928355709
4;28;3;50;2;3;4;6;0,02;0,13;GE;2000-01-01;2005-08-19;23801721,37174207;138,0172137174207;14,007073765224852;0,6783345920594712;1,2051042069631404;20,64921047693941;-18,749418050527577;33;51,515151515151516;2,831267314157549;2,662649353317925
5;28;3;50;2;3;4;6;0,03;0,05;GE;2000-01-01;2005-08-19;26639204,03248661;166,3920403248661;15,96473688014941;0,995362509741885;1,969617378985143;16,03911813424573;-18,749383385419737;43;65,11627906976744;2,9027694534930317;2,3047763156744727
6;28;3;50;2;3;4;6;0,03;0,07;GE;2000-01-01;2005-08-19;31262118,64834125;212,6211864834125;18,80420617115588;1,0086813683671745;1,9456366284546027;18,642364933929144;-18,74943797060893;40;62,5;3,2364685900637316;2,890559848247287
7;28;3;50;2;3;4;6;0,03;0,09;GE;2000-01-01;2005-08-19;36520704,78514074;265,20704785140737;21,629497277260977;1,053328586000656;2,149044088218186;20,53442540602188;-17,366077342332876;37;59,45945945945946;3,7941959958541918;3,5628001611222704
8;28;3;50;2;3;4;6;0,03;0,11;GE;2000-01-01;2005-08-19;39931066,34643946;299,31066346439457;23,28210161811677;1,0738919010391896;2,2276967020099083;21,680116588631517;-17,3661092875684;34;61,76470588235294;4,288142290614108;4,156338658715053
9;28;3;50;2;3;4;6;0,03;0,13;GE;2000-01-01;2005-08-19;25420229,421560187;154,20229421560188;15,146538018783895;0,6863199259658403;1,2214706762545375;22,06920919200847;-18,749311756347552;32;56,25;2,8055339620419737;2,9584334867281514
10;28;3;50;2;3;4;6;0,04;0,05;GE;2000-01-01;2005-08-19;32148443,85597313;221,4844385597313;19,30736439443543;1,1023486739294541;2,2533417229105743;17,514752683116146;-18,74945287190063;42;73,80952380952381;3,4456478672231223;2,8194578013600147
11;28;3;50;2;3;4;6;0,04;0,07;GE;2000-01-01;2005-08-19;35044583,88555409;250,44583885554087;20,873254384771233;1,0607371125795844;2,0958983261521316;19,67806550485445;-18,74943409801536;39;69,23076923076923;3,3827522371460708;3,267744472038814
12;28;3;50;2;3;4;6;0,04;0,09;GE;2000-01-01;2005-08-19;32088157,307739068;220,88157307739067;19,273515961506483;0,9279265820400867;1,8291389951177677;20,770518201055115;-17,36608618639489;35;60,0;3,314516884140807;3,387263292129128
13;28;3;50;2;3;4;6;0,04;0,11;GE;2000-01-01;2005-08-19;35802505,90196516;258,0250590196516;21,26485808903984;0,9831545322324088;1,9937711198753276;21,62921228746675;-17,36611947150952;32;59,375;3,9114263253040025;4,066245326325135
14;28;3;50;2;3;4;6;0,04;0,13;GE;2000-01-01;2005-08-19;30913058,08882342;209,13058088823416;18,602719400837977;0,8269350620599087;1,5606873349644592;22,495985784540686;-20,90377414110758;31;58,06451612903226;3,2908897137453317;3,7077245842587425
15;28;3;50;2;3;4;6;0,05;0,05;GE;2000-01-01;2005-08-19;31614141,481071953;216,1414148107195;19,005478023034783;1,0795090986454892;2,191966947889005;17,605667286067206;-18,74945287190063;42;73,80952380952381;3,3821246790803308;2,778436742104806
16;28;3;50;2;3;4;6;0,05;0,07;GE;2000-01-01;2005-08-19;35222324,66162391;252,22324661623912;20,96573024547219;1,0561754607471947;2,0844943338633657;19,85061291865266;-18,74943409801536;39;69,23076923076923;3,301979946400104;3,281144931405433
17;28;3;50;2;3;4;6;0,05;0,09;GE;2000-01-01;2005-08-19;30860442,819894485;208,60442819894485;18,572181206789207;0,8946189990261172;1,746628006324818;20,759877922341126;-17,366106324743757;35;60,0;3,1508282571972814;3,2720940830246903
18;28;3;50;2;3;4;6;0,05;0,11;GE;2000-01-01;2005-08-19;34432769,74440719;244,32769744407193;20,55186272376539;0,9508950621113204;1,9098950404536068;21,613176408901577;-17,366126579020246;32;59,375;3,6964137085186453;3,9394583598698407
