;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;3;50;2;3;4;6;0,02;0,05;HAS;in_sample_1_2x;15,393653117574079;0,9952726083727574;-21,04526248798192;40,0
1;28;3;50;2;3;4;6;0,02;0,07;HAS;in_sample_1_2x;16,482770614303142;0,9925474228382042;-21,902477943057463;37,0
2;28;3;50;2;3;4;6;0,02;0,09;HAS;in_sample_1_2x;17,65839226438164;1,0048056181561495;-21,902481806741704;35,0
3;28;3;50;2;3;4;6;0,02;0,11;HAS;in_sample_1_2x;14,330105038132501;0,805160247569629;-21,90247929922997;33,0
4;28;3;50;2;3;4;6;0,02;0,13;HAS;in_sample_1_2x;12,876639693052393;0,6169447267153839;-26,058860110362016;31,0
5;28;3;50;2;3;4;6;0,03;0,05;HAS;in_sample_1_2x;13,536518915754137;0,7964428329760898;-27,380406186376128;38,0
6;28;3;50;2;3;4;6;0,03;0,07;HAS;in_sample_1_2x;11,881649465430844;0,6550634913280995;-31,329906177881462;36,0
7;28;3;50;2;3;4;6;0,03;0,09;HAS;in_sample_1_2x;13,010827468424434;0,6845871471230819;-31,329911033917014;34,0
8;28;3;50;2;3;4;6;0,03;0,11;HAS;in_sample_1_2x;9,968885512429226;0,5218884646824898;-31,329904051815483;32,0
9;28;3;50;2;3;4;6;0,03;0,13;HAS;in_sample_1_2x;8,508387008777852;0,3907055575639738;-34,984551315114956;30,0
10;28;3;50;2;3;4;6;0,04;0,05;HAS;in_sample_1_2x;9,09906302377026;0,46857232510953634;-47,62413620339142;38,0
11;28;3;50;2;3;4;6;0,04;0,07;HAS;in_sample_1_2x;8,47941846879281;0,41028974242929667;-45,9513454633957;36,0
12;28;3;50;2;3;4;6;0,04;0,09;HAS;in_sample_1_2x;9,942541407899053;0,46136685219345425;-45,951347813541524;34,0
13;28;3;50;2;3;4;6;0,04;0,11;HAS;in_sample_1_2x;4,665689989688615;0,22598435551986631;-45,95133708122133;32,0
14;28;3;50;2;3;4;6;0,04;0,13;HAS;in_sample_1_2x;2,069256943886355;0,08795466417194577;-52,654577847527364;30,0
15;28;3;50;2;3;4;6;0,05;0,05;HAS;in_sample_1_2x;4,978018438864362;0,2657954948067895;-49,80645377456236;37,0
16;28;3;50;2;3;4;6;0,05;0,07;HAS;in_sample_1_2x;4,178219637718028;0,2098562674517784;-48,20336094593765;35,0
17;28;3;50;2;3;4;6;0,05;0,09;HAS;in_sample_1_2x;5,621740381003892;0,27068397542395256;-48,2033660825327;33,0
18;28;3;50;2;3;4;6;0,05;0,11;HAS;in_sample_1_2x;3,4689700726267203;0,16479906822180584;-48,20337708474152;32,0
19;28;3;50;2;3;4;6;0,05;0,13;HAS;in_sample_1_2x;0,45790305984931834;0,019291974007737505;-54,62730692986975;29,0
20;28;3;60;2;3;4;6;0,02;0,05;HAS;in_sample_1_2x;17,444828549982393;1,0755395251530537;-17,423967861558797;43,0
21;28;3;60;2;3;4;6;0,02;0,07;HAS;in_sample_1_2x;17,179172036714952;0,9870531829247482;-17,423966220010534;41,0
