;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;21;3;50;2;3;3;6;0,02;0,05;MSFT;2,404315393542148;0,23370759695503293;-18,766778647651325;31,666666666666668;0,03222264587068836;1,1562923443066988;6,066051182836076;8,026315789473687;2,357374228362175
1;21;3;50;2;3;3;6;0,02;0,1;MSFT;2,3573223168020205;0,18794687914311123;-24,160112845833993;26,0;0,0;0,7319853395277507;3,8629865460979995;5,789473684210527;1,5880615584805755
2;21;3;50;2;3;3;6;0,05;0,05;MSFT;4,999888883109042;0,36866740312781726;-19,428278388286248;30,0;1,8119793927670542;2,4076798631406544;5,795842322740726;7,368421052631579;3,3450801828506824
3;21;3;50;2;3;3;6;0,05;0,1;MSFT;6,193267678184029;0,32863905607582117;-27,155139916846235;24,0;2,6302663612058357;2,036525107358832;2,6395803962540634;5,000000000000001;2,8004899563698906
8;21;3;100;2;3;3;6;0,02;0,05;MSFT;5,927989897774996;0,5240588674079277;-20,56309953213108;33,0;2,4483682483677938;3,848515801245877;5,3322915322353595;8,552631578947368;4,132437065539695
9;21;3;100;2;3;3;6;0,02;0,1;MSFT;3,9805111219781324;0,26074226059503397;-31,29236516835056;28,333333333333332;1,1130030565926623;1,406965797495117;0,9496100901528365;6,710526315789475;1,9732967386729332
10;21;3;100;2;3;3;6;0,05;0,05;MSFT;6,326429053908285;0,4690136153329682;-24,506321642830205;30,0;2,7215736803104056;3,338119829503855;3,7215674666263445;7,368421052631579;3,704421317028121
11;21;3;100;2;3;3;6;0,05;0,1;MSFT;4,7429764114135535;0,2860945790117639;-33,61711065641021;25,333333333333332;1,635817281888751;1,642040044709009;0,0;5,526315789473684;1,959692532079708
16;21;4;50;2;3;3;6;0,02;0,05;MSFT;4,383285413113214;0,45711537121506823;-16,299203194041596;23,333333333333332;1,3891810438488337;3,2277957663074597;7,074004337706825;4,736842105263158;3,2048544438759143
17;21;4;50;2;3;3;6;0,02;0,1;MSFT;4,463955840484565;0,3344317712518389;-22,37337260685535;20,333333333333332;1,4444958858158523;2,0902368877547532;4,592832702647534;3,5526315789473686;2,37991795922171
18;21;4;50;2;3;3;6;0,05;0,05;MSFT;6,184253055649935;0,5065934654221871;-20,87680843647153;22,0;2,624085131762606;3,6865713921942507;5,2041479816993705;4,210526315789474;3,522867496737881
19;21;4;50;2;3;3;6;0,05;0,1;MSFT;5,891735599351526;0,33814253865607524;-28,143750219128833;18,333333333333332;2,42350906696433;2,124644228330007;2,2357536878688085;2,763157894736842;2,359818177165522
24;21;4;100;2;3;3;6;0,02;0,05;MSFT;9,809962956006329;0,8883536597102144;-16,049076148692297;24,666666666666668;5,110195304865425;7,2263656158762455;7,176176023727412;5,263157894736843;6,031807294973289
25;21;4;100;2;3;3;6;0,02;0,1;MSFT;9,979188876055748;0,6689451518784697;-22,408692661718945;20,666666666666668;5,226231693034868;5,191944583327403;4,578405196214899;3,6842105263157907;4,903599995470015
26;21;4;100;2;3;3;6;0,05;0,05;MSFT;9,788591816300007;0,7966525753484724;-17,300735448240037;22,666666666666668;5,095541344870043;6,376085849714544;6,664899281224206;4,473684210526317;5,596768460827105
27;21;4;100;2;3;3;6;0,05;0,1;MSFT;10,018577852416621;0,6201111196463711;-20,835344465412515;18,333333333333332;5,253240289290528;4,739140891898371;5,221085149874417;2,763157894736842;4,7460350994685125
