;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;21;3;50;2;3;3;6;0,02;0,05;MU;17,439889936039815;0,9914827427377132;-19,250756618016883;36,333333333333336;5,7769911354050345;9,38367057723487;6,758267900401498;6,875;7,104511780155192
1;21;3;50;2;3;3;6;0,02;0,1;MU;13,771149024888386;0,6694731580760492;-27,976920941999094;33,0;3,8423667813972213;4,247562529600968;3,4860104263895937;5,833333333333332;4,1916527375880746
2;21;3;50;2;3;3;6;0,05;0,05;MU;16,04338329303286;0,8349638128649546;-25,588692812751408;35,666666666666664;5,040576156118035;6,887166828220135;4,3815811554553346;6,666666666666665;5,706329992416625
3;21;3;50;2;3;3;6;0,05;0,1;MU;11,610655385370066;0,47693262087499605;-34,21606039462015;31,0;2,7030812027981828;1,1765079718519107;1,1463718466837203;5,208333333333332;2,402423533159346
8;21;3;100;2;3;3;6;0,02;0,05;MU;11,766015319980605;0,7608300812097184;-20,895435230329976;33,666666666666664;2,785006615470695;5,704721106439354;6,141523626322433;6,041666666666665;4,5639503360399845
9;21;3;100;2;3;3;6;0,02;0,1;MU;11,436394171738842;0,540952982089484;-27,650587525826456;32,0;2,6111886445569636;2,1976437023043056;3,6083834324944606;5,520833333333332;3,051152872015328
10;21;3;100;2;3;3;6;0,05;0,05;MU;10,511930792033349;0,596919170561205;-28,6257832590928;32,0;2,123694593578776;3,09031399752867;3,2426910837914686;5,520833333333332;3,045033741845496
11;21;3;100;2;3;3;6;0,05;0,1;MU;10,989703548458179;0,45740060733408966;-37,273102571159065;29,0;2,3756368355210733;0,8649690093103187;0,0;4,583333333333333;1,9200259797881702
16;21;4;50;2;3;3;6;0,02;0,05;MU;10,115280184001348;0,7831412804726856;-15,336474884694338;23,333333333333332;1,9145302113248437;6,060588557426232;8,226099261547326;2,8124999999999996;4,129052430053474
17;21;4;50;2;3;3;6;0,02;0,1;MU;8,955339299030813;0,5475827801024841;-18,776898943702587;21,333333333333332;1,3028626284621772;2,303390116543916;6,935961587893879;2,1874999999999996;2,519832815195463
18;21;4;50;2;3;3;6;0,05;0,05;MU;8,836693737985339;0,6205834074759418;-22,16186588778166;23,0;1,2402976784010251;3,4677626308872056;5,6666199882171036;2,708333333333333;2,718767374075418
19;21;4;50;2;3;3;6;0,05;0,1;MU;8,938752967194299;0,4377936861341498;-23,66369387700793;20,666666666666668;1,294116215921286;0,5522352567726609;5,103443811380768;1,979166666666667;1,7242042341938024
24;21;4;100;2;3;3;6;0,02;0,05;MU;9,805395144936272;0,723718607447136;-19,54977133091089;27,333333333333332;1,7511196140554381;5,112786741343276;6,646139238508455;4,062499999999999;3,74108165190876
25;21;4;100;2;3;3;6;0,02;0,1;MU;10,85386609204857;0,5586842005162284;-23,679452254562324;26,666666666666668;2,304006143215242;2,4804596742314873;5,097534517581549;3,854166666666667;2,9749484231938452
26;21;4;100;2;3;3;6;0,05;0,05;MU;7,881009466157617;0,506445598403758;-24,943632939692453;25,333333333333332;0,7363400232282966;1,6472450201120739;4,6234746051353035;3,4374999999999996;1,9377835307206202
27;21;4;100;2;3;3;6;0,05;0,1;MU;10,571055129350407;0,47706804534933195;-30,71493508407993;23,666666666666668;2,154872424245552;1,1786680154208435;2,4592721129990402;2,916666666666667;2,028270297606293
32;21;5;50;2;3;3;6;0,02;0,05;MU;6,616274380395566;0,6698406614709702;-12,759780957771916;15,666666666666666;0,06941167981592333;4,253424271717029;9,192343495275576;0,4166666666666663;2,6177276778320104
33;21;5;50;2;3;3;6;0,02;0,1;MU;6,484644966693172;0,47100718096055144;-17,232917833969463;15,0;0,0;1,0819961899671358;7,51494492335229;0,20833333333333315;1,4124672338028421
34;21;5;50;2;3;3;6;0,05;0,05;MU;6,508155662130892;0,5578375834923857;-17,343285723745986;15,333333333333334;0,012397813057667748;2,466955987644049;7,473557649539488;0,3125;1,8224518662857985
35;21;5;50;2;3;3;6;0,05;0,1;MU;7,2174401973934765;0,4031711579436044;-22,156375521138717;14,333333333333334;0,38642235419362037;0,0;5,668678841639455;0,0;0,9754208434600452
40;21;5;100;2;3;3;6;0,02;0,05;MU;8,64141649659825;0,7489719702859832;-14,739435744777618;21,333333333333332;1,1373228115134215;5,515582205468054;8,449985234276587;2,1874999999999996;3,5829454399647083
41;21;5;100;2;3;3;6;0,02;0,1;MU;8,676192635467002;0,5112693615916154;-23,075980162854307;20,666666666666668;1,1556611915798212;1,7241848694493722;5,323832807314877;1,979166666666667;2,0311932553742507
