;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;21;3;50;2;3;3;6;0,02;0,05;ORCL;in_sample_1_1x;8,058589120783054;0,48030177506762795;-22,4573696635017;51,0
1;21;3;50;2;3;3;6;0,02;0,1;ORCL;in_sample_1_1x;7,755477915798403;0,3703245200033939;-28,461397553540614;47,0
2;21;3;50;2;3;3;6;0,05;0,05;ORCL;in_sample_1_1x;12,031417001617983;0,5734640310973634;-26,69092297718748;46,0
3;21;3;50;2;3;3;6;0,05;0,1;ORCL;in_sample_1_1x;11,58827657604351;0,4223953789929047;-33,39082740349176;42,0
4;21;3;100;2;3;3;6;0,02;0,05;ORCL;in_sample_1_1x;12,172089479067782;0,7674324390812585;-16,812612096315714;32,0
5;21;3;100;2;3;3;6;0,02;0,1;ORCL;in_sample_1_1x;13,160624193573955;0,6475623935038984;-17,587851592373692;29,0
6;21;3;100;2;3;3;6;0,05;0,05;ORCL;in_sample_1_1x;15,793229086668337;0,8717395566817203;-16,866303103151182;31,0
7;21;3;100;2;3;3;6;0,05;0,1;ORCL;in_sample_1_1x;19,48528812660286;0,7918918161496971;-17,587851592373692;28,0
8;21;4;50;2;3;3;6;0,02;0,05;ORCL;in_sample_1_1x;1,6128528787732188;0,11676432580868223;-23,894117573141205;35,0
9;21;4;50;2;3;3;6;0,02;0,1;ORCL;in_sample_1_1x;2,955395213937484;0,1737742900062156;-31,565519822828236;33,0
10;21;4;50;2;3;3;6;0,05;0,05;ORCL;in_sample_1_1x;4,378958592518423;0,25189184084064664;-26,916536127861555;32,0
11;21;4;50;2;3;3;6;0,05;0,1;ORCL;in_sample_1_1x;6,5561241138391235;0,29771248631479635;-33,39082740349176;31,0
12;21;4;100;2;3;3;6;0,02;0,05;ORCL;in_sample_1_1x;11,204465105948124;0,7308892264476579;-18,998035883865118;28,0
13;21;4;100;2;3;3;6;0,02;0,1;ORCL;in_sample_1_1x;9,083856328570183;0,4650221062103321;-24,631989021679036;26,0
14;21;4;100;2;3;3;6;0,05;0,05;ORCL;in_sample_1_1x;12,074634809247398;0,7640764156181002;-18,998039467443284;27,0
15;21;4;100;2;3;3;6;0,05;0,1;ORCL;in_sample_1_1x;12,642466740343083;0,5624864868418356;-28,4508453247715;25,0
