;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;start_date;end_date;final_balance;return_acum;return_ann;sharpe_ratio;sortino_ratio;volatility;max_drawdown;trades;win_rate;profit_factor;avg_trade_return
0;21;3;50;2;3;3;6;0,02;0,05;SO;2000-01-01;2005-08-19;15709916,277086088;57,099162770860886;7,066981296228914;0,7331516600625299;1,3025701247812544;9,639180651416893;-14,949296098811205;30;53,333333333333336;2,3255309027262987;1,517083967513022
1;21;3;50;2;3;3;6;0,02;0,1;SO;2000-01-01;2005-08-19;20718616,3061863;107,186163061863;11,641118834631193;0,937368284883631;1,81486275487829;12,418938236294577;-14,966807922054482;26;53,84615384615385;3,4568927721496485;2,8413410360158986
2;21;3;50;2;3;3;6;0,05;0,05;SO;2000-01-01;2005-08-19;20095760,865799885;100,95760865799886;11,127163553698738;0,9927074625471354;1,880452817124669;11,208904912579321;-10,865413529385082;24;75,0;5,34142778771932;2,950713707631092
3;21;3;50;2;3;3;6;0,05;0,1;SO;2000-01-01;2005-08-19;26208533,02374786;162,08533023747862;15,679362606110715;1,0392765930408663;2,0418359272206605;15,086804332072717;-10,897114918801032;22;72,72727272727273;6,983601337538623;4,476866760486553
4;21;3;100;2;3;3;6;0,02;0,05;SO;2000-01-01;2005-08-19;27072201,47276919;170,7220147276919;16,24773169715081;1,416221208479916;3,267445751581005;11,472594535277523;-16,43456187543415;33;72,72727272727273;5,805398059614576;3,0639504691944985
5;21;3;100;2;3;3;6;0,02;0,1;SO;2000-01-01;2005-08-19;25880617,783909157;158,80617783909156;15,459395548126187;0,9936210545276687;1,9699014210763317;15,558643285266355;-16,434566514550287;27;62,96296296296296;5,61232674447021;3,5846417826491894
6;21;3;100;2;3;3;6;0,05;0,05;SO;2000-01-01;2005-08-19;27163296,600737806;171,6329660073781;16,306779212190282;1,3829651650809134;3,117911213951968;11,79117133527815;-10,030420547513186;29;79,3103448275862;7,882020501766964;3,50585686062006
7;21;3;100;2;3;3;6;0,05;0,1;SO;2000-01-01;2005-08-19;25621104,1651094;156,211041651094;15,283629285547185;1,0045335248995224;1,986903678134821;15,214653276082466;-10,061658471280776;23;69,56521739130434;7,454339826708239;4,175390126648826
8;21;4;50;2;3;3;6;0,02;0,05;SO;2000-01-01;2005-08-19;14315596,810530115;43,15596810530115;5,573198497776444;0,6345025984302076;1,0804809370239132;8,783570802648919;-12,155235193962122;24;54,166666666666664;2,1681810005033175;1,5060829053817448
9;21;4;50;2;3;3;6;0,02;0,1;SO;2000-01-01;2005-08-19;19372175,93714676;93,72175937146761;10,512827919767531;0,932464610142328;1,8179070744127261;11,274237976884605;-9,344656858500745;21;57,14285714285714;3,687301660987088;3,1989240278569087
