;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;start_date;end_date;final_balance;return_acum;return_ann;sharpe_ratio;sortino_ratio;volatility;max_drawdown;trades;win_rate;profit_factor;avg_trade_return
0;21;3;50;2;3;3;6;0,02;0,05;VMC;2016-04-29;2019-09-18;15418267,687423121;54,18267687423122;9,644616665143534;0,7010568721881438;1,2860781395707002;13,757252867432404;-13,35219073714744;26;57,692307692307686;2,295261410882824;1,679216879832901
1;21;3;50;2;3;3;6;0,02;0,1;VMC;2016-04-29;2019-09-18;18848479,12500157;88,48479125001568;14,429967048007718;0,8681190914677389;1,6991258094095376;16,622105411379454;-15,15261719898483;22;59,09090909090909;3,064115319305503;2,9230459056945657
2;21;3;50;2;3;3;6;0,05;0,05;VMC;2016-04-29;2019-09-18;13851935,69355197;38,5193569355197;7,174968631627565;0,45515798415672026;0,7551557141460593;15,763688392549598;-21,858808449107038;21;66,66666666666666;1,8127109470452327;1,5637284835195997
3;21;3;50;2;3;3;6;0,05;0,1;VMC;2016-04-29;2019-09-18;18789611,621569548;87,89611621569547;14,353872085960617;0,7841709082627969;1,4722428308306628;18,304520015616603;-21,020587321529938;17;70,58823529411765;3,004674288074897;3,7798076565431993
4;21;3;100;2;3;3;6;0,02;0,05;VMC;2016-04-29;2019-09-18;11761161,218424361;17,61161218424361;3,5098824449058874;0,29278304185279425;0,48089829804375445;11,987997742951894;-16,47384620466599;25;48,0;1,4700414110294517;0,6509833837521573
5;21;3;100;2;3;3;6;0,02;0,1;VMC;2016-04-29;2019-09-18;11407454,691664696;14,074546916646957;2,8399031001567154;0,20056165637416504;0,31665064718752767;14,159750928954395;-14,89604884802448;23;39,130434782608695;1,3534064371578096;0,5741700255846416
6;21;3;100;2;3;3;6;0,05;0,05;VMC;2016-04-29;2019-09-18;11206237,231389996;12,062372313899957;2,451432687733268;0,1873064148762183;0,2958033848104397;13,087820240183984;-18,165983427495004;21;57,14285714285714;1,321976519572486;0,5437903642223851
7;21;3;100;2;3;3;6;0,05;0,1;VMC;2016-04-29;2019-09-18;10319116,546638697;3,191165466386974;0,6702607734067945;0,04377611297894444;0,06541824009213348;15,311107537783869;-19,56794024199837;19;47,368421052631575;1,1410138857468746;0,16546669900388
8;21;4;50;2;3;3;6;0,02;0,05;VMC;2016-04-29;2019-09-18;13567754,034296172;35,67754034296172;6,703559778203805;0,7237543607809864;1,336143642578815;9,2622029537344;-12,88383907325038;15;60,0;3,1397831017219264;2,0549080392640695
9;21;4;50;2;3;3;6;0,02;0,1;VMC;2016-04-29;2019-09-18;17275181,76557485;72,7518176557485;12,328478099577644;0,9421514365805389;1,77377552614221;13,085452742419882;-12,88383907325038;13;61,53846153846154;4,935219242659616;4,294970641034035
10;21;4;50;2;3;3;6;0,05;0,05;VMC;2016-04-29;2019-09-18;11967587,348906828;19,67587348906828;3,8935883722647446;0,3569417658535998;0,5942619632915483;10,908189359554257;-21,44379617973662;14;64,28571428571429;1,7615281149010982;1,2912540991685928
11;21;4;50;2;3;3;6;0,05;0,1;VMC;2016-04-29;2019-09-18;15531299,333178468;55,312993331784675;9,815061657253189;0,677246131254184;1,2035564093315658;14,492606460633144;-21,44379617973662;12;66,66666666666666;2,8436152376781645;3,7370955837285225
12;21;4;100;2;3;3;6;0,02;0,05;VMC;2016-04-29;2019-09-18;9762076,21632705;-2,379237836729493;-0,5107718614331125;-0,055013499995947866;-0,07865148201503475;9,284482199291709;-20,988529227404527;20;35,0;0,9798786437973069;-0,12032523749783142
13;21;4;100;2;3;3;6;0,02;0,1;VMC;2016-04-29;2019-09-18;8318772,241006495;-16,812277589935047;-3,838785810301504;-0,34473283152298506;-0,45576730142709754;11,135538768797403;-22,74874059670734;17;17,647058823529413;0,6086189601825738;-1,0769275552540258
14;21;4;100;2;3;3;6;0,05;0,05;VMC;2016-04-29;2019-09-18;9658361,224869536;-3,416387751304638;-0,7364979538722505;-0,0634166463148992;-0,09256465785684347;11,613637690885218;-20,265172972307465;18;50,0;0,9974042193444216;-0,19293758872458433
15;21;4;100;2;3;3;6;0,05;0,1;VMC;2016-04-29;2019-09-18;7648353,044288956;-23,516469557110444;-5,541779073768371;-0,4130688346907234;-0,542984440278801;13,416115204909277;-27,008628109052935;15;26,666666666666668;0,6222455640268398;-1,7714262252756408
16;21;5;50;2;3;3;6;0,02;0,05;VMC;2016-04-29;2019-09-18;12529139,06885164;25,2913906885164;4,911659115546341;0,6329492712523197;1,1891777625128057;7,759956980167453;-10,009498602026202;12;58,333333333333336;3,1890974641653007;1,8967089708189055
17;21;5;50;2;3;3;6;0,02;0,1;VMC;2016-04-29;2019-09-18;14949430,741182575;49,49430741182575;8,926956621273053;0,8588182671079897;1,6248351674319632;10,39446523574068;-10,009498602026202;10;60,0;5,033345663908331;4,102831947230712
18;21;5;50;2;3;3;6;0,05;0,05;VMC;2016-04-29;2019-09-18;11543036,217734545;15,430362177345454;3,0986249793258036;0,3550406000276436;0,6007113629659451;8,727522934234967;-15,242488904841267;11;63,63636363636363;1,8677034396343195;1,3130738830028799
19;21;5;50;2;3;3;6;0,05;0,1;VMC;2016-04-29;2019-09-18;14038123,069791446;40,381230697914454;7,479708663793794;0,659433020094497;1,1801045167013373;11,34263592490705;-15,299384508913349;9;66,66666666666666;3,057491856066454;3,8407508568007787
