;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;28;3;50;2;3;3;6;0,02;0,05;ADBE;16,94987859645126;0,7081411546410652;-14,493233010306186;47,666666666666664;6,327374998391005;6,916313778299208;8,270167326593441;9,299999999999999;7,197845696909267
1;28;3;50;2;3;3;6;0,02;0,1;ADBE;9,83966360591822;0,2861654166503547;-26,547887058635336;40,0;3,6302795842840614;3,592473196426677;3,425830317838936;7,0;4,071659351934925
2;28;3;50;2;3;3;6;0,05;0,05;ADBE;13,710919602873142;0,4839823457507981;-27,43675207450397;43,333333333333336;5,098750904788869;5,1506479385487705;3,0686270604997987;8,000000000000002;5,238025093137707
3;28;3;50;2;3;3;6;0,05;0,1;ADBE;11,258274303593899;0,26465918051289533;-31,363443579392992;35,0;4,16839670341456;3,423071749847313;1,4906293093546794;5,5;3,763137559898998
8;28;3;100;2;3;3;6;0,02;0,05;ADBE;14,403101775029008;0,6436926542877324;-24,2056861866436;45,333333333333336;5,36131418378027;6,408662457075737;4,367077600476576;8,600000000000001;5,981192152281266
9;28;3;100;2;3;3;6;0,02;0,1;ADBE;12,279442237451649;0,4538947918054986;-30,264984236687656;37,666666666666664;4,5557531131866815;4,9136527186603995;1,9320610771304767;6,3;4,532375122001617
10;28;3;100;2;3;3;6;0,05;0,05;ADBE;15,60806636602868;0,715012989769103;-27,072971835750025;42,0;5,818389599484799;6,970442208950859;3,2148174087739205;7,6000000000000005;6,030124375018576
11;28;3;100;2;3;3;6;0,05;0,1;ADBE;13,91217364600896;0,4239777357719183;-29,533944912320027;33,333333333333336;5,1750919658587256;4,678000485647994;2,225839798584524;5,000000000000001;4,586730952493812
16;28;4;50;2;3;3;6;0,02;0,05;ADBE;9,803003382214788;0,4340253851370918;-16,273940844068957;34,0;3,616373377318124;4,757144336124831;7,554564139119826;5,2;4,731138991903409
17;28;4;50;2;3;3;6;0,02;0,1;ADBE;6,563588728643232;0,14300116947469585;-28,71650940192336;29,333333333333332;2,387576439648638;2,464789560155247;2,554338076461986;3,8;2,6352352165311994
