;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;3;50;2;3;4;6;0,02;0,05;AES;in_sample_1_2x;7,3886863876093445;0,3739369594282736;-31,682376087738895;52,0
1;28;3;50;2;3;4;6;0,02;0,07;AES;in_sample_1_2x;10,135640931717349;0,46278482225338546;-34,683778336097404;50,0
2;28;3;50;2;3;4;6;0,02;0,09;AES;in_sample_1_2x;9,928476190771885;0,4190532006298226;-29,830875279860926;47,0
3;28;3;50;2;3;4;6;0,02;0,11;AES;in_sample_1_2x;11,285558938164165;0,4002247996803834;-36,401368252014535;46,0
4;28;3;50;2;3;4;6;0,02;0,13;AES;in_sample_1_2x;14,201816421975488;0,4865093794693083;-34,31305883852388;45,0
5;28;3;50;2;3;4;6;0,03;0,05;AES;in_sample_1_2x;3,885510046792473;0,2034487592072181;-32,500661641418525;51,0
6;28;3;50;2;3;4;6;0,03;0,07;AES;in_sample_1_2x;7,856297113483346;0,362798051494592;-35,46611501564437;49,0
7;28;3;50;2;3;4;6;0,03;0,09;AES;in_sample_1_2x;4,029531320982072;0,17633356361164876;-49,361834620923695;46,0
8;28;3;50;2;3;4;6;0,03;0,11;AES;in_sample_1_2x;5,313786306030277;0,19632545036617055;-48,646007067140864;45,0
9;28;3;50;2;3;4;6;0,03;0,13;AES;in_sample_1_2x;8,281703997760538;0,2951669715283635;-48,54722109089325;44,0
10;28;3;50;2;3;4;6;0,04;0,05;AES;in_sample_1_2x;2,557442160397261;0,12598950419997856;-40,27534232946587;49,0
11;28;3;50;2;3;4;6;0,04;0,07;AES;in_sample_1_2x;3,863658777785184;0,17604821909237212;-42,56729575814826;47,0
12;28;3;50;2;3;4;6;0,04;0,09;AES;in_sample_1_2x;1,5883400889718402;0,06753829625475283;-51,98907970260951;44,0
13;28;3;50;2;3;4;6;0,04;0,11;AES;in_sample_1_2x;3,708111299610861;0,1330891427278409;-51,3104055532942;43,0
14;28;3;50;2;3;4;6;0,04;0,13;AES;in_sample_1_2x;6,027087430097566;0,21020603038575617;-50,8126926968535;42,0
15;28;3;50;2;3;4;6;0,05;0,05;AES;in_sample_1_2x;5,017301720207312;0,23265510459384425;-46,29617279723395;48,0
16;28;3;50;2;3;4;6;0,05;0,07;AES;in_sample_1_2x;5,197854961129655;0,22654562065250514;-52,20917567054052;46,0
17;28;3;50;2;3;4;6;0,05;0,09;AES;in_sample_1_2x;4,269623651921672;0,16929863579594578;-52,20918295028285;43,0
18;28;3;50;2;3;4;6;0,05;0,11;AES;in_sample_1_2x;4,6321421267466745;0,16107967841934118;-58,17012490082203;41,0
19;28;3;50;2;3;4;6;0,05;0,13;AES;in_sample_1_2x;10,155753238414134;0,3321059197034986;-58,17012319833938;39,0
20;28;3;60;2;3;4;6;0,02;0,05;AES;in_sample_1_2x;26,152319960978264;0,9729529588002026;-22,34114971541612;58,0
