;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;3;50;2;3;3;6;0,02;0,05;BA;in_sample_1_1x;16,728767217121842;1,1554658385840586;-15,366735478026461;41,0
1;28;3;50;2;3;3;6;0,02;0,1;BA;in_sample_1_1x;16,981393389227396;0,9898840758015016;-22,887105440961264;34,0
2;28;3;50;2;3;3;6;0,05;0,05;BA;in_sample_1_1x;15,513206244543909;0,9144504554802647;-22,691473576862;39,0
3;28;3;50;2;3;3;6;0,05;0,1;BA;in_sample_1_1x;20,043323136077994;0,9534914916105787;-24,36622521564401;32,0
4;28;3;100;2;3;3;6;0,02;0,05;BA;in_sample_1_1x;15,209142466268123;1,0723315415532146;-12,648882059978883;43,0
5;28;3;100;2;3;3;6;0,02;0,1;BA;in_sample_1_1x;15,709272600229518;0,8023434864309977;-22,522180957116145;40,0
6;28;3;100;2;3;3;6;0,05;0,05;BA;in_sample_1_1x;14,112103013014643;0,9074265999983809;-13,617884400100344;39,0
7;28;3;100;2;3;3;6;0,05;0,1;BA;in_sample_1_1x;15,648451840722476;0,7523275484590803;-22,00530023761822;35,0
8;28;4;50;2;3;3;6;0,02;0,05;BA;in_sample_1_1x;9,12766169484922;0,7606447260070285;-13,795424354846396;30,0
9;28;4;50;2;3;3;6;0,02;0,1;BA;in_sample_1_1x;11,561315809018225;0,7561838040282248;-21,45542224163267;27,0
10;28;4;50;2;3;3;6;0,05;0,05;BA;in_sample_1_1x;8,832635904827502;0,6199635807571965;-14,986758037619607;29,0
11;28;4;50;2;3;3;6;0,05;0,1;BA;in_sample_1_1x;13,26270568798984;0,7256234737562106;-14,986785401518565;25,0
12;28;4;100;2;3;3;6;0,02;0,05;BA;in_sample_1_1x;14,852666610890308;1,11703259125237;-10,806520122411701;36,0
13;28;4;100;2;3;3;6;0,02;0,1;BA;in_sample_1_1x;14,430837739091507;0,7756241492278018;-19,08194693269406;34,0
14;28;4;100;2;3;3;6;0,05;0,05;BA;in_sample_1_1x;12,533877735464149;0,8873468926821099;-10,965515816614824;32,0
15;28;4;100;2;3;3;6;0,05;0,1;BA;in_sample_1_1x;12,057906771596215;0,6393626975544321;-19,4088371747715;29,0
16;28;5;50;2;3;3;6;0,02;0,05;BA;in_sample_1_1x;7,973503184924935;0,7485807665003976;-14,000830475181058;23,0
17;28;5;50;2;3;3;6;0,02;0,1;BA;in_sample_1_1x;7,73988429227026;0,5541964746636133;-27,914672462529023;21,0
18;28;5;50;2;3;3;6;0,05;0,05;BA;in_sample_1_1x;9,136843025005748;0,7410768972201528;-17,786034275398986;23,0
19;28;5;50;2;3;3;6;0,05;0,1;BA;in_sample_1_1x;12,733845147478906;0,7623301308240885;-17,78602522732222;19,0
20;28;5;100;2;3;3;6;0,02;0,05;BA;in_sample_1_1x;12,601035414344386;0,9724998295914724;-10,806506031795537;29,0
21;28;5;100;2;3;3;6;0,02;0,1;BA;in_sample_1_1x;13,552019080285916;0,786024164642827;-17,835400113626278;28,0
22;28;5;100;2;3;3;6;0,05;0,05;BA;in_sample_1_1x;9,938675228074567;0,7306978478087534;-11,762696863733236;26,0
23;28;5;100;2;3;3;6;0,05;0,1;BA;in_sample_1_1x;12,101709535737548;0,6613784192171511;-19,40885042953714;25,0
24;35;3;50;2;3;3;6;0,02;0,05;BA;in_sample_1_1x;16,467867911371915;1,050006456878022;-14,117780686179183;49,0
25;35;3;50;2;3;3;6;0,02;0,1;BA;in_sample_1_1x;13,796076507344889;0,722863479662095;-30,65155497861134;44,0
26;35;3;50;2;3;3;6;0,05;0,05;BA;in_sample_1_1x;10,126234614672725;0,6255876724193604;-21,250070383158935;46,0
27;35;3;50;2;3;3;6;0,05;0,1;BA;in_sample_1_1x;7,465748806500883;0,38951235956689306;-41,14116902336771;42,0
28;35;3;100;2;3;3;6;0,02;0,05;BA;in_sample_1_1x;21,74821393405548;1,2873786705329846;-13,587490496339571;50,0
29;35;3;100;2;3;3;6;0,02;0,1;BA;in_sample_1_1x;26,41505421614543;1,2619912349197175;-13,882948667826634;41,0
30;35;3;100;2;3;3;6;0,05;0,05;BA;in_sample_1_1x;20,991065333343563;1,1398194807951674;-18,555845450032827;47,0
31;35;3;100;2;3;3;6;0,05;0,1;BA;in_sample_1_1x;23,04946612304899;1,0740131565011934;-19,374836631922122;37,0
32;35;4;50;2;3;3;6;0,02;0,05;BA;in_sample_1_1x;12,693268112748534;0,9846577593083842;-14,165469296719069;37,0
33;35;4;50;2;3;3;6;0,02;0,1;BA;in_sample_1_1x;13,64136368764919;0,8078270984725331;-24,592764371838495;33,0
34;35;4;50;2;3;3;6;0,05;0,05;BA;in_sample_1_1x;10,11639413509242;0,7035083622285224;-16,212294605344514;35,0
35;35;4;50;2;3;3;6;0,05;0,1;BA;in_sample_1_1x;10,13662202333614;0,574072557584207;-24,07848791335805;31,0
36;35;4;100;2;3;3;6;0,02;0,05;BA;in_sample_1_1x;14,248189736573224;0,9413047103449949;-12,812964547229456;43,0
37;35;4;100;2;3;3;6;0,02;0,1;BA;in_sample_1_1x;19,105224654577757;1,011814590021677;-16,587046100621684;38,0
38;35;4;100;2;3;3;6;0,05;0,05;BA;in_sample_1_1x;14,946920627955574;0,8724165592839876;-17,47321812498692;41,0
39;35;4;100;2;3;3;6;0,05;0,1;BA;in_sample_1_1x;19,575807020105817;0,9474267081979517;-17,74584017742955;35,0
40;35;5;50;2;3;3;6;0,02;0,05;BA;in_sample_1_1x;9,166073720829427;0,8695724806935736;-10,764502041570022;27,0
41;35;5;50;2;3;3;6;0,02;0,1;BA;in_sample_1_1x;14,695069704231356;1,0540705683578007;-11,65279934623129;23,0
42;35;5;50;2;3;3;6;0,05;0,05;BA;in_sample_1_1x;7,3124145093901305;0,583552162602266;-14,991195518239486;27,0
43;35;5;50;2;3;3;6;0,05;0,1;BA;in_sample_1_1x;15,073914310613912;0,9238931112555291;-15,767129309238548;23,0
44;35;5;100;2;3;3;6;0,02;0,05;BA;in_sample_1_1x;11,019679382461955;0,8896406578003738;-15,130169377982217;32,0
45;35;5;100;2;3;3;6;0,02;0,1;BA;in_sample_1_1x;15,69562904272983;0,9611758834098422;-16,60215148713553;29,0
46;35;5;100;2;3;3;6;0,05;0,05;BA;in_sample_1_1x;12,811918885495688;0,8948370861615205;-17,952245437019577;30,0
47;35;5;100;2;3;3;6;0,05;0,1;BA;in_sample_1_1x;15,258775716000205;0,8557902959540655;-17,95224717308791;26,0
48;28;3;50;2;3;4;6;0,02;0,05;BA;in_sample_1_1x;16,544735960432398;1,1867948476734729;-12,94031829375848;41,0
49;28;3;50;2;3;4;6;0,02;0,1;BA;in_sample_1_1x;19,54830228756972;1,149990994982333;-17,778482567946195;36,0
50;28;3;50;2;3;4;6;0,05;0,05;BA;in_sample_1_1x;16,982093567382805;1,0038523223279603;-15,527910230902176;37,0
51;28;3;50;2;3;4;6;0,05;0,1;BA;in_sample_1_1x;24,73655931831209;1,1577259977661623;-17,477956821913697;31,0
52;28;3;100;2;3;4;6;0,02;0,05;BA;in_sample_1_1x;18,117992525654557;1,2799758053927832;-10,561325603952621;38,0
