Date;Open;High;Low;Close;Adj Close;Volume
1999-01-04;29,875;31,0625;29,75;30,25;15,413617134094238;12488200
1999-01-05;29,9375;30,71875;29,9375;30,65625;15,620621681213379;9597400
1999-01-06;31,0;32,6875;30,96875;32,1875;16,400848388671875;15861400
1999-01-07;32,0;33,90625;31,875;33,78125;17,212940216064453;14381600
1999-01-08;34,375;34,96875;34,0;34,96875;17,818017959594727;13912000
1999-01-11;34,96875;35,46875;34,53125;34,96875;17,818017959594727;12484200
1999-01-12;34,75;34,78125;33,125;33,46875;17,053701400756836;10338600
1999-01-13;30,53125;33,25;30,53125;32,71875;16,671554565429688;15175000
1999-01-14;32,5625;32,6875;30,59375;31,25;15,9231538772583;13558800
1999-01-15;31,5;32,375;31,5;32,28125;16,448627471923828;12151600
1999-01-19;32,28125;32,28125;30,90625;32,0;16,305307388305664;12794800
1999-01-20;31,6875;33,4375;31,03125;33,0;16,814863204956055;14628800
1999-01-21;33,09375;33,40625;32,75;32,75;16,687477111816406;11339800
1999-01-22;32,25;32,75;32,0625;32,53125;16,57600975036621;8695200
1999-01-25;32,46875;32,65625;32,0625;32,34375;16,480472564697266;8721400
1999-01-26;32,375;32,53125;31,78125;32,46875;16,544157028198242;9792400
1999-01-27;32,5;32,5;31,03125;31,0625;15,827620506286621;8554800
1999-01-28;31,8125;32,5625;31,6875;32,4375;16,528240203857422;8992400
1999-01-29;32,71875;33,59375;32,125;33,4375;17,03778076171875;8192200
1999-02-01;33,3125;33,34375;32,125;32,625;16,623781204223633;6599200
1999-02-02;32,5;32,53125;31,1875;31,71875;16,162002563476562;7502800
1999-02-03;31,625;32,5;31,0625;31,75;16,177934646606445;8303600
1999-02-04;32,0;32,0;30,5;30,59375;15,588781356811523;9178200
1999-02-05;30,8125;31,09375;30,15625;30,375;15,47730541229248;6986800
1999-02-08;30,5;30,65625;30,0;30,0;15,286240577697754;6210000
1999-02-09;30,125;31,125;29,78125;29,875;15,22253704071045;10849400
1999-02-10;30,25;30,96875;30,0625;30,8125;15,700230598449707;6456000
1999-02-11;30,9375;32,46875;30,875;32,46875;16,544157028198242;8263200
1999-02-12;32,125;32,40625;31,125;31,4375;16,018695831298828;7982400
1999-02-16;32,375;32,5;31,65625;32,3125;16,464553833007812;7313600
1999-02-17;31,9375;33,375;31,75;32,4375;16,528240203857422;13875600
1999-02-18;32,375;33,125;32,0625;32,96875;16,798931121826172;7618600
1999-02-19;32,84375;33,03125;32,3125;32,46875;16,544157028198242;7850600
1999-02-22;32,28125;33,28125;32,25;32,8125;16,71932029724121;8089200
1999-02-23;33,0;33,71875;32,75;33,46875;17,053701400756836;9215600
1999-02-24;33,5;33,8125;31,9375;31,96875;16,289400100708008;8000400
1999-02-25;31,875;32,3125;31,5;32,3125;16,464553833007812;8528800
1999-02-26;32,5;32,875;31,78125;32,65625;16,639698028564453;6959200
1999-03-01;32,65625;33,75;32,5;33,59375;17,117389678955078;10167600
1999-03-02;33,9375;34,15625;33,65625;33,875;17,260709762573242;10114400
1999-03-03;33,59375;33,9375;33,15625;33,625;17,247880935668945;10944600
1999-03-04;33,28125;33,75;32,78125;33,125;16,99140739440918;10430000
1999-03-05;34,1875;34,5625;33,5;34,4375;17,664653778076172;11775200
1999-03-08;34,4375;34,4375;33,75;34,0625;17,47229766845703;5971800
1999-03-09;34,125;35,21875;34,0625;35,125;18,017303466796875;12253600
1999-03-10;35,5;35,8125;35,1875;35,75;18,337894439697266;11234400
1999-03-11;36,0;37,0;35,71875;36,0625;18,498188018798828;11938400
1999-03-12;36,09375;36,4375;35,9375;36,125;18,53026008605957;8587000
1999-03-15;36,0;37,0;36,0;36,875;18,91495704650879;7550400
1999-03-16;36,90625;36,96875;36,15625;36,1875;18,562305450439453;7017200
1999-03-17;35,875;36,0;35,15625;35,34375;18,12950897216797;5153600
1999-03-18;35,25;36,96875;35,125;36,96875;18,963054656982422;8032800
1999-03-19;37,1875;37,25;35,65625;35,75;18,337894439697266;9070800
1999-03-22;35,875;36,28125;35,65625;36,25;18,59436798095703;4538000
1999-03-23;36,0625;36,0625;34,28125;34,5;17,69670867919922;6254400
1999-03-24;34,71875;35,0;33,75;34,0625;17,47229766845703;4667600
1999-03-25;34,40625;35,375;34,40625;34,9375;17,92112922668457;5264800
1999-03-26;34,875;35,46875;34,625;34,9375;17,92112922668457;5374800
1999-03-29;35,375;35,96875;35,125;35,6875;18,305831909179688;4372400
1999-03-30;35,4375;36,1875;35,1875;35,5;18,20966339111328;5247600
1999-03-31;35,8125;36,0625;34,96875;35,3125;18,113481521606445;6479400
1999-04-01;35,25;35,28125;34,40625;34,5;17,69670867919922;5340400
1999-04-05;35,0;35,84375;34,8125;35,8125;18,369956970214844;5102000
1999-04-06;35,5625;35,59375;34,8125;34,8125;17,856996536254883;5772800
1999-04-07;35,46875;36,59375;35,125;36,5;18,722606658935547;9485400
1999-04-08;36,75;37,46875;36,25;37,4375;19,203495025634766;9638000
1999-04-09;37,3125;37,34375;36,5625;37,1875;19,075260162353516;6298000
1999-04-12;36,9375;37,5;36,75;37,5;19,23555564880371;7974400
1999-04-13;37,09375;37,28125;36,5;36,78125;18,86686897277832;7363000
1999-04-14;37,0625;37,3125;36,03125;36,03125;18,482160568237305;6958000
1999-04-15;36,0625;36,40625;35,625;35,96875;18,45009994506836;5685600
1999-04-16;35,90625;36,5;35,375;36,5;18,722606658935547;6461800
1999-04-19;37,1875;38,0625;35,6875;35,875;18,402015686035156;15291400
1999-04-20;35,9375;36,8125;35,75;36,6875;18,818790435791016;8795000
1999-04-21;36,25;36,875;35,78125;36,625;18,78672981262207;6591200
1999-04-22;36,5625;37,3125;36,46875;37,125;19,043190002441406;6097600
1999-04-23;36,9375;37,4375;36,5;37,0;18,979084014892578;4582000
1999-04-26;36,90625;36,96875;36,0;36,0;18,466129302978516;4904800
1999-04-27;36,40625;37,34375;36,1875;37,25;19,107318878173828;6478800
1999-04-28;37,34375;37,5625;36,8125;36,8125;18,882904052734375;6539400
1999-04-29;37,125;37,5;36,0;36,5;18,722606658935547;8288600
1999-04-30;36,375;36,6875;35,5625;35,78125;18,353923797607422;6892400
1999-05-03;35,59375;36,40625;35,53125;36,3125;18,626422882080078;5164800
1999-05-04;36,4375;36,4375;35,0625;35,21875;18,065393447875977;6678400
1999-05-05;35,34375;35,96875;34,15625;35,46875;18,193626403808594;8095800
1999-05-06;35,0;35,25;34,15625;34,75;17,824953079223633;6730000
1999-05-07;34,34375;35,40625;34,34375;35,15625;18,0333309173584;5759000
1999-05-10;35,125;35,15625;34,40625;34,5625;17,728769302368164;6041200
1999-05-11;34,96875;34,96875;34,1875;34,5;17,69670867919922;8753400
1999-05-12;34,25;34,875;33,40625;34,40625;17,64862060546875;8369000
1999-05-13;34,9375;35,59375;34,71875;35,34375;18,12950897216797;9413600
1999-05-14;34,78125;34,8125;33,84375;34,28125;17,58449363708496;7546200
1999-05-17;34,0;34,59375;33,5;34,28125;17,58449363708496;6300200
1999-05-18;34,3125;34,84375;33,28125;34,125;17,504362106323242;6595400
1999-05-19;34,125;34,625;34,0;34,625;17,760826110839844;5036800
1999-05-20;34,59375;34,75;33,8125;34,03125;17,45627212524414;4734200
1999-05-21;33,90625;34,0;33,3125;33,71875;17,29596710205078;6499400
1999-05-24;33,21875;33,21875;32,25;32,8125;16,831104278564453;9043200
1999-05-25;32,25;32,75;31,0625;31,375;16,093746185302734;10687600
1999-05-26;31,5;33,0;30,75;33,0;16,927297592163086;9871200
