;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;3;50;2;3;3;6;0,02;0,05;CL;in_sample_1_1x;8,281974500714838;0,5851660649896129;-20,956297848121373;34,0
1;28;3;50;2;3;3;6;0,02;0,1;CL;in_sample_1_1x;7,464905891979745;0,42507502444997575;-22,865413760920916;30,0
2;28;3;50;2;3;3;6;0,05;0,05;CL;in_sample_1_1x;7,030471497781621;0,46297159490250905;-27,541432701478875;29,0
3;28;3;50;2;3;3;6;0,05;0,1;CL;in_sample_1_1x;11,505815530384478;0,590139833172209;-26,451170358866104;25,0
4;28;3;100;2;3;3;6;0,02;0,05;CL;in_sample_1_1x;11,628614544913752;0,8463409958887458;-26,8833479639112;43,0
5;28;3;100;2;3;3;6;0,02;0,1;CL;in_sample_1_1x;13,679466513883543;0,7513881503170919;-24,28836070531991;34,0
6;28;3;100;2;3;3;6;0,05;0,05;CL;in_sample_1_1x;19,471305729918885;1,113572257733021;-21,199198699530587;38,0
7;28;3;100;2;3;3;6;0,05;0,1;CL;in_sample_1_1x;16,10902370283689;0,7836083274989346;-23,311989151768486;27,0
8;28;4;50;2;3;3;6;0,02;0,05;CL;in_sample_1_1x;7,403817102214516;0,5741510564312708;-16,587264119807465;25,0
9;28;4;50;2;3;3;6;0,02;0,1;CL;in_sample_1_1x;5,241562985902171;0,31728162028605483;-25,326067575258172;22,0
10;28;4;50;2;3;3;6;0,05;0,05;CL;in_sample_1_1x;7,386757020452217;0,5176620832503269;-20,916224347285993;20,0
11;28;4;50;2;3;3;6;0,05;0,1;CL;in_sample_1_1x;8,765819264802976;0,4858474275179032;-15,702915372119119;17,0
12;28;4;100;2;3;3;6;0,02;0,05;CL;in_sample_1_1x;11,431254637494192;0,9289535657028924;-20,6620910959294;34,0
13;28;4;100;2;3;3;6;0,02;0,1;CL;in_sample_1_1x;13,64209725000427;0,8399986581384634;-12,569138261117985;27,0
14;28;4;100;2;3;3;6;0,05;0,05;CL;in_sample_1_1x;17,48696348527816;1,111556634058379;-17,088480467394042;29,0
15;28;4;100;2;3;3;6;0,05;0,1;CL;in_sample_1_1x;17,64630503229312;0,9329063180666294;-14,820554094855897;21,0
16;28;5;50;2;3;3;6;0,02;0,05;CL;in_sample_1_1x;6,413556739835569;0,5707370533220337;-13,512483347670045;17,0
17;28;5;50;2;3;3;6;0,02;0,1;CL;in_sample_1_1x;5,793602658545782;0,40008464743764044;-20,077474357020964;16,0
18;28;5;50;2;3;3;6;0,05;0,05;CL;in_sample_1_1x;5,816853191765148;0,462125836717134;-17,725364395094644;15,0
19;28;5;50;2;3;3;6;0,05;0,1;CL;in_sample_1_1x;7,476457218350019;0,49219289260859556;-16,60680535068838;13,0
20;28;5;100;2;3;3;6;0,02;0,05;CL;in_sample_1_1x;10,570560265486373;0,8945409743814562;-19,346008589929088;30,0
21;28;5;100;2;3;3;6;0,02;0,1;CL;in_sample_1_1x;11,576362864219924;0,7551113922414621;-16,097285227205628;23,0
22;28;5;100;2;3;3;6;0,05;0,05;CL;in_sample_1_1x;14,754650237876143;1,019996923343055;-20,969931313130463;26,0
23;28;5;100;2;3;3;6;0,05;0,1;CL;in_sample_1_1x;13,59453815839684;0,7575926727163899;-13,95969528160148;19,0
24;35;3;50;2;3;3;6;0,02;0,05;CL;in_sample_1_1x;3,929703564581355;0,26166611194347617;-28,640300274360698;57,0
25;35;3;50;2;3;3;6;0,02;0,1;CL;in_sample_1_1x;5,112598157023984;0,2979268481861658;-25,742101650440542;49,0
26;35;3;50;2;3;3;6;0,05;0,05;CL;in_sample_1_1x;5,0915287627185;0,2564361197458944;-27,149267173817428;47,0
27;35;3;50;2;3;3;6;0,05;0,1;CL;in_sample_1_1x;6,756488978254271;0,3138054337609998;-31,890147238212474;40,0
28;35;3;100;2;3;3;6;0,02;0,05;CL;in_sample_1_1x;7,343020379591203;0,4639492727150767;-24,972923591364882;48,0
29;35;3;100;2;3;3;6;0,02;0,1;CL;in_sample_1_1x;10,00453146197171;0,621604031943764;-12,629789852790175;34,0
30;35;3;100;2;3;3;6;0,05;0,05;CL;in_sample_1_1x;10,42904496521102;0,5895631107700494;-19,701702558696642;41,0
31;35;3;100;2;3;3;6;0,05;0,1;CL;in_sample_1_1x;11,285784128039133;0,5990776967750836;-19,21505929181253;30,0
32;35;4;50;2;3;3;6;0,02;0,05;CL;in_sample_1_1x;-0,13107692097308332;-0,012207069115550953;-20,302308900458698;37,0
33;35;4;50;2;3;3;6;0,02;0,1;CL;in_sample_1_1x;-1,7038628345440565;-0,13196130190766814;-28,704176598475673;32,0
34;35;4;50;2;3;3;6;0,05;0,05;CL;in_sample_1_1x;4,633402959368826;0,3075254198771848;-21,328787548177143;32,0
35;35;4;50;2;3;3;6;0,05;0,1;CL;in_sample_1_1x;-1,4761811493943955;-0,08920113957566353;-31,825155742361964;26,0
36;35;4;100;2;3;3;6;0,02;0,05;CL;in_sample_1_1x;6,688996825317672;0,5344502108418333;-22,377394447243816;35,0
37;35;4;100;2;3;3;6;0,02;0,1;CL;in_sample_1_1x;6,065892827485464;0,44852337122487224;-16,383863348837547;28,0
38;35;4;100;2;3;3;6;0,05;0,05;CL;in_sample_1_1x;6,175610775913265;0,45743046182170516;-21,93529129282794;32,0
39;35;4;100;2;3;3;6;0,05;0,1;CL;in_sample_1_1x;4,178563536239555;0,27692989749274294;-25,445306518210163;26,0
40;35;5;50;2;3;3;6;0,02;0,05;CL;in_sample_1_1x;-2,0783777152951988;-0,22823269299571747;-22,2992635679677;29,0
41;35;5;50;2;3;3;6;0,02;0,1;CL;in_sample_1_1x;-3,391321785209178;-0,2872937317170706;-32,39478284763157;25,0
42;35;5;50;2;3;3;6;0,05;0,05;CL;in_sample_1_1x;1,9089503499271299;0,1545692084396839;-21,618892919112987;25,0
43;35;5;50;2;3;3;6;0,05;0,1;CL;in_sample_1_1x;-2,7447539425915712;-0,19356597473814896;-39,67739894194655;19,0
44;35;5;100;2;3;3;6;0,02;0,05;CL;in_sample_1_1x;3,866280915162923;0,35895089246295403;-24,297713424054745;29,0
45;35;5;100;2;3;3;6;0,02;0,1;CL;in_sample_1_1x;2,78152808125276;0,2276861248901864;-21,224288580245375;25,0
46;35;5;100;2;3;3;6;0,05;0,05;CL;in_sample_1_1x;5,27453639409694;0,43611256625597583;-21,001130654634558;26,0
47;35;5;100;2;3;3;6;0,05;0,1;CL;in_sample_1_1x;7,2282331240257625;0,46673428298234865;-21,00113925145869;21,0
48;28;3;50;2;3;4;6;0,02;0,05;CL;in_sample_1_1x;11,455232855685793;0,7837125201271373;-19,852164383883785;35,0
49;28;3;50;2;3;4;6;0,02;0,1;CL;in_sample_1_1x;10,568077795864816;0,6031276057423569;-22,530090699411364;30,0
50;28;3;50;2;3;4;6;0,05;0,05;CL;in_sample_1_1x;8,342401929638221;0,5460842969515387;-26,529275989139744;30,0
51;28;3;50;2;3;4;6;0,05;0,1;CL;in_sample_1_1x;10,783672951377032;0,5617729648913916;-26,979424526426232;24,0
52;28;3;100;2;3;4;6;0,02;0,05;CL;in_sample_1_1x;15,433771075244751;1,0927984754790054;-20,126808739439504;43,0
