;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;28;3;50;2;3;3;6;0,02;0,05;DHR;10,304772393738363;0,7898161846786035;-19,075800476483607;39,0;7,196074736887757;7,542242833794665;6,69180176195362;8,953488372093023;7,474000001757036
1;28;3;50;2;3;3;6;0,02;0,1;DHR;5,109509044647331;0,3256138835689711;-24,726329665571374;32,333333333333336;4,291176450563969;4,17813471236174;4,402351138865874;6,627906976744186;4,608579556003635
2;28;3;50;2;3;3;6;0,05;0,05;DHR;8,047121331994381;0,5818235296260338;-25,307641950940255;34,666666666666664;5,933723579746781;6,034904808136121;4,16681819506363;7,441860465116278;5,925665573670356
3;28;3;50;2;3;3;6;0,05;0,1;DHR;4,195161660426346;0,23366138320357885;-26,178030478102325;27,666666666666668;3,779924956451955;3,511748198279763;3,81415891499338;5,000000000000001;3,88249002584411
8;28;3;100;2;3;3;6;0,02;0,05;DHR;12,572076346101127;0,8228806338773639;-17,05664650123313;40,0;8,463823246103578;7,7818633221342655;7,509911565841496;9,302325581395348;8,252490504259443
9;28;3;100;2;3;3;6;0,02;0,1;DHR;4,923378603483368;0,2906001550413902;-21,631990560049687;33,333333333333336;4,18710280439077;3,9243876537631155;5,656098594389614;6,9767441860465125;4,720418071590666
10;28;3;100;2;3;3;6;0,05;0,05;DHR;10,506975811033287;0,6657878186435439;-18,38470420992691;35,0;7,3091354849038535;6,643400168712621;6,971816380962657;7,55813953488372;7,106308958283312
11;28;3;100;2;3;3;6;0,05;0,1;DHR;3,6087141384937884;0,1811808814678563;-29,36275031332599;28,666666666666668;3,4520165739483466;3,1314181532024508;2,5237914879577827;5,348837209302326;3,4987878179300074
16;28;4;50;2;3;3;6;0,02;0,05;DHR;6,524971492475395;0,5306295441416611;-16,434117878194055;24,666666666666668;5,082623228670188;5,663898240687367;7,762144320723851;3,953488372093024;5,470185551457454
17;28;4;50;2;3;3;6;0,02;0,1;DHR;5,710705773374502;0,3728585435026838;-20,00377598654964;21,666666666666668;4,627331757749423;4,520520227895416;6,315809701982713;2,9069767441860472;4,59226031074398
18;28;4;50;2;3;3;6;0,05;0,05;DHR;6,6394965865003455;0,46382809007549103;-21,760385501967885;22,0;5,146659202791183;5,179783203751226;5,604076231538429;3,0232558139534884;4,918125151623989
19;28;4;50;2;3;3;6;0,05;0,1;DHR;5,34804445980807;0,3192535422466218;-23,884710450911097;18,0;4,4245520029022725;4,132040852321725;4,743353825681066;1,6279069767441858;3,9869997879679313
24;28;4;100;2;3;3;6;0,02;0,05;DHR;6,200646222049773;0,5483380495559378;-15,319038233054501;27,333333333333332;4,901278827248126;5,7922330781929166;8,213946214480524;4,883720930232558;5,626567111834755
25;28;4;100;2;3;3;6;0,02;0,1;DHR;3,422745279048852;0,22701403641462967;-19,860851625280315;25,0;3,3480332751602875;3,4635743885738877;6,373719015785462;4,069767441860465;3,9163907228963666
26;28;4;100;2;3;3;6;0,05;0,05;DHR;4,660260467193319;0,34237185810688203;-19,760811170171618;24,666666666666668;4,039981980699821;4,299580982892911;6,414252862194911;3,953488372093024;4,440978448881888
27;28;4;100;2;3;3;6;0,05;0,1;DHR;2,1387763874032557;0,1124151978781648;-24,318700371320528;21,666666666666668;2,6301102783045236;2,6330682008498174;4,56751215484889;2,9069767441860472;2,9472794479497346
32;28;5;50;2;3;3;6;0,02;0,05;DHR;2,2201764440338647;0,24809629039018663;-17,693791079880295;18,666666666666668;2,6756245995476005;3,616359029338804;7,251756797718578;1,8604651162790702;3,481687681616865
33;28;5;50;2;3;3;6;0,02;0,1;DHR;-0,4612153936312646;-0,07288535736807178;-27,44371207545316;17,333333333333332;1,1763414966883723;1,2901814867603265;3,3013369429767425;1,395348837209302;1,5437247491102593
34;28;5;50;2;3;3;6;0,05;0,05;DHR;1,5936438407722189;0,12094758224229296;-25,978139916189818;17,333333333333332;2,3253029000982033;2,694903016114492;3,8951494835234457;1,395348837209302;2,5223161504651914
35;28;5;50;2;3;3;6;0,05;0,1;DHR;-2,5650425370918035;-0,2509132902955336;-35,59164965103847;14,666666666666666;0,0;0,0;0,0;0,46511627906976705;0,06644518272425244
40;28;5;100;2;3;3;6;0,02;0,05;DHR;4,724205995908989;0,45966563589586346;-16,997303789158405;22,333333333333332;4,075736714252783;5,149617593030847;7,533955722519346;3,13953488372093;4,742847990722902
41;28;5;100;2;3;3;6;0,02;0,1;DHR;2,8290538821575097;0,18127842665393235;-25,947926194078747;20,333333333333332;3,016074526286359;3,1321250703200536;3,9073913147923784;2,441860465116279;3,09453221420112
42;28;5;100;2;3;3;6;0,05;0,05;DHR;3,8231053565287;0,3126050810957217;-19,308420356455343;19,666666666666668;3,5718920528269003;4,083858966753061;6,597550106697616;2,2093023255813957;3,9557495034665484
43;28;5;100;2;3;3;6;0,05;0,1;DHR;0,4637868725756629;-0,012785410138209496;-28,772337107419293;17,333333333333332;1,6935505999420606;1,7257302121552047;2,763011893146158;1,395348837209302;1,8129247077845787
48;35;3;50;2;3;3;6;0,02;0,05;DHR;11,94813573325566;0,9661276805841625;-11,52431887831579;39,666666666666664;8,114950841523795;8,819985175571201;9,751469922512596;9,186046511627906;8,703191329979186
49;35;3;50;2;3;3;6;0,02;0,1;DHR;7,318092068635658;0,48233981219217403;-20,329029682082673;32,666666666666664;5,526091528104745;5,3139390116082295;6,184025182165038;6,744186046511627;5,733480548029624
50;35;3;50;2;3;3;6;0,05;0,05;DHR;13,094745356726605;0,9891197159638606;-14,799575969192931;35,333333333333336;8,756070281770432;8,986610142238156;8,424419103633133;7,674418604651163;8,620038405438844
51;35;3;50;2;3;3;6;0,05;0,1;DHR;7,857685059072746;0,4168926734060177;-24,256147394467444;27,666666666666668;5,827801498881735;4,839638796833858;4,592857029114623;5,000000000000001;5,250791302775363
56;35;3;100;2;3;3;6;0,02;0,05;DHR;12,137280162318186;0,7657776792171237;-14,514345171383384;42,0;8,220709739760888;7,368034021695358;8,539987363864402;10,0;8,276883518076826
57;35;3;100;2;3;3;6;0,02;0,1;DHR;8,561065439547145;0,414966212590638;-19,367451946486803;33,0;6,221092141642193;4,825677594015282;6,573632008753731;6,860465116279069;5,964104105427134
58;35;3;100;2;3;3;6;0,05;0,05;DHR;12,780229751773426;0,7538352666686787;-17,034033305459648;37,0;8,580210892080315;7,28148648208237;7,51907385726963;8,25581395348837;8,01121335016624
59;35;3;100;2;3;3;6;0,05;0,1;DHR;7,748029885999141;0,33130091791566296;-21,053585949130472;28,666666666666668;5,766488509925404;4,219349067367825;5,890453422504325;5,348837209302326;5,282493470902645
64;35;4;50;2;3;3;6;0,02;0,05;DHR;5,987161569616842;0,547084003694482;-17,869673412156345;32,0;4,781910248729896;5,783144915861346;7,180493752834716;6,511627906976743;5,657734605389119
65;35;4;50;2;3;3;6;0,02;0,1;DHR;2,4916038142888195;0,17697052778248792;-28,09250466666596;26,666666666666668;2,827391478285892;3,1009054112509467;3,038462696600774;4,651162790697676;3,196230106379717
66;35;4;50;2;3;3;6;0,05;0,05;DHR;8,035069049773291;0,6452176314026;-17,54791328466695;28,0;5,926984623197742;6,494326513129187;7,310862767791405;5,116279069767442;6,170964104772922
67;35;4;50;2;3;3;6;0,05;0,1;DHR;3,141062524901446;0,15686002428848758;-30,52285094676813;21,0;3,1905321640851523;2,9551631174955055;2,053748235512008;2,6744186046511627;2,8871556524870914
72;35;4;100;2;3;3;6;0,02;0,05;DHR;9,751184868891587;0,6589387134822472;-14,313242106297944;36,0;6,886539811668041;6,593764201285082;8,621469207822287;7,9069767441860455;7,1965133985118035
73;35;4;100;2;3;3;6;0,02;0,1;DHR;7,985431297989677;0,44819963084089415;-17,647048051098327;28,0;5,899229991641207;5,0665226134635155;7,270695883384492;5,116279069767442;5,745387165000371
74;35;4;100;2;3;3;6;0,05;0,05;DHR;10,720617517884305;0,6478719675830084;-17,16685188522644;32,0;7,428591879395847;6,513562682101593;7,465259148942497;6,511627906976743;7,0413982940442805
