;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;3;50;2;3;3;6;0,02;0,05;ED;in_sample_1_1x;8,30854220137911;0,8769640696090102;-11,50154068836401;33,0
1;28;3;50;2;3;3;6;0,02;0,1;ED;in_sample_1_1x;6,644545771065946;0,578463946944401;-18,179386634300464;27,0
2;28;3;50;2;3;3;6;0,05;0,05;ED;in_sample_1_1x;6,862349276778801;0,6391741715196388;-18,985774867700865;29,0
3;28;3;50;2;3;3;6;0,05;0,1;ED;in_sample_1_1x;4,732022900348332;0,37183784758550303;-27,80238133673193;26,0
4;28;3;100;2;3;3;6;0,02;0,05;ED;in_sample_1_1x;10,448316682516644;1,2181283600990314;-8,241002314747824;27,0
5;28;3;100;2;3;3;6;0,02;0,1;ED;in_sample_1_1x;9,733849603834166;0,9335498058796662;-11,621402234393297;23,0
6;28;3;100;2;3;3;6;0,05;0,05;ED;in_sample_1_1x;11,54179090814418;1,1854372985196038;-10,131517594431227;24,0
7;28;3;100;2;3;3;6;0,05;0,1;ED;in_sample_1_1x;11,607381876893541;0,9896450477153077;-17,473485764413056;22,0
8;28;4;50;2;3;3;6;0,02;0,05;ED;in_sample_1_1x;1,8238930800977826;0,28009674401807855;-15,232359624312885;20,0
9;28;4;50;2;3;3;6;0,02;0,1;ED;in_sample_1_1x;-3,125480483507559;-0,3877998334580875;-24,51765157397343;18,0
10;28;4;50;2;3;3;6;0,05;0,05;ED;in_sample_1_1x;-0,623551960936819;-0,07830900605125123;-19,576384922199875;18,0
11;28;4;50;2;3;3;6;0,05;0,1;ED;in_sample_1_1x;-5,097145854137109;-0,5778381849695308;-34,18604965560511;15,0
12;28;4;100;2;3;3;6;0,02;0,05;ED;in_sample_1_1x;7,2582753346232876;0,8740745207397925;-7,927849136814357;23,0
13;28;4;100;2;3;3;6;0,02;0,1;ED;in_sample_1_1x;3,0351144227583005;0,31961837592952747;-14,071433286306556;20,0
14;28;4;100;2;3;3;6;0,05;0,05;ED;in_sample_1_1x;6,477401323469678;0,7496484933894406;-10,32499587307324;21,0
15;28;4;100;2;3;3;6;0,05;0,1;ED;in_sample_1_1x;1,7151334658810358;0,16657038350944028;-18,04049225824712;18,0
16;28;5;50;2;3;3;6;0,02;0,05;ED;in_sample_1_1x;0,022804003899490333;0,0039366708888775815;-12,912611881343672;15,0
17;28;5;50;2;3;3;6;0,02;0,1;ED;in_sample_1_1x;-3,283014138158269;-0,4613498021723643;-21,11556992659408;13,0
18;28;5;50;2;3;3;6;0,05;0,05;ED;in_sample_1_1x;-1,501387196041215;-0,2022041847290981;-15,627628411656813;14,0
19;28;5;50;2;3;3;6;0,05;0,1;ED;in_sample_1_1x;-5,2565177459857555;-0,6089343392168354;-33,151827948808766;10,0
20;28;5;100;2;3;3;6;0,02;0,05;ED;in_sample_1_1x;6,351244253988764;0,7714125072869581;-7,607851005885157;19,0
21;28;5;100;2;3;3;6;0,02;0,1;ED;in_sample_1_1x;3,270122283594379;0,34293235771912794;-15,83942556951965;15,0
22;28;5;100;2;3;3;6;0,05;0,05;ED;in_sample_1_1x;5,089851249727784;0,6030141017388788;-10,361816437701844;18,0
23;28;5;100;2;3;3;6;0,05;0,1;ED;in_sample_1_1x;1,4767653603142028;0,14447948106296502;-19,726821981048527;14,0
24;35;3;50;2;3;3;6;0,02;0,05;ED;in_sample_1_1x;12,680866090347841;1,099386928155812;-10,209220691690856;39,0
25;35;3;50;2;3;3;6;0,02;0,1;ED;in_sample_1_1x;15,985905491871243;1,1518937602938204;-13,1546283807905;33,0
26;35;3;50;2;3;3;6;0,05;0,05;ED;in_sample_1_1x;14,132274424065105;1,0967784010932324;-12,726340984296868;34,0
27;35;3;50;2;3;3;6;0,05;0,1;ED;in_sample_1_1x;15,06615398743756;1,0640046068857563;-18,06744973342206;30,0
