;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;3;50;2;3;3;6;0,02;0,05;K;in_sample_1_1x;6,560957322447258;0,4969985158054489;-13,559683397753819;39,0
1;28;3;50;2;3;3;6;0,02;0,1;K;in_sample_1_1x;1,398364088437809;0,08969256846885608;-26,368683793641058;35,0
2;28;3;50;2;3;3;6;0,05;0,05;K;in_sample_1_1x;1,0067004012734415;0,06934192541631908;-23,016103233845175;36,0
3;28;3;50;2;3;3;6;0,05;0,1;K;in_sample_1_1x;-3,4996505266409406;-0,2125030159463022;-38,1645967176221;31,0
4;28;3;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;7,00011277591881;0,4740845039236392;-13,151944873596733;42,0
5;28;3;100;2;3;3;6;0,02;0,1;K;in_sample_1_1x;5,499309484686843;0,3777009292829859;-20,90520231009233;34,0
6;28;3;100;2;3;3;6;0,05;0,05;K;in_sample_1_1x;2,331690274853093;0,15041635280095547;-18,1018079834546;37,0
7;28;3;100;2;3;3;6;0,05;0,1;K;in_sample_1_1x;1,8803947534314691;0,12035174011649205;-35,89096370921219;29,0
8;28;4;50;2;3;3;6;0,02;0,05;K;in_sample_1_1x;2,771504072515163;0,2741877933872567;-11,301639900689075;28,0
9;28;4;50;2;3;3;6;0,02;0,1;K;in_sample_1_1x;2,763708041412838;0,226928382978868;-16,948319651943155;27,0
10;28;4;50;2;3;3;6;0,05;0,05;K;in_sample_1_1x;-0,016596017093672977;-0,0013481547362443138;-23,786215745342076;25,0
11;28;4;50;2;3;3;6;0,05;0,1;K;in_sample_1_1x;2,4132952896143367;0,17190623013033396;-20,118182015944186;24,0
12;28;4;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;2,901202907606115;0,26269761010148684;-15,156957798539594;31,0
13;28;4;100;2;3;3;6;0,02;0,1;K;in_sample_1_1x;6,245386251979257;0,5015472895180989;-15,355384546743888;27,0
14;28;4;100;2;3;3;6;0,05;0,05;K;in_sample_1_1x;-0,2659341196741605;-0,022038843918041028;-23,54549374242846;25,0
15;28;4;100;2;3;3;6;0,05;0,1;K;in_sample_1_1x;5,569613845268129;0,42847266011590635;-22,00473599950781;21,0
16;28;5;50;2;3;3;6;0,02;0,05;K;in_sample_1_1x;1,5649102689863081;0,1926699886012223;-13,843222430571156;21,0
17;28;5;50;2;3;3;6;0,02;0,1;K;in_sample_1_1x;4,6590607300654785;0,4742698406419147;-13,742395388201167;19,0
18;28;5;50;2;3;3;6;0,05;0,05;K;in_sample_1_1x;-0,5456207132279678;-0,05284329886224744;-17,098421324054524;19,0
19;28;5;50;2;3;3;6;0,05;0,1;K;in_sample_1_1x;3,1215557038697606;0,2631542912805692;-15,396081651911652;17,0
20;28;5;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;3,1704480539595625;0,2913988960657315;-19,147945929716858;30,0
21;28;5;100;2;3;3;6;0,02;0,1;K;in_sample_1_1x;5,240564103748069;0,4078270492176435;-19,147940876048718;26,0
22;28;5;100;2;3;3;6;0,05;0,05;K;in_sample_1_1x;0,9512448649989347;0,0796340005553414;-22,703290408666675;25,0
23;28;5;100;2;3;3;6;0,05;0,1;K;in_sample_1_1x;5,627458944422514;0,4200693097763012;-22,249106335343292;21,0
24;35;3;50;2;3;3;6;0,02;0,05;K;in_sample_1_1x;15,958813389249272;0,9493522446662576;-18,9526327991393;47,0
25;35;3;50;2;3;3;6;0,02;0,1;K;in_sample_1_1x;20,7230150782715;1,02674245287007;-16,386744984566093;43,0
26;35;3;50;2;3;3;6;0,05;0,05;K;in_sample_1_1x;15,748621288409769;0,8639164650287511;-25,256567227489136;43,0
27;35;3;50;2;3;3;6;0,05;0,1;K;in_sample_1_1x;16,667263989460103;0,7948966211725309;-22,999336552547213;38,0
28;35;3;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;12,156041741803115;0,7619999806060671;-10,056531118487854;45,0
29;35;3;100;2;3;3;6;0,02;0,1;K;in_sample_1_1x;17,369677898816317;0,8892278477592849;-14,507869635834258;41,0
30;35;3;100;2;3;3;6;0,05;0,05;K;in_sample_1_1x;8,54632734282772;0,4943157839939137;-17,949166589689515;41,0
31;35;3;100;2;3;3;6;0,05;0,1;K;in_sample_1_1x;12,347530700842624;0,5973070501860077;-23,949267293264796;37,0
32;35;4;50;2;3;3;6;0,02;0,05;K;in_sample_1_1x;5,621524228562436;0,4569725896985994;-12,665326731938508;30,0
33;35;4;50;2;3;3;6;0,02;0,1;K;in_sample_1_1x;15,655553990921135;1,0577916449828113;-12,665347191602327;29,0
34;35;4;50;2;3;3;6;0,05;0,05;K;in_sample_1_1x;3,3898703535894414;0,2530831252296995;-20,503992400060067;26,0
35;35;4;50;2;3;3;6;0,05;0,1;K;in_sample_1_1x;7,150136255586159;0,3993718586118884;-18,020306650780427;24,0
36;35;4;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;12,224926444672658;0,9842946378319625;-8,763164219318886;33,0
37;35;4;100;2;3;3;6;0,02;0,1;K;in_sample_1_1x;15,07212886462046;0,9267708266377239;-11,62985486858914;29,0
38;35;4;100;2;3;3;6;0,05;0,05;K;in_sample_1_1x;7,959447882881943;0,5967490914028278;-14,79051534601532;30,0
39;35;4;100;2;3;3;6;0,05;0,1;K;in_sample_1_1x;12,357701256687005;0,7439260568233318;-12,59213285471773;25,0
40;35;5;50;2;3;3;6;0,02;0,05;K;in_sample_1_1x;4,1843766282412265;0,4514980826337209;-9,40178592998141;20,0
41;35;5;50;2;3;3;6;0,02;0,1;K;in_sample_1_1x;8,439925952061289;0,7357848641107245;-14,859100514908041;18,0
42;35;5;50;2;3;3;6;0,05;0,05;K;in_sample_1_1x;1,1586504679721665;0,11130216869654379;-22,373665421159306;19,0
43;35;5;50;2;3;3;6;0,05;0,1;K;in_sample_1_1x;3,6996600133764934;0,26971789259293555;-26,131944611561376;16,0
44;35;5;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;12,68677253817967;1,0727845718094673;-8,763153296187653;28,0
45;35;5;100;2;3;3;6;0,02;0,1;K;in_sample_1_1x;14,288295002329331;0,9901312593353111;-11,629851717833994;24,0
46;35;5;100;2;3;3;6;0,05;0,05;K;in_sample_1_1x;10,954328989286521;0,86146944735907;-12,592137377943935;26,0
47;35;5;100;2;3;3;6;0,05;0,1;K;in_sample_1_1x;13,047642739980914;0,8753695823137274;-12,59213285471773;21,0
48;28;3;50;2;3;4;6;0,02;0,05;K;in_sample_1_1x;7,878957146726351;0,5992595377063935;-13,123631891112975;38,0
49;28;3;50;2;3;4;6;0,02;0,1;K;in_sample_1_1x;2,6668934011375933;0,170800263401066;-25,059008820439686;34,0
50;28;3;50;2;3;4;6;0,05;0,05;K;in_sample_1_1x;2,322060458610564;0,16050918822179305;-24,69936168092728;35,0
51;28;3;50;2;3;4;6;0,05;0,1;K;in_sample_1_1x;-2,242973218875921;-0,13602237536375802;-38,74983017283623;30,0
52;28;3;100;2;3;4;6;0,02;0,05;K;in_sample_1_1x;5,19661644216014;0,35737294701201056;-15,816895827621124;41,0
53;28;3;100;2;3;4;6;0,02;0,1;K;in_sample_1_1x;3,9831808982198957;0,27397884445082776;-21,854376668652097;34,0
54;28;3;100;2;3;4;6;0,05;0,05;K;in_sample_1_1x;-0,6745343572783558;-0,0445762691369784;-22,763929880817248;37,0
55;28;3;100;2;3;4;6;0,05;0,1;K;in_sample_1_1x;-0,10024638571465294;-0,006419888311174188;-40,01953406568983;30,0
56;28;4;50;2;3;4;6;0,02;0,05;K;in_sample_1_1x;3,5756579601134764;0,3674088372684313;-11,115651963381124;27,0
57;28;4;50;2;3;4;6;0,02;0,1;K;in_sample_1_1x;3,5677983945469727;0,2998823568292326;-16,014267327557807;26,0
58;28;4;50;2;3;4;6;0,05;0,05;K;in_sample_1_1x;1,2311722230216038;0,10250536376147837;-23,786215745342076;24,0
59;28;4;50;2;3;4;6;0,05;0,1;K;in_sample_1_1x;3,691386440210098;0,2675722206261043;-20,118182015944186;23,0
60;28;4;100;2;3;4;6;0,02;0,05;K;in_sample_1_1x;2,248152434183881;0,20344192444452538;-16,50415425016549;31,0
61;28;4;100;2;3;4;6;0,02;0,1;K;in_sample_1_1x;5,571110154861247;0,4475940625044291;-16,61327931486326;27,0
62;28;4;100;2;3;4;6;0,05;0,05;K;in_sample_1_1x;-1,1083201473480075;-0,09253172621708113;-27,37728369602179;25,0
63;28;4;100;2;3;4;6;0,05;0,1;K;in_sample_1_1x;4,677938430863171;0,3625126186344057;-25,238934321860896;21,0
64;28;5;50;2;3;4;6;0,02;0,05;K;in_sample_1_1x;3,131092374636979;0,38993232556994994;-13,111916391138855;21,0
65;28;5;50;2;3;4;6;0,02;0,1;K;in_sample_1_1x;3,1939390303401094;0,30386941520618316;-13,742397959362673;19,0
66;28;5;50;2;3;4;6;0,05;0,05;K;in_sample_1_1x;2,795278249144495;0,26208974001453483;-14,514741304951151;19,0
67;28;5;50;2;3;4;6;0,05;0,1;K;in_sample_1_1x;6,0717226491439735;0,4460187980435923;-15,031779470458806;17,0
68;28;5;100;2;3;4;6;0,02;0,05;K;in_sample_1_1x;1,6265792193485673;0,15866883438599702;-20,775772049806342;28,0
69;28;5;100;2;3;4;6;0,02;0,1;K;in_sample_1_1x;3,219990085792035;0,26059506001535926;-20,349486681181016;25,0
70;28;5;100;2;3;4;6;0,05;0,05;K;in_sample_1_1x;-1,3100244446160203;-0,1111524820876786;-26,577260317206864;24,0
71;28;5;100;2;3;4;6;0,05;0,1;K;in_sample_1_1x;4,42514136920249;0,32709136273088457;-25,473179488059984;20,0
72;35;3;50;2;3;4;6;0,02;0,05;K;in_sample_1_1x;17,34814204205488;1,004800692085617;-18,928076742234946;47,0
73;35;3;50;2;3;4;6;0,02;0,1;K;in_sample_1_1x;22,03791586129482;1,0730014593151385;-16,386743498223343;43,0
74;35;3;50;2;3;4;6;0,05;0,05;K;in_sample_1_1x;18,414661184724302;0,9871820759690731;-25,233907942928578;42,0
