;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;28;3;50;2;3;4;6;0,02;0,05;NEE;11,401819389498726;1,084659120044393;-9,958136032099574;25,2;9,809535872596646;10,0;10,0;8,510638297872338;9,705606559380325
1;28;3;50;2;3;4;6;0,02;0,07;NEE;10,75157121273882;0,9337621970379205;-11,847916718186152;23,6;8,867732804016443;7,88001137138958;8,636936335996351;6,808510638297874;8,258381161303246
2;28;3;50;2;3;4;6;0,02;0,09;NEE;11,1266584049604;0,9233019263393455;-11,767744637680503;22,4;9,410999638503627;7,733052410985765;8,694762966678626;5,531914893617019;8,275111656825437
3;28;3;50;2;3;4;6;0,02;0,11;NEE;10,011446222661379;0,8294139565899947;-12,050363743387846;21,4;7,79575442452888;6,413996831413708;8,490915061692027;4,4680851063829765;7,024893872069867
4;28;3;50;2;3;4;6;0,02;0,13;NEE;9,055507115248437;0,7485556132021894;-14,232543730904183;21,2;6,411196317463626;5,277997732856402;6,916949219412705;4,255319148936169;5,851693255207508
5;28;3;50;2;3;4;6;0,03;0,05;NEE;10,392696188896648;0,9495301519435779;-11,590030303669929;24,4;8,34794726555403;8,10153931530267;8,822945010788755;7,659574468085105;8,24706284373447
6;28;3;50;2;3;4;6;0,03;0,07;NEE;9,21431655467956;0,7693417673758838;-13,75723454071419;22,4;6,641211906466897;5,570027613935454;7,259780898816003;5,531914893617019;6,265055248529232
7;28;3;50;2;3;4;6;0,03;0,09;NEE;9,862477949153575;0,8243632204005806;-14,262765755973257;21,0;7,5799925321852015;6,343037774897958;6,8951506347792835;4,042553191489361;6,623393853231453
8;28;3;50;2;3;4;6;0,03;0,11;NEE;8,897098350601159;0,7414435677886815;-14,59904977131065;20,2;6,181761055717568;5,178078827272415;6,652595228500438;3,1914893617021267;5,535075058842871
9;28;3;50;2;3;4;6;0,03;0,13;NEE;7,8896754247322916;0,6501493189937626;-15,714551941442267;20,0;4,722635083740146;3,895463082387698;5,848004258543851;2,9787234042553195;4,397937011256429
10;28;3;50;2;3;4;6;0,04;0,05;NEE;11,169438550158372;1,0028919373274365;-11,599231886891598;23,6;9,47296132246023;8,851232390298492;8,816308079935824;6,808510638297874;8,820881066601626
11;28;3;50;2;3;4;6;0,04;0,07;NEE;10,5389008148502;0,8660548108343432;-13,248194644740199;21,2;8,559706360442684;6,928773360934185;7,626941909000313;4,255319148936169;7,345560980161844
12;28;3;50;2;3;4;6;0,04;0,09;NEE;10,888311045466397;0,8744102148212181;-13,699466212608902;19,6;9,065783330973208;7,046160522227468;7,301448119541822;2,553191489361704;7,306330092325441
13;28;3;50;2;3;4;6;0,04;0,11;NEE;10,336306299354977;0,8179308138455808;-13,669915583399234;18,6;8,26627357094734;6,252667285695775;7,322762438828022;1,4893617021276615;6,588039917884179
14;28;3;50;2;3;4;6;0,04;0,13;NEE;8,436836413910527;0,6723120920673387;-15,887093884810994;18,4;5,515129268319328;4,206833426847532;5,723552963611041;1,27659574468085;4,565600480992134
15;28;3;50;2;3;4;6;0,05;0,05;NEE;11,390560111799912;0,9925950820966587;-12,858192349041033;22,8;9,793228218587405;8,706569294691429;7,908243311887645;5,957446808510639;8,665501909363337
16;28;3;50;2;3;4;6;0,05;0,07;NEE;9,452626924756634;0,7769176965108802;-14,584511216752938;20,8;6,9863746394582185;5,676463737995199;6,663081617524652;3,829787234042554;6,114988606561752
17;28;3;50;2;3;4;6;0,05;0,09;NEE;10,414872297782717;0,8344741331658504;-15,076271465454578;19,2;8,380066582677127;6,485088518280739;6,308384095562628;2,1276595744680846;6,649488636374796
18;28;3;50;2;3;4;6;0,05;0,11;NEE;10,381545063557898;0,8176640045886876;-14,408676449019003;18,2;8,331796256696936;6,248918815684911;6,789907965434353;1,0638297872340423;6,478137736304147
19;28;3;50;2;3;4;6;0,05;0,13;NEE;9,505129523463557;0,737715628092705;-14,57744064737916;18,0;7,062418080005799;5,1257040696819205;6,668181487720264;0,8510638297872346;5,56541538526982
20;28;3;60;2;3;4;6;0,02;0,05;NEE;8,903327825438664;0,878309295989874;-13,619670495555656;25,2;6,190783670047439;7,1009396891905;7,359003286265233;8,510638297872338;6,9491245675229845
21;28;3;60;2;3;4;6;0,02;0,07;NEE;10,995651447102276;0,9282171440292515;-14,544194370994855;22,6;9,22125246300067;7,802107534192608;6,692161408584368;5,744680851063831;7,957830673862205
22;28;3;60;2;3;4;6;0,02;0,09;NEE;9,638073945653854;0,8002439279099672;-19,04886075225753;21,2;7,254971430010308;6,004179799589634;3,4430293225362307;4,255319148936169;5,924517480097513
23;28;3;60;2;3;4;6;0,02;0,11;NEE;7,574877002283786;0,62681049970258;-20,31936948110802;20,6;4,266688983708744;3,567570170347481;2,52663500448348;3,617021276595746;3,7255519389857743
24;28;3;60;2;3;4;6;0,02;0,13;NEE;5,496696212793217;0,44822685943961504;-21,68971670477371;20,0;1,256704312380208;1,0586039232550832;1,538229036849726;2,9787234042553195;1,486324746393691
25;28;3;60;2;3;4;6;0,03;0,05;NEE;7,696231007674941;0,7298517567210902;-15,792812761751264;23,8;4,442455066178035;5,015222573091275;5,791556184297089;7,0212765957446805;5,167234732108347
26;28;3;60;2;3;4;6;0,03;0,07;NEE;9,702882610868665;0,7994488484503501;-17,00541260394028;21,4;7,348838667092055;5,993009529317407;4,91693046924272;4,4680851063829765;6,202507233648098
27;28;3;60;2;3;4;6;0,03;0,09;NEE;8,842628204735865;0,7261758335644024;-21,3466540517466;20,2;6,10286786946126;4,96357860887678;1,7856737484296172;3,1914893617021267;4,744703419467013
28;28;3;60;2;3;4;6;0,03;0,11;NEE;6,7726669773089085;0,5513339445287622;-22,57049945207894;19,6;3,10478820463727;2,507181161034697;0,9029368214237986;2,553191489361704;2,540693606680958
29;28;3;60;2;3;4;6;0,03;0,13;NEE;4,629031076510055;0,37287736343478217;-23,583095610358278;19,0;0,0;0,0;0,17257004403944207;1,914893617021277;0,2982090944372456
30;28;3;60;2;3;4;6;0,04;0,05;NEE;8,217272751908634;0,7546038021243879;-17,07471505579432;22,4;5,197118794760643;5,362970252396766;4,866943899560803;5,531914893617019;5,245165097464755
31;28;3;60;2;3;4;6;0,04;0,07;NEE;10,079468012181746;0,8195975113428451;-18,076911625327593;20,0;7,894275469862396;6,276083135874392;4,1440781521344245;2,9787234042553195;6,193970605389388
32;28;3;60;2;3;4;6;0,04;0,09;NEE;9,533285302241742;0,7521149341667338;-21,996927504507465;19,0;7,103198200272636;5,3280035236973795;1,316643600301667;1,914893617021277;5,0281626950765155
33;28;3;60;2;3;4;6;0,04;0,11;NEE;7,775684030170029;0,6105223710302299;-22,811085198770236;18,2;4,557532821207982;3,3387341750287134;0,7294067965873259;1,0638297872340423;3,163329056786106
34;28;3;60;2;3;4;6;0,04;0,13;NEE;5,498129051995962;0,43901718039408066;-23,82235041909183;17,4;1,2587796005642538;0,9292148379067552;0,0;0,2127659574468077;0,8353620621361542
35;28;3;60;2;3;4;6;0,05;0,05;NEE;7,65266803815571;0,6871683920847148;-16,70224646209091;21,8;4,37935955920697;4,4155533031216905;5,1355985692786;4,893617021276596;4,57120012491707
36;28;3;60;2;3;4;6;0,05;0,07;NEE;8,552417316400302;0,6873378359718155;-16,948343067917;19,6;5,682533734067383;4,417933862689667;4,9580936642354505;2,553191489361704;4,770679154454091
37;28;3;60;2;3;4;6;0,05;0,09;NEE;8,8592311508555;0,6917013816331747;-21,233872174061652;18,6;6,126915158114739;4,479238407528577;1,867021219362239;1,4893617021276615;4,385086458698753
38;28;3;60;2;3;4;6;0,05;0,11;NEE;5,667258849540222;0,4444873277854099;-23,5363247654112;18,0;1,5037429361159758;1,0060663073429046;0,20630498468704042;0,8510638297872346;1,0829614625011446
39;28;3;60;2;3;4;6;0,05;0,13;NEE;4,854498456917056;0,38497255103685935;-23,763851071328;17,2;0,3265612704831294;0,16992831706855607;0,042194491610514105;0,0;0,19453356245671635
40;28;3;70;2;3;4;6;0,02;0,05;NEE;10,740831452923901;1,0275763138587675;-10,890355110745173;25,0;8,852177606614882;9,198029372689676;9,327607715356574;8,29787234042553;8,939724517286587
41;28;3;70;2;3;4;6;0,02;0,07;NEE;11,533321351760225;0,9877734931040433;-11,683745563424324;23,8;10,0;8,63882958448051;8,755349936781302;7,0212765957446805;9,00775510021243
42;28;3;70;2;3;4;6;0,02;0,09;NEE;9,805929382326969;0,8431229464122483;-15,87409669550397;21,4;7,498089013398751;6,606597859677662;5,73292759454521;4,4680851063829765;6,558353637211395
43;28;3;70;2;3;4;6;0,02;0,11;NEE;8,894586373311487;0,7627160582918688;-17,37418076997888;20,4;6,178122771129974;5,4769413691351545;4,650944849181486;3,4042553191489344;5,363350174284379
44;28;3;70;2;3;4;6;0,02;0,13;NEE;7,233076912082569;0,6150366789399729;-18,121390159614585;20,4;3,77163434872842;3,4021568164187626;4,111996612535092;3,4042553191489344;3,662209801529545
45;28;3;70;2;3;4;6;0,03;0,05;NEE;9,492139618445531;0,8679919243280706;-12,262528791223492;23,4;7,043603829010891;6,955988353110358;8,337884358391086;6,595744680851062;7,139488176070791
46;28;3;70;2;3;4;6;0,03;0,07;NEE;10,250432703558001;0,8676363521042255;-13,902932123595235;22,4;8,141896419388681;6,950992829966596;7,154691941869592;5,531914893617019;7,28775453622655
47;28;3;70;2;3;4;6;0,03;0,09;NEE;8,8712082661532;0,7514047265723509;-17,826423516076137;20,2;6,144262510007857;5,318025639496388;4,324750566928061;3,1914893617021267;5,22643981966379
48;28;3;70;2;3;4;6;0,03;0,11;NEE;8,189899173656153;0,7050224761944144;-19,54570182249163;19,4;5,157471594018508;4,666389798211744;3,0846670984925453;2,3404255319148923;4,318612429840922
49;28;3;70;2;3;4;6;0,03;0,13;NEE;6,546613699529098;0,5629508788347564;-20,17288723524717;19,4;2,7773783351679286;2,670390377878473;2,6322899242445894;2,3404255319148923;2,663661602488602
50;28;3;70;2;3;4;6;0,04;0,05;NEE;9,571215680813493;0,8670841529292174;-13,311981179232486;22,6;7,158135604494646;6,943234845586126;7,580933867930107;5,744680851063831;6,955213031950018
51;28;3;70;2;3;4;6;0,04;0,07;NEE;10,163528978180851;0,863706024903413;-15,35452601717123;21,2;8,016027254112313;6,89577467967944;6,107684262200475;4,255319148936169;6,886090647547493
52;28;3;70;2;3;4;6;0,04;0,09;NEE;9,566064419870655;0,7776047698703021;-18,016805654291012;19,2;7,150674647991551;5,686116603540597;4,1874314712326735;2,1276595744680846;5,591335456679515
53;28;3;70;2;3;4;6;0,04;0,11;NEE;8,919670197183029;0,7306349336592229;-19,554374495939044;18,6;6,214453549344008;5,026225621860933;3,078411660423475;1,4893617021276615;4,751940750615004
54;28;3;70;2;3;4;6;0,04;0,13;NEE;7,190346175377975;0,5913712912686726;-20,264040810958384;18,6;3,709744226788196;3,069675863492625;2,5665425452970045;1,4893617021276615;3,0463555221106438
55;28;3;70;2;3;4;6;0,05;0,05;NEE;9,14207374145506;0,8268157580953218;-13,545109198289902;22,6;6,536577236798578;6,377494090643155;7,4127829633421465;5,744680851063831;6,503169100869718
56;28;3;70;2;3;4;6;0,05;0,07;NEE;9,38228362058834;0,797875046851846;-16,102701603504308;21,2;6,884491170826471;5,970898796864798;5,568039125844941;4,255319148936169;6,059804197284302
57;28;3;70;2;3;4;6;0,05;0,09;NEE;8,39425767536015;0,6819987350775171;-19,8937037885231;19,2;5,453459296674292;4,34292349828064;2,8336597523006284;2,1276595744680846;4,286792030478981
58;28;3;70;2;3;4;6;0,05;0,11;NEE;7,535362194156481;0,6215545185248932;-21,62814384654224;18,6;4,209456731656779;3,4937275756352713;1,5826403944014653;1,4893617021276615;3,2411182061100012
59;28;3;70;2;3;4;6;0,05;0,13;NEE;5,5534160404695605;0,4682129402082806;-21,964069136774356;18,2;1,3388558810644902;1,3393933728732372;1,3403437298697278;1,0638297872340423;1,299932558006245
60;28;3;80;2;3;4;6;0,02;0,05;NEE;9,66495976559159;0,9184487785711409;-14,72373008799849;26,6;7,293912173904165;7,664869323639985;6,562665634794199;10,0;7,682020114826666
61;28;3;80;2;3;4;6;0,02;0,07;NEE;10,513687840944836;0,8858983031959035;-14,549441245077588;24,8;8,523188524575115;7,207559550342573;6,688376935886329;8,085106382978722;7,822595427610792
62;28;3;80;2;3;4;6;0,02;0,09;NEE;9,219802011823543;0,7562643416473398;-19,583762276173463;23,2;6,649156904323733;5,386299587653424;3,0572148010745663;6,382978723404253;5,737180487536695
63;28;3;80;2;3;4;6;0,02;0,11;NEE;8,095466563064992;0,6652401748762815;-19,6420481479425;22,0;5,020697781176841;4,107478292701606;3,0151742857290142;5,106382978723404;4,485515313340879
64;28;3;80;2;3;4;6;0,02;0,13;NEE;7,2171016520346765;0,5734397963832888;-20,323785638096286;21,6;3,748496184759331;2,8177518050453294;2,5234497125765616;4,680851063829788;3,440756134396429
65;28;3;80;2;3;4;6;0,03;0,05;NEE;8,850572051913797;0,8155974911562428;-16,266141504227654;25,8;6,11437353747526;6,21988585139136;5,450152964998575;9,148936170212766;6,483140207202834
66;28;3;80;2;3;4;6;0,03;0,07;NEE;8,779836885751925;0,7523399590242554;-17,1423536112749;24,2;6,011922505809577;5,331164954226218;4,8181574673890415;7,446808510638296;5,851866200558358
67;28;3;80;2;3;4;6;0,03;0,09;NEE;8,156791722522861;0,6739501012631255;-21,66844232974898;22,6;5,109519596328069;4,229846227900331;1,5535738479085395;5,744680851063831;4,440929420536748
68;28;3;80;2;3;4;6;0,03;0,11;NEE;6,993753832527401;0,5843126443367375;-22,078065250570113;21,4;3,425004832856137;2,9705071665375753;1,258120453011927;4,4680851063829765;3,134604913005495
69;28;3;80;2;3;4;6;0,03;0,13;NEE;6,000986007451825;0,48489735527508193;-22,730726559281194;21,0;1,9871049394603544;1,5737968949060759;0,7873679887948238;4,042553191489361;1,9912613983539142
70;28;3;80;2;3;4;6;0,04;0,05;NEE;9,581878700117615;0,8636581911315396;-16,189691313226877;24,6;7,173579652874746;6,895102651049468;5,505295065998186;7,872340425531916;6,955511393179039
71;28;3;80;2;3;4;6;0,04;0,07;NEE;9,504342378134009;0,8061245616877439;-18,179881032831837;22,8;7,0612779985518515;6,086798294980519;4,069808233457422;5,957446808510639;6,197812232512093
72;28;3;80;2;3;4;6;0,04;0,09;NEE;8,832327273434366;0,7033746350317998;-22,401227697931738;21,2;6,0879482602171;4,643238865396836;1,0250293896879032;4,255319148936169;4,690095864295578
73;28;3;80;2;3;4;6;0,04;0,11;NEE;7,521572420735135;0,6113710774340483;-22,702752056831216;20,2;4,1894839714285785;3,3506578636585114;0,8075454771610058;3,1914893617021267;3,3241146400665564
74;28;3;80;2;3;4;6;0,04;0,13;NEE;6,384036587512196;0,5062088414420737;-23,22967076891144;20,0;2,54190574416217;1,8732072966070625;0,4274888094174715;2,9787234042553195;2,1111920056247753
75;28;3;80;2;3;4;6;0,05;0,05;NEE;10,112597022360209;0,8903798189505008;-14,387565843946064;24,4;7,9422586931304275;7,2705214865397565;6,805134652272625;7,659574468085105;7,547504024689789
76;28;3;80;2;3;4;6;0,05;0,07;NEE;10,445042021226076;0,8507724205754246;-16,327335279418843;22,4;8,423763649632015;6,714067236240679;5,406015032993858;5,531914893617019;7,091050763998325
77;28;3;80;2;3;4;6;0,05;0,09;NEE;9,151634338192173;0,7090933475842116;-22,736906818740913;20,8;6,550424564121104;4,723582488976787;0,7829102825828392;3,829787234042554;4,8158765981346106
78;28;3;80;2;3;4;6;0,05;0,11;NEE;7,559281098501524;0,5945144897586566;-23,500066715986975;19,6;4,244100269792457;3,113835445566712;0,2324572414339101;2,553191489361704;3,106517204472344
79;28;3;80;2;3;4;6;0,05;0,13;NEE;6,5468155192066675;0,5030021418863042;-22,560046766457198;19,2;2,777670645701703;1,8281555721705758;0,9104761491707427;2,1276595744680846;2,1467798292978695
