;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;3;50;2;3;4;6;0,02;0,05;NEM;in_sample_1_2x;21,441453646078124;1,0645313686351776;-11,789109474712511;54,0
1;28;3;50;2;3;4;6;0,02;0,07;NEM;in_sample_1_2x;25,853749965961903;1,1001257385227794;-19,716511659053015;49,0
2;28;3;50;2;3;4;6;0,02;0,09;NEM;in_sample_1_2x;23,625046287873452;0,9117323696202534;-33,60419291094425;47,0
3;28;3;50;2;3;4;6;0,02;0,11;NEM;in_sample_1_2x;17,215697912073647;0,6345479477624231;-33,60419291094425;43,0
4;28;3;50;2;3;4;6;0,02;0,13;NEM;in_sample_1_2x;18,757512246620166;0,6692675523350547;-33,60419291094425;40,0
5;28;3;50;2;3;4;6;0,03;0,05;NEM;in_sample_1_2x;25,582467493058015;1,188895460616866;-11,74372887018148;48,0
6;28;3;50;2;3;4;6;0,03;0,07;NEM;in_sample_1_2x;30,364158832552725;1,200798886774969;-19,716511659053015;43,0
7;28;3;50;2;3;4;6;0,03;0,09;NEM;in_sample_1_2x;28,660356951045497;1,0382216545563578;-33,60419291094425;43,0
8;28;3;50;2;3;4;6;0,03;0,11;NEM;in_sample_1_2x;23,310851650823693;0,8025917756706697;-33,60419291094425;38,0
9;28;3;50;2;3;4;6;0,03;0,13;NEM;in_sample_1_2x;21,11931040301713;0,7236921743330151;-33,60419291094425;36,0
10;28;3;50;2;3;4;6;0,04;0,05;NEM;in_sample_1_2x;25,854536055185996;1,1902410206463592;-17,685898963274717;47,0
11;28;3;50;2;3;4;6;0,04;0,07;NEM;in_sample_1_2x;32,14470580257471;1,2497429775027664;-22,95965892575159;42,0
12;28;3;50;2;3;4;6;0,04;0,09;NEM;in_sample_1_2x;30,978919001007398;1,0987438784374448;-28,808642162644695;42,0
13;28;3;50;2;3;4;6;0,04;0,11;NEM;in_sample_1_2x;27,78600097567656;0,9145843742785298;-28,808642162644695;37,0
14;28;3;50;2;3;4;6;0,04;0,13;NEM;in_sample_1_2x;25,691309416904097;0,8404524974799622;-28,808642162644695;35,0
15;28;3;50;2;3;4;6;0,05;0,05;NEM;in_sample_1_2x;27,440121986713486;1,2278825768241342;-16,422000992975438;46,0
16;28;3;50;2;3;4;6;0,05;0,07;NEM;in_sample_1_2x;31,16993527156793;1,1889987175792516;-21,77673232798846;41,0
17;28;3;50;2;3;4;6;0,05;0,09;NEM;in_sample_1_2x;30,012743185089107;1,0491629134512686;-28,808642162644695;41,0
18;28;3;50;2;3;4;6;0,05;0,11;NEM;in_sample_1_2x;26,75335319925296;0,8730233015211143;-28,808642162644695;37,0
19;28;3;50;2;3;4;6;0,05;0,13;NEM;in_sample_1_2x;23,390361889473144;0,7608692502847878;-28,808642162644695;35,0
20;28;3;60;2;3;4;6;0,02;0,05;NEM;in_sample_1_2x;23,099909855977163;1,0170438815773815;-19,670631191237177;56,0
21;28;3;60;2;3;4;6;0,02;0,07;NEM;in_sample_1_2x;27,73663149481149;1,0674014414653084;-19,716489309245276;51,0
22;28;3;60;2;3;4;6;0,02;0,09;NEM;in_sample_1_2x;30,970459611661294;1,1207488097999803;-19,71648992524796;50,0
23;28;3;60;2;3;4;6;0,02;0,11;NEM;in_sample_1_2x;26,914510755056533;0,9752435416293168;-19,71648992524796;43,0
24;28;3;60;2;3;4;6;0,02;0,13;NEM;in_sample_1_2x;25,640150376523184;0,9066116870366876;-22,513901806292445;41,0
25;28;3;60;2;3;4;6;0,03;0,05;NEM;in_sample_1_2x;30,97087403406844;1,2035056827008688;-15,515686293407615;52,0
26;28;3;60;2;3;4;6;0,03;0,07;NEM;in_sample_1_2x;33,37346173980056;1,1998549500964937;-19,716489309245276;46,0
27;28;3;60;2;3;4;6;0,03;0,09;NEM;in_sample_1_2x;34,67646478787869;1,1843332545172298;-19,71648992524796;45,0
28;28;3;60;2;3;4;6;0,03;0,11;NEM;in_sample_1_2x;33,950280180152895;1,1377270430934925;-19,71648992524796;39,0
29;28;3;60;2;3;4;6;0,03;0,13;NEM;in_sample_1_2x;27,747395846910017;0,9531379575651341;-19,716484915609655;36,0
30;28;3;60;2;3;4;6;0,04;0,05;NEM;in_sample_1_2x;30,647898100161154;1,178709336361267;-19,23622440681596;51,0
31;28;3;60;2;3;4;6;0,04;0,07;NEM;in_sample_1_2x;34,52685342328701;1,2192632081324888;-19,236220277302753;45,0
32;28;3;60;2;3;4;6;0,04;0,09;NEM;in_sample_1_2x;36,425748863232734;1,2171441589005343;-19,236224521363354;44,0
33;28;3;60;2;3;4;6;0,04;0,11;NEM;in_sample_1_2x;37,84709325993032;1,2091942429519926;-19,236220072371434;38,0
34;28;3;60;2;3;4;6;0,04;0,13;NEM;in_sample_1_2x;31,737878576211532;1,0378034219291354;-22,562851776910243;35,0
35;28;3;60;2;3;4;6;0,05;0,05;NEM;in_sample_1_2x;31,910456780924502;1,180943736170832;-20,30878348296252;51,0
36;28;3;60;2;3;4;6;0,05;0,07;NEM;in_sample_1_2x;33,01949782896618;1,136201925136786;-20,308783105988258;45,0
37;28;3;60;2;3;4;6;0,05;0,09;NEM;in_sample_1_2x;35,030047824296105;1,140611319571429;-20,3087843322186;44,0
38;28;3;60;2;3;4;6;0,05;0,11;NEM;in_sample_1_2x;35,58435443075763;1,1291154174117755;-20,308781966465595;38,0
39;28;3;60;2;3;4;6;0,05;0,13;NEM;in_sample_1_2x;29,715028503456352;0,9623324980490219;-22,562850678623658;35,0
40;28;3;70;2;3;4;6;0,02;0,05;NEM;in_sample_1_2x;24,376174438858754;1,022030797094372;-17,107636782904713;58,0
41;28;3;70;2;3;4;6;0,02;0,07;NEM;in_sample_1_2x;26,48057505356851;1,0378816400869082;-21,164067151806588;51,0
42;28;3;70;2;3;4;6;0,02;0,09;NEM;in_sample_1_2x;23,149507410247594;0,8305146537319105;-37,50362994944304;50,0
43;28;3;70;2;3;4;6;0,02;0,11;NEM;in_sample_1_2x;13,715129471245536;0,5013618776620348;-37,50362994944304;47,0
44;28;3;70;2;3;4;6;0,02;0,13;NEM;in_sample_1_2x;17,312698777824686;0,599300886378004;-37,50362994944304;44,0
45;28;3;70;2;3;4;6;0,03;0,05;NEM;in_sample_1_2x;28,20175546445323;1,0947766523500713;-19,007257627980813;53,0
46;28;3;70;2;3;4;6;0,03;0,07;NEM;in_sample_1_2x;29,75813840911008;1,1122952700278221;-21,16406634026505;47,0
47;28;3;70;2;3;4;6;0,03;0,09;NEM;in_sample_1_2x;26,705485227963077;0,9188160121378804;-35,2777282976262;46,0
48;28;3;70;2;3;4;6;0,03;0,11;NEM;in_sample_1_2x;17,535533867071607;0,6124496849173777;-35,2777282976262;43,0
49;28;3;70;2;3;4;6;0,03;0,13;NEM;in_sample_1_2x;15,69066133478878;0,5492432752362988;-35,2777282976262;40,0
50;28;3;70;2;3;4;6;0,04;0,05;NEM;in_sample_1_2x;26,157824924727734;1,0096756902560322;-17,69824071691203;51,0
51;28;3;70;2;3;4;6;0,04;0,07;NEM;in_sample_1_2x;27,45143745871852;1,0053242997601093;-25,929138749574353;45,0
52;28;3;70;2;3;4;6;0,04;0,09;NEM;in_sample_1_2x;24,98865870760185;0,8442226285452675;-34,45843355732787;44,0
53;28;3;70;2;3;4;6;0,04;0,11;NEM;in_sample_1_2x;16,105943535383773;0,5533211944039214;-34,45843355732787;41,0
54;28;3;70;2;3;4;6;0,04;0,13;NEM;in_sample_1_2x;14,52181973349611;0,49926782704245526;-34,45843355732787;38,0
55;28;3;70;2;3;4;6;0,05;0,05;NEM;in_sample_1_2x;26,431192129612423;1,0007243351608217;-18,136009111158746;51,0
56;28;3;70;2;3;4;6;0,05;0,07;NEM;in_sample_1_2x;25,087602488506768;0,9113688568571161;-25,929143970012515;45,0
57;28;3;70;2;3;4;6;0,05;0,09;NEM;in_sample_1_2x;22,93699536117042;0,7710225285613574;-34,45843355732787;44,0
58;28;3;70;2;3;4;6;0,05;0,11;NEM;in_sample_1_2x;14,200085706517495;0,48647306882078345;-34,45843355732787;41,0
59;28;3;70;2;3;4;6;0,05;0,13;NEM;in_sample_1_2x;12,86984776525506;0,44116774168398093;-34,45843355732787;38,0
60;28;3;80;2;3;4;6;0,02;0,05;NEM;in_sample_1_2x;14,905803316946953;0,7813093989064653;-12,922095920213462;48,0
61;28;3;80;2;3;4;6;0,02;0,07;NEM;in_sample_1_2x;17,193606151551123;0,8072011520294159;-19,716475663403767;44,0
62;28;3;80;2;3;4;6;0,02;0,09;NEM;in_sample_1_2x;15,750339297570171;0,723709338531967;-19,716475663403767;44,0
63;28;3;80;2;3;4;6;0,02;0,11;NEM;in_sample_1_2x;13,181767395105792;0,585450569070968;-19,716475663403767;41,0
64;28;3;80;2;3;4;6;0,02;0,13;NEM;in_sample_1_2x;16,089223704132838;0,6727145331137124;-19,716501771501672;39,0
65;28;3;80;2;3;4;6;0,03;0,05;NEM;in_sample_1_2x;16,423238617246085;0,815174964181021;-17,801354301442974;44,0
66;28;3;80;2;3;4;6;0,03;0,07;NEM;in_sample_1_2x;19,81743885196561;0,8809115223981505;-19,716493170414708;41,0
67;28;3;80;2;3;4;6;0,03;0,09;NEM;in_sample_1_2x;18,007860216511638;0,7767193181490305;-19,716493170414708;40,0
68;28;3;80;2;3;4;6;0,03;0,11;NEM;in_sample_1_2x;15,673137133113402;0,6686511220587248;-19,716493170414708;37,0
69;28;3;80;2;3;4;6;0,03;0,13;NEM;in_sample_1_2x;13,530694601999205;0,5764581453848117;-19,716503380722372;35,0
70;28;3;80;2;3;4;6;0,04;0,05;NEM;in_sample_1_2x;17,01940939624422;0,821992167606147;-17,626095568248466;44,0
71;28;3;80;2;3;4;6;0,04;0,07;NEM;in_sample_1_2x;21,04386003635199;0,8915754625975342;-18,137081535371657;40,0
