;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;start_date;end_date;final_balance;return_acum;return_ann;sharpe_ratio;sortino_ratio;volatility;max_drawdown;trades;win_rate;profit_factor;avg_trade_return
0;28;3;50;2;3;4;6;0,02;0,05;NEM;2008-01-15;2013-10-29;34668215,63361099;246,68215633610995;20,004721260232962;1,3834199237742448;2,917879486447626;14,46033913235549;-9,113899862295305;44;72,72727272727273;4,406244551721104;2,8658420528690165
1;28;3;50;2;3;4;6;0,02;0,07;NEM;2008-01-15;2013-10-29;29102691,21004012;191,0269121004012;16,963600837297577;1,046407667947593;1,999356517991611;16,21127344237615;-14,786397304911114;38;65,78947368421053;3,703272477825192;2,851063109153551
2;28;3;50;2;3;4;6;0,02;0,09;NEM;2008-01-15;2013-10-29;19889130,342640277;98,89130342640277;10,611840364868485;0,5897497066586733;0,9794395963566629;17,993803549291545;-21,03148439198289;37;54,054054054054056;2,2906431023408724;1,875723309451205
3;28;3;50;2;3;4;6;0,02;0,11;NEM;2008-01-15;2013-10-29;16153613,462972526;61,53613462972526;7,287581004440735;0,37285443292046927;0,5718755476502841;19,54537846676264;-27,407668285470866;35;45,714285714285715;1,8253558556012763;1,3796002808342145
4;28;3;50;2;3;4;6;0,02;0,13;NEM;2008-01-15;2013-10-29;12905586,15697385;29,0558615697385;3,8123734887881566;0,1946081223592577;0,2832547986633435;19,59000191035345;-29,782623835346055;34;38,23529411764706;1,4436106757443399;0,7530449603697864
5;28;3;50;2;3;4;6;0,03;0,05;NEM;2008-01-15;2013-10-29;31266600,122158907;212,66600122158908;18,200554701408823;1,2001271976360224;2,3405871947677954;15,16552140244782;-13,060120294030032;44;70,45454545454545;3,4908351377541593;2,624687443943108
6;28;3;50;2;3;4;6;0,03;0,07;NEM;2008-01-15;2013-10-29;26612168,413916375;166,12168413916376;15,438773357108326;0,9231281371043049;1,683922884458538;16,724409902115127;-17,79784435543804;38;63,1578947368421;3,0674948753238467;2,6092086034936512
7;28;3;50;2;3;4;6;0,03;0,09;NEM;2008-01-15;2013-10-29;17632206,192726724;76,32206192726724;8,674787423570285;0,47433714594125775;0,7605939269979264;18,288231267143004;-24,018307948957208;37;51,35135135135135;1,910304501057319;1,5446272765747615
8;28;3;50;2;3;4;6;0,03;0,11;NEM;2008-01-15;2013-10-29;13556069,608282695;35,56069608282695;4,563876030430047;0,23205752019465145;0,34182368603588753;19,667003364518575;-33,882142270718106;35;42,857142857142854;1,463912939703192;0,873072234763117
9;28;3;50;2;3;4;6;0,03;0,13;NEM;2008-01-15;2013-10-29;11191600,611802643;11,91600611802643;1,6650352085213704;0,08518335154070061;0,1201552846381776;19,546486237111914;-39,741686605561256;34;38,23529411764706;1,229480847321827;0,33166675485700736
