;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;28;3;50;2;3;3;6;0,02;0,05;ORCL;17,809881219919294;0,9426505270724145;-17,658073267398148;42,666666666666664;6,935464432136531;8,314009004057336;7,050220206056009;9,999999999999998;7,783518787225753
1;28;3;50;2;3;3;6;0,02;0,1;ORCL;14,335607936608262;0,5430731730965619;-18,501527072991948;36,333333333333336;5,565728265700293;5,2737064267360925;6,678617759642793;7,682926829268294;5,943734605640593
2;28;3;50;2;3;3;6;0,05;0,05;ORCL;23,166700887200534;1,0533647342416792;-12,693719949114064;39,666666666666664;9,04739663695128;9,156410822012052;9,237377138302222;8,902439024390244;9,084975388224345
3;28;3;50;2;3;3;6;0,05;0,1;ORCL;20,939636562466394;0,6752085586102435;-18,32047842750524;31,666666666666668;8,169374011263905;6,2790976210450165;6,75838279139257;5,975609756097564;7,1143299747674105
8;28;3;100;2;3;3;6;0,02;0,05;ORCL;13,411538821604182;0,7562198462128729;-14,583441147792081;39,666666666666664;5,201412973294292;6,895495983063478;8,404818181533638;8,902439024390244;6,671784013133388
9;28;3;100;2;3;3;6;0,02;0,1;ORCL;11,348529783633493;0,4605124723548637;-20,156751183013665;34,0;4,388069329727982;4,645518896204514;5,949371742176337;6,829268292682927;5,0334122594931765
10;28;3;100;2;3;3;6;0,05;0,05;ORCL;17,119000522407628;0,8149065745891534;-15,262083785312177;35,333333333333336;6,6630839367333135;7,342031327876188;8,105826982880805;7,3170731707317085;7,156602088509262
11;28;3;100;2;3;3;6;0,05;0,1;ORCL;14,861073724160583;0,593649697011792;-21,605286068968294;29,333333333333332;5,772893746001653;5,658532880191;5,3111872870636185;5,121951219512195;5,581269357851825
16;28;4;50;2;3;3;6;0,02;0,05;ORCL;11,093175171752094;0,5704081030571666;-13,230984928759533;29,0;4,287395485548716;5,4816923328020914;9,000673030164553;5,000000000000001;5,403749164630698
17;28;4;50;2;3;3;6;0,02;0,1;ORCL;9,963311488147815;0,3171763187714134;-20,310279546561485;26,333333333333332;3,841945452009399;3,554903342477681;5,881731386403653;4,024390243902439;4,077394953041379
18;28;4;50;2;3;3;6;0,05;0,05;ORCL;14,391649220112749;0,6648352443184068;-12,785602293322633;27,0;5,5878226050253925;6,200169188632552;9,196896315684972;4,2682926829268295;6,089856455850439
19;28;4;50;2;3;3;6;0,05;0,1;ORCL;9,894513916629222;0,24974875967634438;-25,51151108681883;22,333333333333332;3,814821931725412;3,0418607997523797;3,590212453294446;2,5609756097560976;3,3827679225330773
24;28;4;100;2;3;3;6;0,02;0,05;ORCL;7,139531350998333;0,4144974118789116;-19,503041529545616;29,333333333333332;2,728666943235379;4,295399687574176;6,237378156827158;5,121951219512195;4,019447083027692
25;28;4;100;2;3;3;6;0,02;0,1;ORCL;6,964082775951245;0,16158784188719813;-23,049983152860573;27,666666666666668;2,6594961443387897;2,3710623600851863;4,674693661520653;4,512195121951221;3,1296431338083743
26;28;4;100;2;3;3;6;0,05;0,05;ORCL;8,58142422287208;0,43982933163223753;-21,970728052840016;26,333333333333332;3,2971348367137723;4,488145097563517;5,1501836442698945;4,024390243902439;4,006038370491526
27;28;4;100;2;3;3;6;0,05;0,1;ORCL;4,6870074760030285;0,053779332149783;-33,660484232313614;23,666666666666668;1,761756635181562;1,5507694011613093;0,0;3,048780487804879;1,6336555993817403
32;28;5;50;2;3;3;6;0,02;0,05;ORCL;5,620078878439138;0,40572782407098;-12,998522994629921;19,0;2,1296210895764993;4,228673682836403;9,103089336603167;1,3414634146341462;3,612966197948517
33;28;5;50;2;3;3;6;0,02;0,1;ORCL;1,4820862599759976;-0,049245566290018396;-20,371610449444628;17,333333333333332;0,498212825528397;0,7668739648005274;5,8547106848537185;0,7317073170731702;1,3735434868733047
34;28;5;50;2;3;3;6;0,05;0,05;ORCL;7,301275377955766;0,5221272951871972;-11,922776642999102;18,0;2,7924347085671535;5,114333514436498;9,577033461740733;0,975609756097561;4,165516338916107
35;28;5;50;2;3;3;6;0,05;0,1;ORCL;1,850796777140177;0,004409180910662817;-25,286077638054877;15,333333333333334;0,6435773634106556;1,1751219913130835;3,6895322032421958;0,0;1,138644039442904
40;28;5;100;2;3;3;6;0,02;0,05;ORCL;3,4616943295703937;0,23256075294580228;-19,51215115865665;22,666666666666668;1,2786755431037777;2,9110807626909203;6,233364705893478;2,6829268292682933;2,6534970985507065
41;28;5;100;2;3;3;6;0,02;0,1;ORCL;1,5670756849891723;-0,06988386190512243;-22,77463812130753;21,0;0,5317200023427155;0,6098413834347914;4,796003076042533;2,073170731707317;1,3834309402353686
42;28;5;100;2;3;3;6;0,05;0,05;ORCL;5,174390309093394;0,3420775551788701;-19,284987634670884;21,666666666666668;1,95390786766832;3,74437177074264;6,333446679190792;2,317073170731708;3,1429981420589628
43;28;5;100;2;3;3;6;0,05;0,1;ORCL;0,21839216212669044;-0,15003338654636664;-31,91995625047842;18,666666666666668;0,0;0,0;0,7668285468761041;1,2195121951219519;0,2837629631425794
48;35;3;50;2;3;3;6;0,02;0,05;ORCL;17,425647952153163;0,9996502749463554;-12,426195890681873;42,333333333333336;6,783980032295169;8,747708458351925;9,355240848120692;9,878048780487807;8,154378091742553
49;35;3;50;2;3;3;6;0,02;0,1;ORCL;14,843233211923549;0,5846774672091305;-21,570184844450583;36,333333333333336;5,765860103899808;5,590265013851911;5,326651916918121;7,682926829268294;5,926812726512809
50;35;3;50;2;3;3;6;0,05;0,05;ORCL;17,076416834710997;0,7708896570194606;-17,60921321046973;40,333333333333336;6,6462952697569735;7,007115581021923;7,07174659738423;9,146341463414636;7,167315004587663
51;35;3;50;2;3;3;6;0,05;0,1;ORCL;16,57237065262328;0,575923737850177;-25,748748147823573;32,333333333333336;6,447574493105322;5,523659672817477;3,485692357867076;6,219512195121952;5,72789248256285
56;35;3;100;2;3;3;6;0,02;0,05;ORCL;18,57456759690403;1,0980285539820656;-14,64380975809513;42,0;7,2369429000418775;9,49624871552269;8,378221439511252;9,75609756097561;8,405377875951125
