;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;start_date;end_date;final_balance;return_acum;return_ann;sharpe_ratio;sortino_ratio;volatility;max_drawdown;trades;win_rate;profit_factor;avg_trade_return
0;28;3;50;2;3;3;6;0,02;0,05;PFE;2008-01-15;2013-10-29;20207791,3890796;102,07791389079601;10,87003217353082;0,8578837773039876;1,5897411997658772;12,670751517986881;-15,560932856885923;40;60,0;2,5840992262208835;1,7742655605924584
1;28;3;50;2;3;3;6;0,02;0,1;PFE;2008-01-15;2013-10-29;17161242,36423114;71,6124236423114;8,24407170056427;0,5796890090283789;0,9564396694384153;14,221542192739205;-24,340380821153616;35;45,714285714285715;2,147679277570909;1,555020492537973
2;28;3;50;2;3;3;6;0,05;0,05;PFE;2008-01-15;2013-10-29;17697313,73416801;76,97313734168011;8,733556332763936;0,6114412114910328;1,1053791740703498;14,283558531271847;-20,88559556661962;33;66,66666666666666;2,1998775723467716;1,7448295192503904
3;28;3;50;2;3;3;6;0,05;0,1;PFE;2008-01-15;2013-10-29;17010312,179412108;70,10312179412108;8,103905161335344;0,4733831949943169;0,7937118934673983;17,11912304244901;-25,45120575602956;30;53,333333333333336;2,03579616206673;1,7865546346075734
4;28;3;100;2;3;3;6;0,02;0,05;PFE;2008-01-15;2013-10-29;15020654,168814385;50,20654168814386;6,149293214655338;0,4831730253397168;0,8187401673329069;12,72689676815422;-19,56859732827132;45;55,55555555555556;1,6764983265997513;0,9081915268528862
5;28;3;100;2;3;3;6;0,02;0,1;PFE;2008-01-15;2013-10-29;15237252,153242147;52,372521532421466;6,372446630792483;0,43249273020577184;0,7178600869246592;14,734228313527014;-17,36105707222674;36;47,22222222222222;1,830489872164248;1,1767549298959512
6;28;3;100;2;3;3;6;0,05;0,05;PFE;2008-01-15;2013-10-29;15616273,930514315;56,16273930514315;6,756507953383162;0,4921689664553351;0,8276479133937533;13,728025157791665;-20,86741107604414;38;65,78947368421053;1,8019266478479294;1,1798764377384252
7;28;3;100;2;3;3;6;0,05;0,1;PFE;2008-01-15;2013-10-29;15491889,403116262;54,918894031162615;6,631354928808775;0,4138163102963835;0,6895178160428963;16,024875684719305;-29,579562383452007;30;56,666666666666664;1,792939258543121;1,4698024668385212
8;28;4;50;2;3;3;6;0,02;0,05;PFE;2008-01-15;2013-10-29;16949493,04633629;69,49493046336289;8,047123227885056;0,6821443511725633;1,2071040059991447;11,796804025500697;-17,530365528778912;33;57,57575757575758;2,284648008202832;1,6118012969189577
9;28;4;50;2;3;3;6;0,02;0,1;PFE;2008-01-15;2013-10-29;16642155,405119823;66,42155405119823;7,757499313280736;0,581991226698197;0,9753970138122385;13,329237551038787;-20,712227351512556;28;46,42857142857143;2,3041930628299583;1,8357701012880145
