;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;49;3;50;2;3;3;6;0,01;0,05;PFE;in_sample_1_2x;24,464665361377968;1,4857378817410583;-10,060924364703261;63,0;17,962491317703446;0,8597743559007606;-22,1504300393213;52,0;25,487729576441964;1,4857378817410583;-9,75250405496113;72,0;8,640489271052667;10,0;9,751232335044428;5,5;8,73895716402892
27;49;3;50;2;3;3;6;0,01;0,05;PFE;in_sample_2_2x;18,887034967099737;1,261799938280538;-10,814216746527695;58,0;11,132092875001455;0,6847899806596893;-21,278876117374658;42,0;20,52139732982625;1,2748124116634796;-8,681854263600519;61,0;8,259336066276264;9,779457988388616;8,307248723008042;8,421052631578947;8,723603647170432
54;49;3;50;2;3;3;6;0,01;0,05;PFE;in_sample_3_2x;15,11625231485949;1,5422652392032261;-5,784005591980501;25,0;3,5437066939756567;0,3282480113067861;-18,10383980732688;19,0;16,1053234164382;1,5422652392032261;-5,784005591980501;29,0;9,212624359243453;10,0;10,0;6,0;9,091124725390051
81;49;3;50;2;3;3;6;0,01;0,05;PFE;out_of_sample_val_1;19,59553271261356;1,8067227037503013;-6,9371343960509595;15,0;6,041254954539976;0,4167672084227657;-15,345438766634755;9,0;29,087645293161344;1,8502173728480071;-6,9371343960509595;15,0;5,881301825978011;9,69657355255775;10,0;10,0;8,148150369007075
108;49;3;50;2;3;3;6;0,01;0,05;PFE;out_of_sample_val_2;8,931788371959604;0,9483582255119926;-5,567169844043196;17,0;-0,12801443202136165;-0,013463601862154279;-19,19208792803524;14,0;10,6327283760004;1,0834974379621545;-5,567169844043196;19,0;8,419309861422573;8,768058230474564;10,0;6,0;8,399149435030978
1;49;3;50;2;3;3;6;0,01;0,06;PFE;in_sample_1_2x;23,707512101437178;1,3814977750190507;-10,144700996088474;59,0;17,962491317703446;0,8597743559007606;-22,1504300393213;52,0;25,487729576441964;1,4857378817410583;-9,75250405496113;72,0;7,634337393985437;8,334725548392377;9,683659233308784;3,5;7,536588930292837
28;49;3;50;2;3;3;6;0,01;0,06;PFE;in_sample_2_2x;17,538346719923915;1,194776679131961;-11,757654247851967;55,0;11,132092875001455;0,6847899806596893;-21,278876117374658;42,0;20,52139732982625;1,2748124116634796;-8,681854263600519;61,0;6,822926954541917;8,643513732260045;7,558311781978912;6,842105263157895;7,45088933904038
55;49;3;50;2;3;3;6;0,01;0,06;PFE;in_sample_3_2x;16,1053234164382;1,5265869598330075;-5,784005591980501;25,0;3,5437066939756567;0,3282480113067861;-18,10383980732688;19,0;16,1053234164382;1,5422652392032261;-5,784005591980501;29,0;10,0;9,870856203602772;10,0;6,0;9,391673201029363
82;49;3;50;2;3;3;6;0,01;0,06;PFE;out_of_sample_val_1;13,23881171354424;1,1615188276769062;-8,528995954097562;14,0;6,041254954539976;0,4167672084227657;-15,345438766634755;9,0;29,087645293161344;1,8502173728480071;-6,9371343960509595;15,0;3,1230733547641636;5,195518042671244;8,106798365178497;8,333333333333334;5,1714839783066875
109;49;3;50;2;3;3;6;0,01;0,06;PFE;out_of_sample_val_2;10,6327283760004;1,0834974379621545;-5,567169844043196;17,0;-0,12801443202136165;-0,013463601862154279;-19,19208792803524;14,0;10,6327283760004;1,0834974379621545;-5,567169844043196;19,0;10,0;10,0;10,0;6,0;9,428571428571429
2;49;3;50;2;3;3;6;0,01;0,07;PFE;in_sample_1_2x;24,86826117646728;1,3498317768187962;-10,144698174275213;57,0;17,962491317703446;0,8597743559007606;-22,1504300393213;52,0;25,487729576441964;1,4857378817410583;-9,75250405496113;72,0;9,176812243445791;7,828849456686462;9,68366150934533;2,5;7,910256736150804
29;49;3;50;2;3;3;6;0,01;0,07;PFE;in_sample_2_2x;13,825757179897336;0,9072709548899475;-18,57686487417881;52,0;11,132092875001455;0,6847899806596893;-21,278876117374658;42,0;20,52139732982625;1,2748124116634796;-8,681854263600519;61,0;2,8688645872077485;3,770720612295314;2,144960352185394;5,2631578947368425;3,3651647475908724
56;49;3;50;2;3;3;6;0,01;0,07;PFE;in_sample_3_2x;9,353214819303378;0,9015382321973836;-8,79605804750594;22,0;3,5437066939756567;0,3282480113067861;-18,10383980732688;19,0;16,1053234164382;1,5422652392032261;-5,784005591980501;29,0;4,624809253206416;4,722257705386543;7,5551193280073266;3,0;4,839151785485666
83;49;3;50;2;3;3;6;0,01;0,07;PFE;out_of_sample_val_1;18,488477944426272;1,4651347705333522;-8,528999536123994;14,0;6,041254954539976;0,4167672084227657;-15,345438766634755;9,0;29,087645293161344;1,8502173728480071;-6,9371343960509595;15,0;5,400942536769898;7,3135961621026535;8,106794105072924;8,333333333333334;6,75287819613161
110;49;3;50;2;3;3;6;0,01;0,07;PFE;out_of_sample_val_2;7,55309122348129;0,9169386918549217;-5,567169844043196;15,0;-0,12801443202136165;-0,013463601862154279;-19,19208792803524;14,0;10,6327283760004;1,0834974379621545;-5,567169844043196;19,0;7,138081257528665;8,481634806885127;10,0;2,0;7,196787626622322
3;49;3;50;2;3;3;6;0,02;0,05;PFE;in_sample_1_2x;24,75964236150887;1,442971710285466;-9,835357638149333;60,0;17,962491317703446;0,8597743559007606;-22,1504300393213;52,0;25,487729576441964;1,4857378817410583;-9,75250405496113;72,0;9,032472873416841;9,316794514533692;9,933171416499244;4,0;8,523454152259593
30;49;3;50;2;3;3;6;0,02;0,05;PFE;in_sample_2_2x;20,52139732982625;1,2748124116634796;-9,214770025810626;56,0;11,132092875001455;0,6847899806596893;-21,278876117374658;42,0;20,52139732982625;1,2748124116634796;-8,681854263600519;61,0;10,0;10,0;9,57695099016563;7,368421052631579;9,563624577542457
57;49;3;50;2;3;3;6;0,02;0,05;PFE;in_sample_3_2x;13,76212481970498;1,4227530809556137;-5,8401408849298235;24,0;3,5437066939756567;0,3282480113067861;-18,10383980732688;19,0;16,1053234164382;1,5422652392032261;-5,784005591980501;29,0;8,134636131236883;9,015564561182593;9,954435025692636;5,0;8,198496077395495
84;49;3;50;2;3;3;6;0,02;0,05;PFE;out_of_sample_val_1;19,56556363831641;1,7390700659254033;-7,6992868346732575;14,0;6,041254954539976;0,4167672084227657;-15,345438766634755;9,0;29,087645293161344;1,8502173728480071;-6,9371343960509595;15,0;5,868298021973647;9,2246168741613;9,093571777338763;8,333333333333334;7,640147560702235
