;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;42;3;80;2;3;4;6;0,01;0,08;PNC;4,844223631869751
1;42;3;80;2;3;4;6;0,01;0,1;PNC;3,9254745956605914
2;42;3;80;2;3;4;6;0,01;0,12;PNC;3,6575380918860008
3;42;3;80;2;3;4;6;0,02;0,08;PNC;4,67298088035985
4;42;3;80;2;3;4;6;0,02;0,1;PNC;4,087763790366442
5;42;3;80;2;3;4;6;0,02;0,12;PNC;3,4674486423606465
6;42;3;80;2;3;4;6;0,03;0,08;PNC;5,080755430817538
7;42;3;80;2;3;4;6;0,03;0,1;PNC;3,850790861512553
8;42;3;80;2;3;4;6;0,03;0,12;PNC;3,208481340568438
9;42;3;90;2;3;4;6;0,01;0,08;PNC;4,77038495942625
10;42;3;90;2;3;4;6;0,01;0,1;PNC;4,715557406792956
11;42;3;90;2;3;4;6;0,01;0,12;PNC;3,793056585168247
12;42;3;90;2;3;4;6;0,02;0,08;PNC;3,510224535901532
13;42;3;90;2;3;4;6;0,02;0,1;PNC;3,9459174513015087
14;42;3;90;2;3;4;6;0,02;0,12;PNC;2,8958573254237137
15;42;3;90;2;3;4;6;0,03;0,08;PNC;4,6067778169774645
16;42;3;90;2;3;4;6;0,03;0,1;PNC;5,1559957027319765
17;42;3;90;2;3;4;6;0,03;0,12;PNC;3,1362294839134384
18;42;3;100;2;3;4;6;0,01;0,08;PNC;5,614448568971802
19;42;3;100;2;3;4;6;0,01;0,1;PNC;6,152702473000932
20;42;3;100;2;3;4;6;0,01;0,12;PNC;5,482122176653458
21;42;3;100;2;3;4;6;0,02;0,08;PNC;5,401745486444776
22;42;3;100;2;3;4;6;0,02;0,1;PNC;6,014030082698235
23;42;3;100;2;3;4;6;0,02;0,12;PNC;5,187073642526928
24;42;3;100;2;3;4;6;0,03;0,08;PNC;5,7607109092973205
25;42;3;100;2;3;4;6;0,03;0,1;PNC;6,41454941127255
26;42;3;100;2;3;4;6;0,03;0,12;PNC;5,769441186795913
