;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;35;3;80;2;3;4;6;0,04;0,05;CSCO;in_sample_1_2x;40,36593146195124;1,518185047765745;-14,131604621142968;62,0
1;35;3;80;2;3;4;6;0,04;0,05;CSCO;in_sample_2_2x;17,99787696121049;1,0936550736796085;-13,144736197881812;43,0
2;35;3;80;2;3;4;6;0,04;0,05;CSCO;in_sample_3_2x;11,890529443282706;0,9412831380293843;-13,823114884646415;24,0
3;35;3;80;2;3;4;6;0,04;0,05;CSCO;out_of_sample_val_1;0,8982394552268902;0,0979100942937387;-18,52763700189791;7,0
4;35;3;80;2;3;4;6;0,04;0,05;CSCO;out_of_sample_val_2;16,32345427186779;1,0802522408573716;-12,251560123631132;17,0
5;35;3;80;2;3;4;6;0,04;0,06;CSCO;in_sample_1_2x;42,82064309692328;1,5181169672551114;-13,123377840021233;62,0
6;35;3;80;2;3;4;6;0,04;0,06;CSCO;in_sample_2_2x;13,563180071847626;0,7869201212904935;-14,926701606261297;38,0
7;35;3;80;2;3;4;6;0,04;0,06;CSCO;in_sample_3_2x;14,08909868508137;1,116287312115086;-12,251574504899189;22,0
8;35;3;80;2;3;4;6;0,04;0,06;CSCO;out_of_sample_val_1;2,809541077065303;0,2451008891420777;-18,527630455663548;7,0
9;35;3;80;2;3;4;6;0,04;0,06;CSCO;out_of_sample_val_2;16,492670628055528;1,018621794955884;-12,251560123631132;17,0
10;35;3;80;2;3;4;6;0,04;0,07;CSCO;in_sample_1_2x;45,74205857612019;1,4054829309128145;-13,643092529456013;60,0
11;35;3;80;2;3;4;6;0,04;0,07;CSCO;in_sample_2_2x;9,5689122071003;0,5196010039535645;-27,355968789072715;37,0
12;35;3;80;2;3;4;6;0,04;0,07;CSCO;in_sample_3_2x;11,523896562780632;0,8706649650385453;-19,402474520150413;20,0
13;35;3;80;2;3;4;6;0,04;0,07;CSCO;out_of_sample_val_1;2,83386412285882;0,2464366359789655;-18,527623288295132;7,0
14;35;3;80;2;3;4;6;0,04;0,07;CSCO;out_of_sample_val_2;15,127450359482886;0,8191520199242309;-19,40246339888629;17,0
15;35;3;80;2;3;4;6;0,05;0,05;CSCO;in_sample_1_2x;43,3271237976476;1,5493708802542838;-20,06967997860549;61,0
16;35;3;80;2;3;4;6;0,05;0,05;CSCO;in_sample_2_2x;20,323039707644817;1,077702208869759;-13,144736197881812;43,0
17;35;3;80;2;3;4;6;0,05;0,05;CSCO;in_sample_3_2x;13,565912991083028;1,038908692574527;-12,25156315147401;23,0
18;35;3;80;2;3;4;6;0,05;0,05;CSCO;out_of_sample_val_1;-0,6196990061190344;-0,0739055322295073;-17,08197347815671;6,0
19;35;3;80;2;3;4;6;0,05;0,05;CSCO;out_of_sample_val_2;16,623443065087805;1,0610747911876064;-12,251560123631132;17,0
20;35;3;80;2;3;4;6;0,05;0,06;CSCO;in_sample_1_2x;45,785221029731325;1,546666836980798;-18,15537582604495;61,0
21;35;3;80;2;3;4;6;0,05;0,06;CSCO;in_sample_2_2x;12,307815389350086;0,6702357154833227;-19,385242517649747;38,0
22;35;3;80;2;3;4;6;0,05;0,06;CSCO;in_sample_3_2x;14,965509632444672;1,157255973815633;-12,251580848755792;21,0
23;35;3;80;2;3;4;6;0,05;0,06;CSCO;out_of_sample_val_1;0,1902558613110061;0,017989140974606;-17,081964786756863;6,0
24;35;3;80;2;3;4;6;0,05;0,06;CSCO;out_of_sample_val_2;16,459127623809632;0,986781246044002;-12,251560123631132;17,0
25;35;3;80;2;3;4;6;0,05;0,07;CSCO;in_sample_1_2x;49,50796254481846;1,4372378334384288;-18,15537702168346;59,0
26;35;3;80;2;3;4;6;0,05;0,07;CSCO;in_sample_2_2x;10,700327608944573;0,5685898534791366;-28,851972606553044;37,0
27;35;3;80;2;3;4;6;0,05;0,07;CSCO;in_sample_3_2x;12,484490319786024;0,9209517183571406;-20,138382724312653;20,0
28;35;3;80;2;3;4;6;0,05;0,07;CSCO;out_of_sample_val_1;0,2139635552671492;0,0201595865115728;-17,081960576972797;6,0
29;35;3;80;2;3;4;6;0,05;0,07;CSCO;out_of_sample_val_2;14,80978890776974;0,7897238687293469;-20,13839127664593;17,0
30;35;3;80;2;3;4;6;0,06;0,05;CSCO;in_sample_1_2x;42,22360957800486;1,501280677101241;-25,227732627214927;59,0
31;35;3;80;2;3;4;6;0,06;0,05;CSCO;in_sample_2_2x;18,60438821724741;0,9814327022878642;-16,717052057466553;42,0
32;35;3;80;2;3;4;6;0,06;0,05;CSCO;in_sample_3_2x;13,113671904024416;1,0089229035092615;-13,802718500079658;23,0
33;35;3;80;2;3;4;6;0,06;0,05;CSCO;out_of_sample_val_1;3,4753898613080647;0,3594908999924001;-17,08197347815671;6,0
34;35;3;80;2;3;4;6;0,06;0,05;CSCO;out_of_sample_val_2;18,16674424568117;1,1104754382453428;-12,251560123631132;17,0
35;35;3;80;2;3;4;6;0,06;0,06;CSCO;in_sample_1_2x;44,4379194623358;1,497328458978448;-22,54714915154272;59,0
36;35;3;80;2;3;4;6;0,06;0,06;CSCO;in_sample_2_2x;10,839013070023796;0,585295989782486;-20,673957654215258;37,0
37;35;3;80;2;3;4;6;0,06;0,06;CSCO;in_sample_3_2x;14,965509632444672;1,157255973815633;-12,251580848755792;21,0
38;35;3;80;2;3;4;6;0,06;0,06;CSCO;out_of_sample_val_1;5,050819567503462;0,3784240664378355;-17,081964786756863;6,0
39;35;3;80;2;3;4;6;0,06;0,06;CSCO;out_of_sample_val_2;17,884478948982128;1,0305185906617955;-12,251560123631132;17,0
40;35;3;80;2;3;4;6;0,06;0,07;CSCO;in_sample_1_2x;49,95172239423032;1,4207501016618411;-20,614949997134318;56,0
41;35;3;80;2;3;4;6;0,06;0,07;CSCO;in_sample_2_2x;9,354023018849755;0,4944192011081287;-29,853522028020794;36,0
42;35;3;80;2;3;4;6;0,06;0,07;CSCO;in_sample_3_2x;12,484490319786024;0,9209517183571406;-20,138382724312653;20,0
43;35;3;80;2;3;4;6;0,06;0,07;CSCO;out_of_sample_val_1;5,751606045901103;0,4246191455661177;-17,081960576972797;6,0
44;35;3;80;2;3;4;6;0,06;0,07;CSCO;out_of_sample_val_2;16,214937150503992;0,836087754641618;-20,13839127664593;17,0
45;35;3;90;2;3;4;6;0,04;0,05;CSCO;in_sample_1_2x;29,39242430663349;1,263092865696243;-21,41241977472106;53,0
46;35;3;90;2;3;4;6;0,04;0,05;CSCO;in_sample_2_2x;13,524036456767607;1,0101170560540875;-13,076382841190448;40,0
47;35;3;90;2;3;4;6;0,04;0,05;CSCO;in_sample_3_2x;9,12804412236492;0,7575082858591449;-18,180787444703903;21,0
48;35;3;90;2;3;4;6;0,04;0,05;CSCO;out_of_sample_val_1;1,3517019999470747;0,1344565061869916;-18,1805396027791;7,0
49;35;3;90;2;3;4;6;0,04;0,05;CSCO;out_of_sample_val_2;11,95116844256776;0,7915689635074126;-18,180762422726072;17,0
50;35;3;90;2;3;4;6;0,04;0,06;CSCO;in_sample_1_2x;28,893633605564474;1,1691363897838374;-19,92112590157453;53,0
51;35;3;90;2;3;4;6;0,04;0,06;CSCO;in_sample_2_2x;12,125048315418852;0,7769803385603168;-12,289012831873258;37,0
52;35;3;90;2;3;4;6;0,04;0,06;CSCO;in_sample_3_2x;10,3958577076954;0,7731380711075516;-18,1807755264518;20,0
53;35;3;90;2;3;4;6;0,04;0,06;CSCO;out_of_sample_val_1;3,271587046248503;0,2676654893176319;-18,18053539926188;7,0
54;35;3;90;2;3;4;6;0,04;0,06;CSCO;out_of_sample_val_2;12,166976941308173;0,7545311081853087;-18,180762422726072;17,0
55;35;3;90;2;3;4;6;0,04;0,07;CSCO;in_sample_1_2x;33,543169691931915;1,193720570629985;-17,01017731217331;52,0
56;35;3;90;2;3;4;6;0,04;0,07;CSCO;in_sample_2_2x;8,742223157680362;0,5305241652436199;-26,03728778201476;35,0
57;35;3;90;2;3;4;6;0,04;0,07;CSCO;in_sample_3_2x;8,267058441567809;0,5900846766919725;-19,402469055657868;18,0
58;35;3;90;2;3;4;6;0,04;0,07;CSCO;out_of_sample_val_1;1,2343757560128843;0,0994561082199475;-18,18054022417219;6,0
59;35;3;90;2;3;4;6;0,04;0,07;CSCO;out_of_sample_val_2;10,268094506595428;0,5920475409438264;-19,40246339888629;15,0
