;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;35;3;50;2;3;3;6;0,01;0,05;CSCO;in_sample_1_2x;56,95506341806107;1,7767105566515113;-10,381627104781854;68,0;30,72623372276113;1,0592586249878049;-30,56463009107754;53,0;62,01918407697775;1,7767105566515113;-9,792378107016075;68,0;8,381705591325202;10,0;9,716328784082771;10,0;9,26592079400834
27;35;3;50;2;3;3;6;0,01;0,05;CSCO;in_sample_2_2x;5,274453744761143;0,30712477464262933;-24,72166438353338;55,0;1,4473382534958557;0,09296543401870966;-36,61835450930526;38,0;9,38738030014903;0,5597782847561481;-14,304798361947913;57,0;4,820019174682411;4,5876916260039895;5,331597548686043;8,947368421052632;5,416343820827698
54;35;3;50;2;3;3;6;0,01;0,05;CSCO;in_sample_3_2x;14,742183966491229;1,1437491994263698;-17,254654517103816;26,0;0,11660907399348996;0,009862944564669377;-19,199131259687107;19,0;18,702361146675205;1,2757424400538564;-7,621642640560378;26,0;7,869240284333263;8,957300113495565;1,6795324154937148;10,0;7,600264785069234
81;35;3;50;2;3;3;6;0,01;0,05;CSCO;out_of_sample_val_1;4,667920325401065;0,6496279617707689;-6,0698352656496475;6,0;-9,899629810797128;-1,1455454752957883;-23,12872801725674;1,0;8,69271384563286;1,0466211996583206;-1,1856184976753226;6,0;7,835241433459704;8,189037163901498;7,7741455632731595;10,0;8,236849170207895
108;35;3;50;2;3;3;6;0,01;0,05;CSCO;out_of_sample_val_2;10,214415903161278;0,7360962690886451;-8,835546976283338;19,0;5,873932568016671;0,6219180068630408;-10,97864726828498;10,0;27,00285700970848;1,3145705805543477;-6,317481295900096;19,0;2,054285038087372;1,6484203850874586;4,5977772615231;10,0;3,436781877994305
1;35;3;50;2;3;3;6;0,01;0,06;CSCO;in_sample_1_2x;48,184883156151905;1,4628994833499698;-17,97206107446181;66,0;30,72623372276113;1,0592586249878049;-30,56463009107754;53,0;62,01918407697775;1,7767105566515113;-9,792378107016075;68,0;5,579099840625376;5,626033474133354;6,0622069413937405;8,666666666666666;6,1026057254576065
28;35;3;50;2;3;3;6;0,01;0,06;CSCO;in_sample_2_2x;7,260227259206409;0,39664848883642456;-22,355260019518276;52,0;1,4473382534958557;0,09296543401870966;-36,61835450930526;38,0;9,38738030014903;0,5597782847561481;-14,304798361947913;57,0;7,320980130276209;6,505456187377395;6,392120733958492;7,368421052631579;6,962056364596212
55;35;3;50;2;3;3;6;0,01;0,06;CSCO;in_sample_3_2x;16,162396934013668;1,255905494256202;-16,063179683128816;24,0;0,11660907399348996;0,009862944564669377;-19,199131259687107;19,0;18,702361146675205;1,2757424400538564;-7,621642640560378;26,0;8,633380988442804;9,843295148800964;2,70866306132878;7,142857142857143;7,919750495302323
82;35;3;50;2;3;3;6;0,01;0,06;CSCO;out_of_sample_val_1;5,970282385778769;0,7753285408096472;-6,069834743933711;6,0;-9,899629810797128;-1,1455454752957883;-23,12872801725674;1,0;8,69271384563286;1,0466211996583206;-1,1856184976753226;6,0;8,535724430355737;8,762445109907748;7,774145801031595;10,0;8,700887044559186
109;35;3;50;2;3;3;6;0,01;0,06;CSCO;out_of_sample_val_2;15,667875856846948;0,9959508320877399;-8,83554065826736;18,0;5,873932568016671;0,6219180068630408;-10,97864726828498;10,0;27,00285700970848;1,3145705805543477;-6,317481295900096;19,0;4,635325056823417;5,40000628643291;4,597790816105825;8,88888888888889;5,45609534976154
2;35;3;50;2;3;3;6;0,01;0,07;CSCO;in_sample_1_2x;43,50159448593756;1,315732289649674;-20,009874166548226;64,0;30,72623372276113;1,0592586249878049;-30,56463009107754;53,0;62,01918407697775;1,7767105566515113;-9,792378107016075;68,0;4,082504403888843;3,5747853388188626;5,0811803807444536;7,333333333333333;4,5445139433402915
29;35;3;50;2;3;3;6;0,01;0,07;CSCO;in_sample_2_2x;7,7242848828158905;0,4114098324918756;-22,241218377161097;51,0;1,4473382534958557;0,09296543401870966;-36,61835450930526;38,0;9,38738030014903;0,5597782847561481;-14,304798361947913;57,0;7,905432480632576;6,821671639289914;6,443229414979147;6,842105263157895;7,234996485516371
