;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;28;3;50;2;3;3;6;0,01;0,05;GE;6,045750570990027
1;28;3;50;2;3;3;6;0,01;0,06;GE;4,350184880909021
2;28;3;50;2;3;3;6;0,01;0,07;GE;5,552499434743149
3;28;3;50;2;3;3;6;0,02;0,05;GE;5,695566498506728
4;28;3;50;2;3;3;6;0,02;0,06;GE;4,3905897507598155
5;28;3;50;2;3;3;6;0,02;0,07;GE;5,438940550631437
6;28;3;50;2;3;3;6;0,03;0,05;GE;5,798890979326264
7;28;3;50;2;3;3;6;0,03;0,06;GE;4,805434140298213
8;28;3;50;2;3;3;6;0,03;0,07;GE;5,592920815810781
9;28;3;60;2;3;3;6;0,01;0,05;GE;3,9952002836683236
10;28;3;60;2;3;3;6;0,01;0,06;GE;2,734173914222022
11;28;3;60;2;3;3;6;0,01;0,07;GE;4,9900128971923285
12;28;3;60;2;3;3;6;0,02;0,05;GE;3,816955247159065
13;28;3;60;2;3;3;6;0,02;0,06;GE;2,479713569405326
14;28;3;60;2;3;3;6;0,02;0,07;GE;4,298871641746648
15;28;3;60;2;3;3;6;0,03;0,05;GE;4,664478442495943
16;28;3;60;2;3;3;6;0,03;0,06;GE;3,598511530982164
17;28;3;60;2;3;3;6;0,03;0,07;GE;5,572622922980477
18;28;3;70;2;3;3;6;0,01;0,05;GE;5,015812299704722
19;28;3;70;2;3;3;6;0,01;0,06;GE;3,1201504430523226
20;28;3;70;2;3;3;6;0,01;0,07;GE;5,060461929169421
21;28;3;70;2;3;3;6;0,02;0,05;GE;5,394656258536071
22;28;3;70;2;3;3;6;0,02;0,06;GE;3,6023852242115204
23;28;3;70;2;3;3;6;0,02;0,07;GE;4,5480615306449845
24;28;3;70;2;3;3;6;0,03;0,05;GE;4,878260343359981
25;28;3;70;2;3;3;6;0,03;0,06;GE;3,9691501939294405
26;28;3;70;2;3;3;6;0,03;0,07;GE;4,989129722605923
