;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;42;3;50;2;3;3;6;0,01;0,05;LLY;6,772680758395277
1;42;3;50;2;3;3;6;0,01;0,06;LLY;6,074865141650041
2;42;3;50;2;3;3;6;0,01;0,07;LLY;4,07483813303123
3;42;3;50;2;3;3;6;0,02;0,05;LLY;7,201716677172665
4;42;3;50;2;3;3;6;0,02;0,06;LLY;6,06674667200578
5;42;3;50;2;3;3;6;0,02;0,07;LLY;4,201795266059248
6;42;3;50;2;3;3;6;0,03;0,05;LLY;6,9548600122642625
7;42;3;50;2;3;3;6;0,03;0,06;LLY;4,936998279671937
8;42;3;50;2;3;3;6;0,03;0,07;LLY;2,882261990463694
9;42;3;60;2;3;3;6;0,01;0,05;LLY;7,239944574011396
10;42;3;60;2;3;3;6;0,01;0,06;LLY;5,42946895036766
11;42;3;60;2;3;3;6;0,01;0,07;LLY;4,144028571625531
12;42;3;60;2;3;3;6;0,02;0,05;LLY;6,7183761840357805
13;42;3;60;2;3;3;6;0,02;0,06;LLY;5,071002952032037
14;42;3;60;2;3;3;6;0,02;0,07;LLY;3,8747114522226935
15;42;3;60;2;3;3;6;0,03;0,05;LLY;6,690238953192621
16;42;3;60;2;3;3;6;0,03;0,06;LLY;3,817613403410423
17;42;3;60;2;3;3;6;0,03;0,07;LLY;2,373115615565886
18;42;3;70;2;3;3;6;0,01;0,05;LLY;6,211737597663701
19;42;3;70;2;3;3;6;0,01;0,06;LLY;6,159450953584797
20;42;3;70;2;3;3;6;0,01;0,07;LLY;4,636358390199088
21;42;3;70;2;3;3;6;0,02;0,05;LLY;6,512182362997369
22;42;3;70;2;3;3;6;0,02;0,06;LLY;6,414417940884576
23;42;3;70;2;3;3;6;0,02;0,07;LLY;5,381968951340363
24;42;3;70;2;3;3;6;0,03;0,05;LLY;6,168005956130072
25;42;3;70;2;3;3;6;0,03;0,06;LLY;5,7219641100631025
26;42;3;70;2;3;3;6;0,03;0,07;LLY;4,827969448784551
