;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;42;2;50;2;3;3;6;0,01;0,05;CINF;in_sample_1_2x;20,876525987724005;1,3044264679445912;-9,268108306554934;73,0;19,26020136918314;1,1426068664044509;-15,13313709396813;46,0;28,213179337758444;1,7047641714321184;-7,898327475567768;73,0;1,8053485937462577;2,878546629082336;8,10668019860068;10,0;4,182831319714874
27;42;2;50;2;3;3;6;0,01;0,05;CINF;in_sample_2_2x;11,034982004943593;0,5401020085497572;-27,10670415390971;86,0;6,370103778039216;0,2938877067208832;-31,176911668478624;57,0;24,17879083922707;1,1042248393462593;-14,757778195201265;86,0;2,619439721118457;3,0384181091538403;2,478941730508069;10,0;3,7734424445958745
54;42;2;50;2;3;3;6;0,01;0,05;CINF;in_sample_3_2x;14,189242645577483;0,9952516820215749;-13,1449459921125;37,0;-2,6217762018517;-0,20558066165109712;-25,706120253090635;25,0;14,662187847500373;1,0109645737804966;-11,926910550141379;37,0;9,726367631538427;9,870840053445713;9,116033888568793;10,0;9,719545270010785
81;42;2;50;2;3;3;6;0,01;0,05;CINF;out_of_sample_val_1;9,451799307019048;1,009768649867868;-5,551128751624635;7,0;5,732058385425942;0,6468536552872763;-8,104552934506303;5,0;14,514954545442915;1,3392321760663641;-4,964588364537759;7,0;4,235209951048673;5,241569223901218;8,132015906495557;10,0;5,902969172492001
108;42;2;50;2;3;3;6;0,01;0,05;CINF;out_of_sample_val_2;28,89303846867144;1,014877572997819;-12,585515831695337;36,0;19,938587695519438;0,7384279970188963;-21,916365125841118;26,0;39,22592469391311;1,2589377166061795;-12,585515831695337;36,0;4,642657912752687;5,311131868932669;10,0;10,0;6,3643196394462
1;42;2;50;2;3;3;6;0,01;0,06;CINF;in_sample_1_2x;23,410767262708564;1,34089885416403;-9,268109111412503;68,0;19,26020136918314;1,1426068664044509;-15,13313709396813;46,0;28,213179337758444;1,7047641714321184;-7,898327475567768;73,0;4,635961250093311;3,5273398741980224;8,106679086121416;8,148148148148149;5,316770104706507
28;42;2;50;2;3;3;6;0,01;0,06;CINF;in_sample_2_2x;6,370103778039216;0,2938877067208832;-26,18365346032784;86,0;6,370103778039216;0,2938877067208832;-31,176911668478624;57,0;24,17879083922707;1,1042248393462593;-14,757778195201265;86,0;0,0;0,0;3,041121637921675;10,0;1,8630173768459535
55;42;2;50;2;3;3;6;0,01;0,06;CINF;in_sample_3_2x;14,662187847500373;1,0109645737804966;-12,632872857371868;33,0;-2,6217762018517;-0,20558066165109712;-25,706120253090635;25,0;14,662187847500373;1,0109645737804966;-11,926910550141379;37,0;10,0;10,0;9,48766125020988;6,666666666666667;9,450618273839508
82;42;2;50;2;3;3;6;0,01;0,06;CINF;out_of_sample_val_1;11,160095722489194;1,1341291115057093;-5,551135382636819;7,0;5,732058385425942;0,6468536552872763;-8,104552934506303;5,0;14,514954545442915;1,3392321760663641;-4,964588364537759;7,0;6,180236266225835;7,037703244608659;8,131994788384075;10,0;7,249730010896987
109;42;2;50;2;3;3;6;0,01;0,06;CINF;out_of_sample_val_2;29,653665901595016;0,9959010659981904;-12,585523388278808;34,0;19,938587695519438;0,7384279970188963;-21,916365125841118;26,0;39,22592469391311;1,2589377166061795;-12,585515831695337;36,0;5,037024140183111;4,946556409810115;9,999991901505176;8,0;6,143453877382106
2;42;2;50;2;3;3;6;0,01;0,07;CINF;in_sample_1_2x;22,874257543744992;1,2965574223733196;-14,975125873873473;65,0;19,26020136918314;1,1426068664044509;-15,13313709396813;46,0;28,213179337758444;1,7047641714321184;-7,898327475567768;73,0;4,036708441869383;2,7385672051578482;0,21840411625039283;7,037037037037037;3,548957269887325
29;42;2;50;2;3;3;6;0,01;0,07;CINF;in_sample_2_2x;10,593354381962495;0,4708124530332409;-31,176911668478624;77,0;6,370103778039216;0,2938877067208832;-31,176911668478624;57,0;24,17879083922707;1,1042248393462593;-14,757778195201265;86,0;2,3714553405384984;2,183347389488951;0,0;6,896551724137931;2,625373217818761
56;42;2;50;2;3;3;6;0,01;0,07;CINF;in_sample_3_2x;9,675243896095886;0,6862724715575963;-12,632872857371868;33,0;-2,6217762018517;-0,20558066165109712;-25,706120253090635;25,0;14,662187847500373;1,0109645737804966;-11,926910550141379;37,0;7,114698956116243;7,331031409549606;9,48766125020988;6,666666666666667;7,4514982291892125
83;42;2;50;2;3;3;6;0,01;0,07;CINF;out_of_sample_val_1;7,747332560692222;0,8744115969430446;-5,551118710206982;6,0;5,732058385425942;0,6468536552872763;-8,104552934506303;5,0;14,514954545442915;1,3392321760663641;-4,964588364537759;7,0;2,2945440075228953;3,2866118001423894;8,132047885893506;5,0;3,798414786963853
110;42;2;50;2;3;3;6;0,01;0,07;CINF;out_of_sample_val_2;33,5812993059261;1,076518894355731;-12,585523388278808;34,0;19,938587695519438;0,7384279970188963;-21,916365125841118;26,0;39,22592469391311;1,2589377166061795;-12,585515831695337;36,0;7,073403451986599;6,49538105849224;9,999991901505176;8,0;7,458709196349922
3;42;2;50;2;3;3;6;0,02;0,05;CINF;in_sample_1_2x;19,375937278320897;1,1475579485974974;-12,924923433570502;63,0;19,26020136918314;1,1426068664044509;-15,13313709396813;46,0;28,213179337758444;1,7047641714321184;-7,898327475567768;73,0;0,129270852161133;0,0880728961229605;3,052207005947271;6,296296296296297;1,4160659501389838
30;42;2;50;2;3;3;6;0,02;0,05;CINF;in_sample_2_2x;17,28992993862535;0,7650941024277638;-21,13984088051739;78,0;6,370103778039216;0,2938877067208832;-31,176911668478624;57,0;24,17879083922707;1,1042248393462593;-14,757778195201265;86,0;6,131741280571288;5,814942654549711;6,113033190391486;7,241379310344827;6,1970745216499425
57;42;2;50;2;3;3;6;0,02;0,05;CINF;in_sample_3_2x;13,637003192820774;0,9474536057389792;-11,980419141054599;36,0;-2,6217762018517;-0,20558066165109712;-25,706120253090635;25,0;14,662187847500373;1,0109645737804966;-11,926910550141379;37,0;9,406857910747604;9,477939938509678;9,961167155398059;9,166666666666666;9,472041061618128
84;42;2;50;2;3;3;6;0,02;0,05;CINF;out_of_sample_val_1;10,840637518304863;1,1298541146074497;-4,964598064837144;6,0;5,732058385425942;0,6468536552872763;-8,104552934506303;5,0;14,514954545442915;1,3392321760663641;-4,964588364537759;7,0;5,8165086320103425;6,975959606266885;9,999969106978218;5,0;6,628773459363288
111;42;2;50;2;3;3;6;0,02;0,05;CINF;out_of_sample_val_2;23,320402042779563;0,8395853204735007;-19,645764812911594;33,0;19,938587695519438;0,7384279970188963;-21,916365125841118;26,0;39,22592469391311;1,2589377166061795;-12,585515831695337;36,0;1,7533858342091377;1,9434281368427264;2,4334337007823175;7,0;2,654349639585026
4;42;2;50;2;3;3;6;0,02;0,06;CINF;in_sample_1_2x;22,85972327976189;1,2682965608531884;-12,237502054860382;57,0;19,26020136918314;1,1426068664044509;-15,13313709396813;46,0;28,213179337758444;1,7047641714321184;-7,898327475567768;73,0;4,020474442373219;2,235845613400888;4,002365220147952;4,074074074074074;3,5156505497347794
31;42;2;50;2;3;3;6;0,02;0,06;CINF;in_sample_2_2x;14,6079410447445;0,5827914636941907;-19,942644451457102;74,0;6,370103778039216;0,2938877067208832;-31,176911668478624;57,0;24,17879083922707;1,1042248393462593;-14,757778195201265;86,0;4,625740931041895;3,5652291539115417;6,84218033509846;5,862068965517241;4,815990057366352
58;42;2;50;2;3;3;6;0,02;0,06;CINF;in_sample_3_2x;11,046982721496711;0,742186974495943;-18,22863854956832;32,0;-2,6217762018517;-0,20558066165109712;-25,706120253090635;25,0;14,662187847500373;1,0109645737804966;-11,926910550141379;37,0;7,908347231178611;7,790648539351688;5,42664047120341;5,833333333333333;7,223758939539423
85;42;2;50;2;3;3;6;0,02;0,06;CINF;out_of_sample_val_1;12,570611365890795;1,2473876411543872;-4,964604099069536;6,0;5,732058385425942;0,6468536552872763;-8,104552934506303;5,0;14,514954545442915;1,3392321760663641;-4,964588364537759;7,0;7,786216364024093;8,67349242999869;9,999949889460767;5,0;7,957940548790061
112;42;2;50;2;3;3;6;0,02;0,06;CINF;out_of_sample_val_2;23,478106516563212;0,8449361961945318;-19,645792525562054;32,0;19,938587695519438;0,7384279970188963;-21,916365125841118;26,0;39,22592469391311;1,2589377166061795;-12,585515831695337;36,0;1,8351516444901441;2,0462288247006564;2,4334040007522484;6,0;2,575902369089142
