;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;28;2;50;2;2;3;6;0,01;0,05;CMI;in_sample_1_2x;56,70666664796178;1,6564499411147648;-12,197484036707905;134,0;32,84949071740575;1,0582100342979228;-26,55423134619802;99,0;56,70666664796178;1,6564499411147648;-11,98640035518832;134,0;10,0;10,0;9,855102875884645;10,0;9,979300410840665
27;28;2;50;2;2;3;6;0,01;0,05;CMI;in_sample_2_2x;65,55382155394389;1,4850129123522944;-19,775190599098423;125,0;37,039721155638475;0,9705680833363384;-35,99698185617982;99,0;81,6348494444461;1,5538733055644611;-19,775188289698097;127,0;6,393994477074261;8,81947922651657;9,999998576359442;9,285714285714286;8,015236392332806
54;28;2;50;2;2;3;6;0,01;0,05;CMI;in_sample_3_2x;26,70003071867113;1,539144290446576;-10,787698701152259;56,0;12,180197512102197;0,6783564883867439;-20,422873414287647;35,0;26,93868573281495;1,539144290446576;-8,539554689451656;56,0;9,838293048329382;10,0;8,108151381144049;10,0;9,6604329323046
81;28;2;50;2;2;3;6;0,01;0,05;CMI;out_of_sample_val_1;22,74023133651606;1,083287793776154;-8,608254584836828;20,0;-0,8442428954180459;-0,049429802035092237;-14,413588029584757;13,0;31,527970535450688;1,4142853039365124;-8,608254584836828;20,0;7,285406752398641;7,738647986824974;10,0;10,0;8,190502318692268
108;28;2;50;2;2;3;6;0,01;0,05;CMI;out_of_sample_val_2;9,397394569949903;0,4843730842791001;-11,971863271423222;45,0;-7,8274551971739825;-0,42877162793746193;-25,709960997079406;32,0;14,016398474097102;0,6629095724056463;-11,971863271423222;47,0;7,885444586079568;8,364573026718483;10,0;8,666666666666666;8,436020925477475
1;28;2;50;2;2;3;6;0,01;0,06;CMI;in_sample_1_2x;52,132563088332475;1,5147489742084697;-13,093424548933463;127,0;32,84949071740575;1,0582100342979228;-26,55423134619802;99,0;56,70666664796178;1,6564499411147648;-11,98640035518832;134,0;8,082713740744628;7,631368865706938;9,240089897783461;8,0;8,107281264490174
28;28;2;50;2;2;3;6;0,01;0,06;CMI;in_sample_2_2x;69,27063012544019;1,4842479035281175;-19,775188289698097;121,0;37,039721155638475;0,9705680833363384;-35,99698185617982;99,0;81,6348494444461;1,5538733055644611;-19,775188289698097;127,0;7,227450667047626;8,806364157509392;10,0;7,857142857142857;8,164603310472073
55;28;2;50;2;2;3;6;0,01;0,06;CMI;in_sample_3_2x;22,37826540421235;1,266442027043838;-10,787699210692391;52,0;12,180197512102197;0,6783564883867439;-20,422873414287647;35,0;26,93868573281495;1,539144290446576;-8,539554689451656;56,0;6,909967836541488;6,831945541628587;8,108150952357997;8,095238095238095;7,2281690914968175
82;28;2;50;2;2;3;6;0,01;0,06;CMI;out_of_sample_val_1;24,496992534370676;1,2133125936893672;-8,608267151781558;17,0;-0,8442428954180459;-0,049429802035092237;-14,413588029584757;13,0;31,527970535450688;1,4142853039365124;-8,608254584836828;20,0;7,828082402800552;8,626968394141558;9,999978352759838;5,714285714285714;8,06463543767576
109;28;2;50;2;2;3;6;0,01;0,06;CMI;out_of_sample_val_2;9,582187719267976;0,48728038163055637;-12,564377211977561;44,0;-7,8274551971739825;-0,42877162793746193;-25,709960997079406;32,0;14,016398474097102;0,6629095724056463;-11,971863271423222;47,0;7,970041906725929;8,391204403630923;9,568707435056451;8,0;8,32303456607087
2;28;2;50;2;2;3;6;0,01;0,07;CMI;in_sample_1_2x;46,64625197023546;1,3999210032302796;-15,263020498023128;121,0;32,84949071740575;1,0582100342979228;-26,55423134619802;99,0;56,70666664796178;1,6564499411147648;-11,98640035518832;134,0;5,783065561904566;5,711938722887229;7,750783802436395;6,285714285714286;6,11565317423412
29;28;2;50;2;2;3;6;0,01;0,07;CMI;in_sample_2_2x;59,68991807761683;1,3290620489158007;-19,77518901848414;116,0;37,039721155638475;0,9705680833363384;-35,99698185617982;99,0;81,6348494444461;1,5538733055644611;-19,775188289698097;127,0;5,07907428257428;6,145907012628463;9,999999550736458;6,071428571428571;6,2286378564492555
56;28;2;50;2;2;3;6;0,01;0,07;CMI;in_sample_3_2x;18,655193207310926;1,0739869885740978;-16,738870334629187;48,0;12,180197512102197;0,6783564883867439;-20,422873414287647;35,0;26,93868573281495;1,539144290446576;-8,539554689451656;56,0;4,387302817453497;4,596144360324639;3,100146655125002;6,190476190476191;4,52068857408728
83;28;2;50;2;2;3;6;0,01;0,07;CMI;out_of_sample_val_1;24,496992534370676;1,2133125936893672;-8,608267151781558;17,0;-0,8442428954180459;-0,049429802035092237;-14,413588029584757;13,0;31,527970535450688;1,4142853039365124;-8,608254584836828;20,0;7,828082402800552;8,626968394141558;9,999978352759838;5,714285714285714;8,06463543767576
110;28;2;50;2;2;3;6;0,01;0,07;CMI;out_of_sample_val_2;14,016398474097102;0,6629095724056463;-12,564377211977561;42,0;-7,8274551971739825;-0,42877162793746193;-25,709960997079406;32,0;14,016398474097102;0,6629095724056463;-11,971863271423222;47,0;10,0;10,0;9,568707435056451;6,666666666666667;9,46219630024616
3;28;2;50;2;2;3;6;0,02;0,05;CMI;in_sample_1_2x;52,67268575495147;1,5524875314494317;-17,10098819246206;130,0;32,84949071740575;1,0582100342979228;-26,55423134619802;99,0;56,70666664796178;1,6564499411147648;-11,98640035518832;134,0;8,309112149420994;8,262195342024174;6,489121928700211;8,857142857142858;8,113998845450629
30;28;2;50;2;2;3;6;0,02;0,05;CMI;in_sample_2_2x;68,65383981626407;1,4551883526138965;-21,55127753493509;121,0;37,039721155638475;0,9705680833363384;-35,99698185617982;99,0;81,6348494444461;1,5538733055644611;-19,775188289698097;127,0;7,089141768106545;8,308176419652037;8,905121534213801;7,857142857142857;7,806577504997196
57;28;2;50;2;2;3;6;0,02;0,05;CMI;in_sample_3_2x;26,329507478552095;1,386728342471746;-13,589766331570907;49,0;12,180197512102197;0,6783564883867439;-20,422873414287647;35,0;26,93868573281495;1,539144290446576;-8,539554689451656;56,0;9,587235328474968;8,229343543088037;5,7501673067437205;6,666666666666667;8,233889577858767
84;28;2;50;2;2;3;6;0,02;0,05;CMI;out_of_sample_val_1;21,64922135821119;1,0729391927185539;-10,765629018577927;18,0;-0,8442428954180459;-0,049429802035092237;-14,413588029584757;13,0;31,527970535450688;1,4142853039365124;-8,608254584836828;20,0;6,9483862454028085;7,667947062749105;6,283806168458987;7,142857142857143;7,086816596146109
111;28;2;50;2;2;3;6;0,02;0,05;CMI;out_of_sample_val_2;8,351884228588924;0,42035358062967665;-13,635723664094746;41,0;-7,8274551971739825;-0,42877162793746193;-25,709960997079406;32,0;14,016398474097102;0,6629095724056463;-11,971863271423222;47,0;7,40681551398684;7,778142632668439;8,788871337285489;6,0;7,509371877797554
4;28;2;50;2;2;3;6;0,02;0,06;CMI;in_sample_1_2x;46,9649386970328;1,4068865677859;-16,698487428661636;123,0;32,84949071740575;1,0582100342979228;-26,55423134619802;99,0;56,70666664796178;1,6564499411147648;-11,98640035518832;134,0;5,916646639449108;5,828373024180889;6,765416158121752;6,857142857142857;6,147034997424816
