;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;28;2;50;2;2;3;6;0,01;0,05;DHR;8,06949713683559
1;28;2;50;2;2;3;6;0,01;0,06;DHR;7,328271843435063
2;28;2;50;2;2;3;6;0,01;0,07;DHR;6,287504769876898
3;28;2;50;2;2;3;6;0,02;0,05;DHR;6,5181642657906025
4;28;2;50;2;2;3;6;0,02;0,06;DHR;6,028660872155928
5;28;2;50;2;2;3;6;0,02;0,07;DHR;5,192155337934104
6;28;2;50;2;2;3;6;0,03;0,05;DHR;6,259167283156387
7;28;2;50;2;2;3;6;0,03;0,06;DHR;5,399413447160666
8;28;2;50;2;2;3;6;0,03;0,07;DHR;5,369913514868765
9;28;2;60;2;2;3;6;0,01;0,05;DHR;5,516780564308151
10;28;2;60;2;2;3;6;0,01;0,06;DHR;4,250950048497501
11;28;2;60;2;2;3;6;0,01;0,07;DHR;4,052377278083665
12;28;2;60;2;2;3;6;0,02;0,05;DHR;4,282825080373877
13;28;2;60;2;2;3;6;0,02;0,06;DHR;2,983616032557145
14;28;2;60;2;2;3;6;0,02;0,07;DHR;2,7785743373202747
15;28;2;60;2;2;3;6;0,03;0,05;DHR;3,8404823133135273
16;28;2;60;2;2;3;6;0,03;0,06;DHR;2,534192623082044
17;28;2;60;2;2;3;6;0,03;0,07;DHR;2,7188961566312315
18;28;2;70;2;2;3;6;0,01;0,05;DHR;4,767496342072505
19;28;2;70;2;2;3;6;0,01;0,06;DHR;5,080964572639979
20;28;2;70;2;2;3;6;0,01;0,07;DHR;4,824060659360181
21;28;2;70;2;2;3;6;0,02;0,05;DHR;3,989253430136644
22;28;2;70;2;2;3;6;0,02;0,06;DHR;3,789838346851576
23;28;2;70;2;2;3;6;0,02;0,07;DHR;4,859852789114372
24;28;2;70;2;2;3;6;0,03;0,05;DHR;3,5286507936238443
25;28;2;70;2;2;3;6;0,03;0,06;DHR;3,4296378962955787
26;28;2;70;2;2;3;6;0,03;0,07;DHR;4,555932852343492
