;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;start_date;end_date;final_balance;return_acum;return_ann;sharpe_ratio;sortino_ratio;volatility;max_drawdown;trades;win_rate;profit_factor;avg_trade_return
0;49;3;80;2;3;4;6;0,01;0,05;AEE;2000-01-01;2005-08-19;37270812,91289432;272,7081291289432;22,003895518793204;1,718346723629579;4,0941423922316025;12,805271029536728;-9,97781229203295;48;64,58333333333334;5,785888089190421;2,778797350041873
1;49;3;80;2;3;4;6;0,01;0,06;AEE;2000-01-01;2005-08-19;31918932,509325728;219,18932509325728;19,178213892166653;1,4852505815421604;3,265365551313561;12,912443280953706;-9,977807837959729;43;60,46511627906976;4,989394350295803;2,7358631641628106
2;49;3;80;2;3;4;6;0,01;0,07;AEE;2000-01-01;2005-08-19;27173789,955416933;171,73789955416933;16,313570164082147;1,2292519574823813;2,498402328004617;13,271136209938447;-15,583241594533991;41;53,65853658536586;4,155665567384125;2,468183871934704
3;49;3;80;2;3;4;6;0,02;0,05;AEE;2000-01-01;2005-08-19;33832524,240055844;238,32524240055847;20,231802392885;1,5096874228510708;3,3148995900883707;13,40131876748161;-8,632246332104865;45;71,11111111111111;4,877602854686946;2,7455447678002898
4;49;3;80;2;3;4;6;0,02;0,06;AEE;2000-01-01;2005-08-19;32106153,209178984;221,06153209178981;19,28362557242218;1,4250275524102562;3,0381520551966728;13,5321071791253;-9,463448908906757;40;70,0;4,992403977804795;2,9590970100223934
5;49;3;80;2;3;4;6;0,02;0,07;AEE;2000-01-01;2005-08-19;27070211,966562025;170,70211966562024;16,246440226027925;1,1702065228479308;2,3114097820038637;13,88339571590233;-15,786994602802483;38;63,1578947368421;4,109232805793579;2,655299563565383
6;49;3;80;2;3;4;6;0,03;0,05;AEE;2000-01-01;2005-08-19;30025265,461532317;200,25265461532317;18,08142247978328;1,3778393443129273;2,9157668460309374;13,123026682620791;-10,464737456997387;43;72,09302325581395;4,041954137563898;2,5898408980720156
7;49;3;80;2;3;4;6;0,03;0,06;AEE;2000-01-01;2005-08-19;29961165,23611952;199,6116523611952;18,043279636735843;1,347092446836586;2,784878205265587;13,394240075436079;-10,464739903062148;38;73,68421052631578;4,511709353774823;2,9297765209457927
8;49;3;80;2;3;4;6;0,03;0,07;AEE;2000-01-01;2005-08-19;23122658,88551177;131,2265888551177;13,509315536559384;0,9989575983038146;1,8826261279174823;13,523412364546402;-19,650727813276248;35;65,71428571428571;3,207274545086111;2,42384928920778
9;49;3;90;2;3;4;6;0,01;0,05;AEE;2000-01-01;2005-08-19;35491949,10926277;254,9194910926277;21,105258423826957;1,6747117989945148;3,9299061916490063;12,602322642318759;-10,414225150280366;47;65,95744680851064;5,55975404527937;2,7318010359833833
10;49;3;90;2;3;4;6;0,01;0,06;AEE;2000-01-01;2005-08-19;29907763,463091064;199,07763463091064;18,01144998039874;1,3783044703197076;2,9068683063990193;13,067831069444951;-10,414223276398381;46;58,69565217391305;4,2589302297443705;2,41018279245635
11;49;3;90;2;3;4;6;0,01;0,07;AEE;2000-01-01;2005-08-19;22372814,57552158;123,7281457552158;12,94504552274034;0,9934136239868108;1,8732081972489179;13,030871743824813;-15,583239502473367;42;50,0;3,28678723238071;1,9357899480658247
12;49;3;90;2;3;4;6;0,02;0,05;AEE;2000-01-01;2005-08-19;31747755,277994532;217,47755277994534;19,08137493754234;1,492912621182983;3,2390405344730495;12,781307269290998;-9,0057112618961;43;72,09302325581395;5,04170036290281;2,7230148295856793
13;49;3;90;2;3;4;6;0,02;0,06;AEE;2000-01-01;2005-08-19;26640352,877219647;166,40352877219647;15,965492882301557;1,22317390160157;2,4291339259266995;13,052512697824117;-9,005716101200134;41;65,85365853658537;3,7406716394818984;2,418648269612067
14;49;3;90;2;3;4;6;0,02;0,07;AEE;2000-01-01;2005-08-19;20023062,553945087;100,23062553945088;11,066297826064474;0,851551304950105;1,5235358458733286;12,99545636503121;-16,291515774867527;37;59,45945945945946;2,8989894967230714;1,8942048107934983
15;49;3;90;2;3;4;6;0,03;0,05;AEE;2000-01-01;2005-08-19;28648598,341418646;186,48598341418648;17,246587367421373;1,380859374466557;2,897177741376581;12,489749272321045;-9,952948166857123;41;73,17073170731707;4,4148159923907775;2,6003573114159018
16;49;3;90;2;3;4;6;0,03;0,06;AEE;2000-01-01;2005-08-19;24831847,51164916;148,3184751164916;14,739624179749299;1,142485296208198;2,201166643293529;12,901368821698394;-9,952941105896308;39;69,23076923076923;3,467325428107272;2,359567996208467
17;49;3;90;2;3;4;6;0,03;0,07;AEE;2000-01-01;2005-08-19;17865262,010818753;78,65262010818753;9,168212803873965;0,7185092251658652;1,2428036154587978;12,760048838283902;-19,650736001598357;34;58,82352941176471;2,4430569652706637;1,7213361213065381
18;49;3;100;2;3;4;6;0,01;0,05;AEE;2000-01-01;2005-08-19;37300751,904238924;273,0075190423892;22,018705650617964;1,7954634565049035;4,297772000079104;12,263522028724637;-9,070199900224818;46;67,3913043478261;6,468876245940134;2,903146679316926
19;49;3;100;2;3;4;6;0,01;0,06;AEE;2000-01-01;2005-08-19;30549236,37244442;205,4923637244442;18,39064612960999;1,457050451286627;3,1202908014140447;12,621832080948469;-9,130290477927371;42;59,523809523809526;4,860260980225514;2,694607985646602
20;49;3;100;2;3;4;6;0,01;0,07;AEE;2000-01-01;2005-08-19;25543636,110501442;155,4363611050144;15,230867998005039;1,214365834504111;2,409788765721174;12,542240209042605;-14,439342741109373;39;53,84615384615385;4,195569437765275;2,433769926059459
21;49;3;100;2;3;4;6;0,02;0,05;AEE;2000-01-01;2005-08-19;33700898,85919011;237,00898859190107;20,160973937837912;1,627840183307558;3,6076987012634243;12,385106440162605;-8,23004902813248;41;75,60975609756098;7,010414879254979;3,007611650368114
22;49;3;100;2;3;4;6;0,02;0,06;AEE;2000-01-01;2005-08-19;28807694,197548874;188,07694197548875;17,3447846183554;1,3503613756465527;2,744975612409548;12,84455030421077;-9,707710785948986;37;70,27027027027027;5,230416795329553;2,9008977990653495
23;49;3;100;2;3;4;6;0,02;0,07;AEE;2000-01-01;2005-08-19;24817584,393346213;148,17584393346212;14,729658895016652;1,1355678422311728;2,1616564984037914;12,971183532351269;-14,4393468156631;35;65,71428571428571;4,491086158791932;2,631069632454497
24;49;3;100;2;3;4;6;0,03;0,05;AEE;2000-01-01;2005-08-19;36469075,276494674;264,69075276494675;21,603488291358076;1,699681654306106;3,841157705241218;12,710314450136067;-8,069420022659424;40;80,0;8,429708383566103;3,2875877066046
25;49;3;100;2;3;4;6;0,03;0,06;AEE;2000-01-01;2005-08-19;32257501,7890671;222,575017890671;19,368459311264765;1,4496555014699113;3,004457542980467;13,360732457901669;-9,220128940746319;36;77,77777777777779;6,528744871734123;3,3067387153116856
26;49;3;100;2;3;4;6;0,03;0,07;AEE;2000-01-01;2005-08-19;26713236,93871671;167,1323693871671;16,01339807517448;1,1944011751690455;2,307956797611282;13,407051506716808;-13,393354556940295;33;72,72727272727273;4,909984447537339;3,0222715431528657
