;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;49;3;50;2;3;4;6;0,01;0,05;MAR;in_sample_1_2x;38,398135827085355;1,6902058550989774;-9,883483295715834;60,0;31,339930333121124;1,3393017053377239;-18,123484935824308;48,0;46,26401841108674;1,829642746614803;-8,857706467805004;61,0;4,729404876928584;7,15632835561416;8,892940478286542;9,23076923076923;6,66065443586712
27;49;3;50;2;3;4;6;0,01;0,05;MAR;in_sample_2_2x;37,56087802695336;1,7710323858686592;-8,596582313568602;71,0;21,821853590992557;1,095721196484041;-19,293021595062953;55,0;38,74630171537638;2,0156105911112925;-8,596582313568602;71,0;9,299579117906285;7,341221600432312;10,0;10,0;8,940168650654783
54;49;3;50;2;3;4;6;0,01;0,05;MAR;in_sample_3_2x;14,147197449823757;1,2001120620535686;-11,380935630903844;31,0;3,996269926776974;0,2867950718213873;-24,209805525728456;22,0;14,578182047296018;1,2820750692320095;-10,379917835550835;33,0;9,592715765767368;9,176482925491513;9,276192390149372;8,181818181818182;9,227017674321813
81;49;3;50;2;3;4;6;0,01;0,05;MAR;out_of_sample_val_1;14,598854124397299;1,3144438558882954;-5,986919128719181;11,0;3,0972096051708364;0,30748003542600927;-11,40365122314403;8,0;14,598854124397299;1,3403092425403247;-5,986919128719181;12,0;10,0;9,749567629634564;10,0;7,5;9,571305037038446
108;49;3;50;2;3;4;6;0,01;0,05;MAR;out_of_sample_val_2;17,90431929943972;1,0383034850816857;-15,123925842879139;25,0;9,566523184608888;0,6091860171845339;-24,178784337610214;20,0;21,111009556431682;1,0500513315760653;-10,8881782918947;27,0;7,222318816349689;9,733527539797645;6,812976371118973;7,142857142857143;7,8699778632314965
1;49;3;50;2;3;4;6;0,01;0,06;MAR;in_sample_1_2x;38,06774070818266;1,6575425526568277;-9,986463926131883;57,0;31,339930333121124;1,3393017053377239;-18,123484935824308;48,0;46,26401841108674;1,829642746614803;-8,857706467805004;61,0;4,50802108639032;6,490193977853754;8,781799648866235;6,923076923076923;6,0299039695459475
28;49;3;50;2;3;4;6;0,01;0,06;MAR;in_sample_2_2x;37,64727912134709;1,7032342245771683;-10,237696542384288;68,0;21,821853590992557;1,095721196484041;-19,293021595062953;55,0;38,74630171537638;2,0156105911112925;-8,596582313568602;71,0;9,3506301736091;6,604196457110996;8,465737816457354;8,125;8,264431607358093
55;49;3;50;2;3;4;6;0,01;0,06;MAR;in_sample_3_2x;12,451829795819114;0,9143480983062023;-11,381000147246468;30,0;3,996269926776974;0,2867950718213873;-24,209805525728456;22,0;14,578182047296018;1,2820750692320095;-10,379917835550835;33,0;7,990578425468341;6,305291255902793;9,276145740209712;7,2727272727272725;7,590170114449656
82;49;3;50;2;3;4;6;0,01;0,06;MAR;out_of_sample_val_1;6,112300245859337;0,48554352629992126;-7,822895755077896;10,0;3,0972096051708364;0,30748003542600927;-11,40365122314403;8,0;14,598854124397299;1,3403092425403247;-5,986919128719181;12,0;2,6214430776819717;1,7240361682975103;6,610545630919448;5,0;3,2747067429371977
109;49;3;50;2;3;4;6;0,01;0,06;MAR;out_of_sample_val_2;21,111009556431682;1,033916536817029;-16,347242435958986;24,0;9,566523184608888;0,6091860171845339;-24,178784337610214;20,0;21,111009556431682;1,0500513315760653;-10,8881782918947;27,0;10,0;9,634019864291092;5,892539342986454;5,714285714285714;8,69640925512205
2;49;3;50;2;3;4;6;0,01;0,07;MAR;in_sample_1_2x;36,770856033574994;1,4992258246142607;-10,15515387102387;53,0;31,339930333121124;1,3393017053377239;-18,123484935824308;48,0;46,26401841108674;1,829642746614803;-8,857706467805004;61,0;3,63903353563844;3,261487532432917;8,599742690053526;3,8461538461538463;4,269424601141218
29;49;3;50;2;3;4;6;0,01;0,07;MAR;in_sample_2_2x;35,367451064907684;1,5545864255122874;-10,237690252379162;64,0;21,821853590992557;1,095721196484041;-19,293021595062953;55,0;38,74630171537638;2,0156105911112925;-8,596582313568602;71,0;8,003568195762535;4,988265238280992;8,465743696923704;5,625;6,86828268011047
56;49;3;50;2;3;4;6;0,01;0,07;MAR;in_sample_3_2x;10,586480008732547;0,7620297447034831;-17,36303174942664;28,0;3,996269926776974;0,2867950718213873;-24,209805525728456;22,0;14,578182047296018;1,2820750692320095;-10,379917835550835;33,0;6,227806474764338;4,77488419458337;4,9507081544592655;5,454545454545454;5,519777346066354
83;49;3;50;2;3;4;6;0,01;0,07;MAR;out_of_sample_val_1;6,832359839310342;0,516139995194523;-7,822888196412969;9,0;3,0972096051708364;0,30748003542600927;-11,40365122314403;8,0;14,598854124397299;1,3403092425403247;-5,986919128719181;12,0;3,2474923285063513;2,020275553123653;6,610559585209221;2,5;3,270512525282226
110;49;3;50;2;3;4;6;0,01;0,07;MAR;out_of_sample_val_2;19,251150619328406;0,9387479709321327;-21,01087067792272;23,0;9,566523184608888;0,6091860171845339;-24,178784337610214;20,0;21,111009556431682;1,0500513315760653;-10,8881782918947;27,0;8,388963460823405;7,475343216838229;2,3835735171073944;4,285714285714286;6,683837802709765
