Date;Open;High;Low;Close;Adj Close;Volume
1999-01-04;18,0625;18,0625;17,5;17,875;11,860623359680176;896100
1999-01-05;17,5625;18,5625;17,375;18,4375;12,233856201171875;1119100
1999-01-06;18,9375;19,5;18,5;19,5;12,938860893249512;1328900
1999-01-07;19,8125;20,75;19,5625;20,625;13,685330390930176;1860400
1999-01-08;20,5;20,5;19,8125;20,25;13,43651008605957;1891500
1999-01-11;20,1875;21,25;19,9375;20,5625;13,643857955932617;2316800
1999-01-12;19,5;19,875;19,5;19,8125;13,14621639251709;1716800
1999-01-13;19,0;19,5625;19,0;19,375;12,855917930603027;805100
1999-01-14;19,375;20,125;19,0625;19,375;12,855917930603027;1084400
1999-01-15;19,0;19,5625;19,0;19,3125;12,814447402954102;849700
1999-01-19;19,25;19,375;18,625;18,75;12,441213607788086;932400
1999-01-20;18,5625;19,0;18,1875;19,0;12,607096672058105;975800
1999-01-21;19,1875;19,5;18,5;18,8125;12,482684135437012;1047100
1999-01-22;18,375;18,75;18,375;18,5625;12,316798210144043;728000
1999-01-25;18,8125;19,3125;18,5625;18,625;12,358271598815918;1948600
1999-01-26;18,5625;18,625;17,75;17,9375;11,902092933654785;1302800
1999-01-27;17,625;17,625;17,1875;17,1875;11,404440879821777;1316400
1999-01-28;17,4375;17,875;17,3125;17,3125;11,487383842468262;968900
1999-01-29;17,3125;17,9375;17,3125;17,6875;11,736210823059082;996700
1999-02-01;18,0;18,5;17,625;18,4375;12,233856201171875;1182900
1999-02-02;18,4375;18,9375;18,140625;18,5625;12,316798210144043;1310800
1999-02-03;18,1875;18,25;17,8125;17,9375;11,902092933654785;752800
1999-02-04;18,3125;19,6875;18,0;19,375;12,855917930603027;1763500
1999-02-05;19,5;19,875;18,9375;19,3125;12,814447402954102;1265600
1999-02-08;19,375;20,0625;19,0625;19,8125;13,14621639251709;1440700
1999-02-09;19,3125;19,3125;18,5;18,5;12,275331497192383;700800
1999-02-10;18,6875;19,0;18,5625;18,875;12,52415657043457;822600
1999-02-11;18,875;19,0625;18,0625;18,1875;12,06796932220459;924000
1999-02-12;19,125;19,5;18,75;19,4375;12,897384643554688;996000
1999-02-16;18,5625;18,75;18,1875;18,25;12,109450340270996;1216300
1999-02-17;18,375;18,375;17,625;17,75;11,777681350708008;1033000
1999-02-18;17,8125;18,1875;17,25;17,75;11,777681350708008;1658700
1999-02-19;17,75;18,0;17,375;17,6875;11,736210823059082;1187700
1999-02-22;17,6875;17,75;17,5;17,625;11,694740295410156;558400
1999-02-23;17,6875;17,8125;17,5;17,625;11,694740295410156;571100
1999-02-24;17,5625;18,25;17,5;17,75;11,777681350708008;1177700
1999-02-25;17,625;17,8125;17,3125;17,75;11,777681350708008;1212300
1999-02-26;17,75;17,75;16,875;17,25;11,445919036865234;1102800
1999-03-01;17,25;17,375;16,9375;17,3125;11,50739574432373;546400
1999-03-02;17,5625;18,375;17,5;17,5;11,632028579711914;1800000
1999-03-03;17,8125;18,0625;17,5625;18,0625;12,005912780761719;1117200
1999-03-04;18,3125;18,5625;18,0;18,4375;12,255175590515137;1095700
1999-03-05;18,0625;18,4375;17,875;18,125;12,047457695007324;905000
1999-03-08;18,5;19,5;18,4375;19,5;12,96139907836914;1881200
1999-03-09;20,0625;20,1875;19,0;19,0;12,629059791564941;2335500
1999-03-10;19,0625;19,625;19,0;19,5;12,96139907836914;903400
1999-03-11;19,75;20,4375;19,625;19,6875;13,086024284362793;1971500
1999-03-12;19,4375;19,4375;18,625;18,625;12,379802703857422;1239400
1999-03-15;18,6875;18,6875;17,75;17,8125;11,839738845825195;1296200
1999-03-16;17,75;18,3125;17,375;18,3125;12,172087669372559;1173000
1999-03-17;18,5;18,5625;17,9375;18,3125;12,172087669372559;972700
1999-03-18;18,25;18,375;17,625;17,6875;11,756659507751465;1311400
1999-03-19;17,875;18,0625;17,625;17,8125;11,839738845825195;1325700
1999-03-22;17,9375;18,25;17,8125;17,8125;11,839738845825195;661200
1999-03-23;17,875;18,0625;17,5625;17,625;11,715110778808594;1146400
1999-03-24;17,6875;18,25;17,5625;18,25;12,130546569824219;826600
1999-03-25;18,25;18,25;17,75;18,1875;12,088996887207031;873900
1999-03-26;17,5625;17,6875;17,25;17,5625;11,673564910888672;1381500
1999-03-29;17,625;17,75;16,875;17,0625;11,341230392456055;1942700
1999-03-30;16,8125;16,9375;16,625;16,625;11,050426483154297;945000
1999-03-31;16,8125;17,8125;16,8125;17,5;11,632028579711914;1450600
1999-04-01;17,5;17,8125;17,1875;17,1875;11,424308776855469;772800
1999-04-05;17,0625;17,0625;16,6875;16,75;11,133509635925293;619600
1999-04-06;16,6875;17,375;16,6875;17,0625;11,341230392456055;994000
1999-04-07;17,25;17,4375;16,8125;16,8125;11,175052642822266;589500
1999-04-08;17,0;17,25;16,625;16,75;11,133509635925293;707800
1999-04-09;16,6875;17,8125;16,6875;17,8125;11,839738845825195;1442100
1999-04-12;18,25;18,875;18,125;18,75;12,462886810302734;2015100
1999-04-13;18,75;19,125;18,5625;18,6875;12,421340942382812;1387800
1999-04-14;18,5;18,8125;17,875;17,9375;11,922823905944824;1677500
1999-04-15;18,375;19,75;18,109375;19,5;12,96139907836914;1973100
1999-04-16;19,9375;21,25;19,875;21,25;14,124602317810059;3956500
1999-04-19;21,25;22,1875;20,625;22,0625;14,664671897888184;2668400
1999-04-20;22,1875;22,1875;20,875;21,5625;14,332315444946289;1990000
1999-04-21;21,1875;21,3125;20,375;20,8125;13,8338041305542;1685100
1999-04-22;20,375;21,4375;19,875;21,4375;14,24923038482666;1812600
1999-04-23;21,4375;21,75;20,875;21,3125;14,166153907775879;1024600
1999-04-26;20,9375;20,9375;19,9375;20,1875;13,418375968933105;932100
1999-04-27;20,625;22,0;20,25;22,0;14,623119354248047;1755000
1999-04-28;22,375;23,3125;22,125;23,25;15,45398235321045;2580200
1999-04-29;23,0;24,25;22,3125;23,875;15,869412422180176;2639000
1999-04-30;23,75;24,1875;23,5625;24,0625;15,994044303894043;1778100
1999-05-03;23,6875;24,5625;23,1875;24,5625;16,326374053955078;1432900
1999-05-04;24,0;24,25;23,625;23,875;15,869412422180176;1337000
1999-05-05;23,875;25,6875;23,6875;25,6875;17,074155807495117;2519000
1999-05-06;26,4375;26,4375;25,8125;26,0625;17,323406219482422;2948800
1999-05-07;23,0;23,4375;21,5625;22,75;15,121644020080566;6210200
1999-05-10;21,625;21,8125;20,375;20,4375;13,584546089172363;3702100
1999-05-11;20,75;21,0625;20,1875;20,875;13,875344276428223;2788100
1999-05-12;20,375;21,0;20,3125;20,3125;13,501461029052734;1894200
1999-05-13;20,4375;20,8125;20,375;20,8125;13,8338041305542;1634200
