;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;start_date;end_date;final_balance;return_acum;return_ann;sharpe_ratio;sortino_ratio;volatility;max_drawdown;trades;win_rate;profit_factor;avg_trade_return
0;49;3;80;2;3;4;6;0,04;0,05;WY;2008-01-15;2013-10-29;72230123,73737045;622,3012373737045;33,64683805525581;1,429647448697665;3,5470147506637253;23,5350597001424;-14,462457393138116;60;80,0;4,945249554501034;3,350358549837673
1;49;3;80;2;3;4;6;0,04;0,06;WY;2008-01-15;2013-10-29;89709331,05841106;797,0933105841107;37,96353295966539;1,4931440731213033;3,7890836967983157;25,425230989468776;-14,462458609577112;56;78,57142857142857;5,398278041975748;3,995602426884237
2;49;3;80;2;3;4;6;0,04;0,07;WY;2008-01-15;2013-10-29;105082409,24579144;950,8240924579143;41,2018085301912;1,4837622736802918;3,869306023433672;27,768470233439167;-14,462459380106507;54;77,77777777777779;5,777378602824715;4,4521155579808624
3;49;3;80;2;3;4;6;0,05;0,05;WY;2008-01-15;2013-10-29;91604560,31352352;816,0456031352352;38,38725811110712;1,5250086634557583;4,044857210141208;25,171829531852865;-14,462451863366732;58;84,48275862068965;6,693939840889887;3,8926419251401834
4;49;3;80;2;3;4;6;0,05;0,06;WY;2008-01-15;2013-10-29;110851339,01849413;1008,5133901849414;42,31310299211586;1,5730372800982877;4,2470802432409105;26,898982959559625;-14,46245344282553;54;83,33333333333334;7,208328286251786;4,55554585079907
5;49;3;80;2;3;4;6;0,05;0,07;WY;2008-01-15;2013-10-29;125786925,83033201;1157,86925830332;44,976276809438275;1,5500076403787417;4,281802757209667;29,01680974840124;-14,462455338844226;52;82,6923076923077;7,641160048889222;4,989738267943644
6;49;3;80;2;3;4;6;0,06;0,05;WY;2008-01-15;2013-10-29;78018313,68825383;680,1831368825384;35,166585782104185;1,3874006768183462;3,478248997534448;25,347101504051366;-18,652331426782233;56;85,71428571428571;5,439453263025241;3,736620176685701
7;49;3;80;2;3;4;6;0,06;0,06;WY;2008-01-15;2013-10-29;95338728,9850415;853,387289850415;39,20068506425576;1,4443884591723601;3,6968528227916164;27,139987733436953;-18,65233645086559;52;84,61538461538461;5,891441481528388;4,431645829153252
8;49;3;80;2;3;4;6;0,06;0,07;WY;2008-01-15;2013-10-29;116598672,78142667;1065,9867278142667;43,37220113118136;1,4687341266487066;3,9097425276594397;29,53032842652479;-18,65233773297632;50;84,0;6,201497315330321;5,034963835860218
9;49;3;90;2;3;4;6;0,04;0,05;WY;2008-01-15;2013-10-29;42116589,19473808;321,1658919473808;23,47986925784584;1,131366991385923;2,3277411502965464;20,75353924643235;-21,420947591648332;57;73,68421052631578;3,0754231977306796;2,5546439254470865
10;49;3;90;2;3;4;6;0,04;0,06;WY;2008-01-15;2013-10-29;56191842,17401801;461,9184217401801;28,814192676290528;1,2334343885258081;2,674876096448468;23,360944809337646;-21,420938270248946;52;73,07692307692307;3,6107249987664156;3,3753054194481935
11;49;3;90;2;3;4;6;0,04;0,07;WY;2008-01-15;2013-10-29;62180217,06808335;521,8021706808336;30,741856227433615;1,2455902205082845;2,838922564957364;24,68055362130964;-21,42094065958147;50;74,0;3,947932383801532;3,72251929670937
12;49;3;90;2;3;4;6;0,05;0,05;WY;2008-01-15;2013-10-29;62982590,77163701;529,8259077163701;30,987971072962274;1,293473971733592;2,9702472563064037;23,95716632119804;-21,420937196273716;54;81,48148148148148;4,926390937574648;3,466650419767281
13;49;3;90;2;3;4;6;0,05;0,06;WY;2008-01-15;2013-10-29;76109112,91603836;661,0911291603837;34,67626341423298;1,3286545545155461;3,1172967627825754;26,098780376270664;-21,42094740104885;50;80,0;5,348252623833578;4,142679458179299
14;49;3;90;2;3;4;6;0,05;0,07;WY;2008-01-15;2013-10-29;87792231,19800779;777,9223119800779;37,52707415642978;1,3693446282164596;3,3689481409578974;27,40513482373531;-21,420949213637364;48;79,16666666666666;5,645647206488728;4,629788841714699
15;49;3;90;2;3;4;6;0,06;0,05;WY;2008-01-15;2013-10-29;54577089,02489044;445,7708902489044;28,264447212646317;1,156431744687693;2,5406985854463766;24,441085556916665;-25,79075184537324;54;81,48148148148148;3,868761698471794;3,192551553525713
16;49;3;90;2;3;4;6;0,06;0,06;WY;2008-01-15;2013-10-29;65951797,06828245;559,5179706828245;31,876057615372066;1,2021225166048746;2,7070560901476908;26,516479955303424;-25,790758807603186;50;80,0;4,20005540912781;3,8447501062248257
17;49;3;90;2;3;4;6;0,06;0,07;WY;2008-01-15;2013-10-29;77091508,84621297;670,9150884621297;34,929857418028895;1,2558495394106035;2,9696016277798156;27,813727936248007;-25,790767715128283;48;79,16666666666666;4,528708942291213;4,346843753613983
18;49;3;100;2;3;4;6;0,04;0,05;WY;2008-01-15;2013-10-29;45049058,39460323;350,4905839460323;24,70505313562965;1,219411673905759;2,598480381846141;20,259813534915327;-16,69685435989824;53;75,47169811320755;3,5547914341227416;2,8806515022046897
