;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;14;3;50;2;3;3;6;0,02;0,05;AEP;-0,7996871482166693;-0,25207313583889485;-19,33478596644869;22,0;1,7116171025573945;1,7460304314111363;1,3199951991899472;3,6416184971098264;1,9412179809706043
1;14;3;50;2;3;4;6;0,02;0,05;AEP;0,38751083023675914;-0,020523719764320953;-17,42839946717498;21,333333333333332;2,503479782001903;3,5221751370418373;2,7342791482721007;3,4104046242774557;2,9570676275198484
2;14;3;100;2;3;3;6;0,02;0,05;AEP;1,8841252501174226;0,184456808136404;-16,837645057161726;20,0;3,50172365213201;5,094518032827862;3,1725399522851108;2,9479768786127165;3,830674836135654
3;14;3;100;2;3;4;6;0,02;0,05;AEP;1,190704495572814;0,06757949360604358;-17,46715973054303;20,666666666666668;3,0392110580729845;4,197987923053903;2,7055242140735447;3,1791907514450872;3,342617712263628
4;14;4;50;2;3;3;6;0,02;0,05;AEP;0,9180836564991635;0,024538005732471585;-12,685996241383961;14,0;2,857372584609193;3,867829842307581;6,252508408113654;0,8670520231213872;3,346762552811112
5;14;4;50;2;3;4;6;0,02;0,05;AEP;0,736102284711665;0,012109466059858659;-12,598085140195098;13,5;2,735990760104773;3,772494318200178;6,317726693810135;0,6936416184971098;3,2520470327174174
6;14;4;100;2;3;3;6;0,02;0,05;AEP;-3,130212973336227;-0,47153854049526117;-21,114075781959173;15,5;0,15715318172265227;0,06257847909024311;0,0;1,3872832369942196;0,2834142486203804
7;14;4;100;2;3;4;6;0,02;0,05;AEP;-3,3658244555941574;-0,4796966653632659;-20,833392820417668;15,5;0,0;0,0;0,2082292375865171;1,3872832369942196;0,22793035351153382
8;21;3;50;2;3;3;6;0,02;0,05;AEP;5,577870682682881;0,48371607930832156;-12,841732822680223;26,666666666666668;5,965456920299748;7,3900443144908525;6,136972682647625;5,2601156069364166;6,296221097066427
9;21;3;50;2;3;4;6;0,02;0,05;AEP;4,696007651251432;0,4070954537844497;-13,591950939691941;27,0;5,377253069176229;6,802310945634039;5,580411124115535;5,375722543352601;5,8132163951807
10;21;3;100;2;3;3;6;0,02;0,05;AEP;3,642135309355584;0,374852954376732;-15,033028304799169;23,333333333333332;4,674318772123902;6,554988600407847;4,511324353078694;4,104046242774565;5,106900587577237
11;21;3;100;2;3;4;6;0,02;0,05;AEP;2,1248161690411513;0,2217043666341171;-14,258358395387106;23,333333333333332;3,6622648250753747;5,380232654548506;5,086025873014871;4,104046242774565;4,419618842873224
