;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;14;3;50;2;3;3;6;0,02;0,05;CSCO;6,597015579112682;0,6416365427151807;-13,337071750715305;20,333333333333332;2,8828680291037942;5,877493256489392;7,804306531627079;3,043478260869565;4,464482198969544
1;14;3;50;2;3;4;6;0,02;0,05;CSCO;4,6859205696944715;0,43517316709085113;-14,789734248135659;19,333333333333332;2,1077397516180074;4,1532499317981095;6,797471030018115;2,7173913043478257;3,449225921830883
2;14;3;100;2;3;3;6;0,02;0,05;CSCO;2,6841514383585987;0,25422974471193377;-17,569278034571155;22,333333333333332;1,295834612914855;2,642132101625044;4,87097856020525;3,695652173913043;2,534056968016135
3;14;3;100;2;3;4;6;0,02;0,05;CSCO;4,351398193927299;0,4087909069596389;-13,553248372611213;23,0;1,9720595517163821;3,9329230298284257;7,654475240512172;3,91304347826087;3,6213633476541487
4;14;4;50;2;3;3;6;0,02;0,05;CSCO;1,6600556751753426;0,2214967752916221;-10,16912470053774;11,0;0,8804677258764211;2,3687683447377648;9,999999999999998;0,0;2,4827056953006843
5;14;4;50;2;3;4;6;0,02;0,05;CSCO;0,4764330545547646;0,06682120691558063;-12,482983488862647;11,0;0,40039773532470024;1,0770219734564461;8,396272239468928;0,0;1,6787870560508458
6;14;4;100;2;3;3;6;0,02;0,05;CSCO;0,9898812121507561;0,13093574673767353;-15,686182040949099;13,5;0,6086491221025822;1,6124635110638068;6,176146073432282;0,8152173913043479;1,7203196933102842
7;14;4;100;2;3;4;6;0,02;0,05;CSCO;-0,23094013363946786;-0,038881082051551136;-14,381905977778409;13,5;0,11349155943994219;0,19426751104859175;7,080135435469919;0,8152173913043479;1,232051789598754
8;21;3;50;2;3;3;6;0,02;0,05;CSCO;5,088305750658861;0,3343896043941499;-21,34604299209181;32,333333333333336;2,2709446842192835;3,3115733647415606;2,253315443536987;6,956521739130436;3,235116852115485
9;21;3;50;2;3;4;6;0,02;0,05;CSCO;5,517865997581633;0,3477902591977135;-20,999476400881033;31,0;2,445171654952141;3,4234866254913956;2,493519584775749;6,521739130434783;3,3139638472928215
10;21;3;100;2;3;3;6;0,02;0,05;CSCO;8,133801707743501;0,6112845945156686;-17,791391422172982;29,666666666666668;3,506178947126804;5,624014188271459;4,717032516704245;6,086956521739132;4,652936322338101
11;21;3;100;2;3;4;6;0,02;0,05;CSCO;7,839843022958355;0,5461958542144822;-20,855718577767192;29,333333333333332;3,386951128590004;5,080436783138399;2,59315764950315;5,978260869565217;4,127592210159311
12;21;4;50;2;3;3;6;0,02;0,05;CSCO;8,356941273440087;0,8683801640391975;-10,83013502901567;16,5;3,596682970393536;7,771103560505913;9,541855959781689;1,7934782608695654;5,381084321834812
13;21;4;50;2;3;4;6;0,02;0,05;CSCO;7,611725722613871;0,7613486914207963;-10,606991688436528;16,0;3,2944281670369016;6,87724864974464;9,696515860234594;1,6304347826086958;4,994961777634754
14;21;4;100;2;3;3;6;0,02;0,05;CSCO;6,30200675018313;0,5630152113437741;-15,195389155834233;22,5;2,7632142786181624;5,220900747597396;6,516312974930908;3,7500000000000004;4,14253675799717
15;21;4;100;2;3;4;6;0,02;0,05;CSCO;7,53239841456571;0,6009744882505021;-17,86917094569348;23,0;3,2622535031180866;5,537911111390077;4,6631237899919284;3,91304347826087;4,20553571434103
16;28;3;50;2;3;3;6;0,02;0,05;CSCO;14,479508046297738;0,8361604420742133;-17,13707617323461;35,0;6,079958062970752;7,502026101351038;5,170536219763378;7,82608695652174;6,6057927954142075
17;28;3;50;2;3;4;6;0,02;0,05;CSCO;10,039387657202402;0,5779688041053052;-17,178368177705796;32,0;4,2790727840767815;5,345783102258382;5,141916870046557;6,847826086956522;5,0740753591071694
18;28;3;100;2;3;3;6;0,02;0,05;CSCO;6,544362813818528;0,31344901345979354;-21,66530977392098;35,0;2,86151239421061;3,1366916259127207;2,0320327085583636;7,82608695652174;3,530862871362482
19;28;3;100;2;3;4;6;0,02;0,05;CSCO;7,623150814716688;0,37276340783864387;-18,10181336692635;34,666666666666664;3,2990621135011686;3,632045575525211;4,501880108618263;7,717391304347825;4,197221272074288
20;28;4;50;2;3;3;6;0,02;0,05;CSCO;4,341976837290684;0,36251377766660864;-17,001904518689326;20,5;1,9682383079240382;3,546447554320507;5,264223239872382;3,097826086956522;3,0513799084631477
21;28;4;50;2;3;4;6;0,02;0,05;CSCO;2,8903502397463754;0,2592317468753914;-16,389778741416634;19,0;1,3794675672952856;2,683905461255307;5,688485561714224;2,608695652173913;2,5433421197549437
22;28;4;100;2;3;3;6;0,02;0,05;CSCO;2,2894116716369095;0,11203243417575268;-17,98601973043857;23,5;1,1357306128906643;1,4545957517051147;4,582136289447142;4,076086956521739;2,139229512578729
23;28;4;100;2;3;4;6;0,02;0,05;CSCO;-0,5107559514293702;-0,06214295323345659;-17,283045546676252;22,0;0,0;0,0;5,069365336926074;3,586956521739131;1,2366174083807435
24;35;3;50;2;3;3;6;0,02;0,05;CSCO;24,1444535787539;1,135271429456967;-16,677989322633827;39,333333333333336;10,0;10,0;5,4887277751504975;9,239130434782611;9,2468368871333
25;35;3;50;2;3;4;6;0,02;0,05;CSCO;18,156339897708026;0,9409670988306237;-16,868231068387434;39,333333333333336;7,57125824718093;8,377300845595588;5,356871859648487;9,239130434782611;7,723482675309294
26;35;3;100;2;3;3;6;0,02;0,05;CSCO;12,849146854769943;0,6916025376116656;-15,778585184244369;35,666666666666664;5,418693680069489;6,29477565779326;6,11210176493313;8,043478260869565;6,143030340228241
