;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;14;3;50;2;3;3;6;0,02;0,05;GE;8,487639627001927;0,6534415905766737;-15,81780289669519;25,0;6,064233047655821;6,584994223643635;6,996534330641055;4,628571428571429;6,141113335638174
1;14;3;50;2;3;4;6;0,02;0,05;GE;7,993803343622918;0,6045018975231685;-14,640339518323195;23,666666666666668;5,729697176756734;6,130768602482923;7,760495982858969;4,171428571428573;5,911793327074799
2;14;3;100;2;3;3;6;0,02;0,05;GE;8,18985987881576;0,609220670063025;-16,2291779474119;25,666666666666668;5,862510309273887;6,174565104959739;6,729626018077403;4,8571428571428585;5,931918573280201
3;14;3;100;2;3;4;6;0,02;0,05;GE;9,203022487863178;0,7190844203242582;-12,20640235182602;24,0;6,548849582404899;7,194247229874083;9,339682812162055;4,2857142857142865;6,808634329262744
4;14;4;50;2;3;3;6;0,02;0,05;GE;7,66479657119622;0,7814785711170325;-11,700065736304587;14,0;5,506820545674949;7,773348162723378;9,668204076158407;0,8571428571428572;6,084643556538981
5;14;4;50;2;3;4;6;0,02;0,05;GE;7,660253954718277;0,7502161467110462;-12,514089127764882;14,0;5,5037432745007635;7,483191170335339;9,14004951398096;0,8571428571428572;5,9249720764709695
6;14;4;100;2;3;3;6;0,02;0,05;GE;7,4563612126873355;0,6270408197034719;-18,379580643600217;19,5;5,365621718185358;6,339959859903529;5,334401990825432;2,742857142857143;5,264863429720815
7;14;4;100;2;3;4;6;0,02;0,05;GE;7,664654566902907;0,687641772761471;-12,497477774402787;18,5;5,506724348753958;6,902417526231889;9,150827290337476;2,4000000000000004;5,982262198437589
8;21;3;50;2;3;3;6;0,02;0,05;GE;1,4683210663833197;0,09882719492235237;-23,73668954552657;29,666666666666668;1,3091878498276426;1,4374329568548176;1,8586032161021175;6,2285714285714295;2,12708630112373
9;21;3;50;2;3;4;6;0,02;0,05;GE;0,3152239177084848;0,037091920784845744;-22,980545283519692;29,0;0,5280537536779413;0,8644472780934473;2,3492046482388615;6,000000000000001;1,666037209351369
10;21;3;100;2;3;3;6;0,02;0,05;GE;10,281234733262412;0,828777113905869;-15,336967290191438;27,333333333333332;7,279254950881769;8,212341720667588;7,308510032932285;5,428571428571428;7,285647107926314
11;21;3;100;2;3;4;6;0,02;0,05;GE;14,182686175204774;0,920245665751486;-11,188682019226151;26,333333333333332;9,922186423980905;9,061291871076644;10,0;5,085714285714285;8,996408185687185
12;21;4;50;2;3;3;6;0,02;0,05;GE;0,4907691268913772;0,0597679830229436;-13,23372099471044;11,5;0,6469720499082938;1,074911378150594;8,67313804976156;0,0;1,823410993683947
13;21;4;50;2;3;4;6;0,02;0,05;GE;-0,4642802426071402;-0,05604634020255661;-13,266594292605944;11,5;0,0;0,0;8,651809200444118;0,0;1,2359727429205882
14;21;4;100;2;3;3;6;0,02;0,05;GE;9,339943738025791;0,9525212307498138;-12,479587559377824;16,0;6,641603134967555;9,36085215936146;9,162434817569364;1,542857142857143;7,050257954864585
15;21;4;100;2;3;4;6;0,02;0,05;GE;9,534987765036352;0,8103723094414709;-12,008551975556987;16,0;6,773730371535074;8,041520589218258;9,468052070283198;1,542857142857143;6,773591643740298
16;28;3;50;2;3;3;6;0,02;0,05;GE;13,896274028422832;1,0213850237184487;-12,482837031723166;31,0;9,728164355970488;10,0;9,16032649530017;6,685714285714286;9,290076264132272
17;28;3;50;2;3;4;6;0,02;0,05;GE;14,222682222943279;1,0046895268994052;-13,634376607708129;31,666666666666668;9,949280651588426;9,845043523159703;8,413184721532106;6,9142857142857155;9,266485633843216
18;28;3;100;2;3;3;6;0,02;0,05;GE;13,948010996843825;0,9700431523071722;-15,90189118892465;34,666666666666664;9,763212148874583;9,523478959954977;6,941976174656092;7,942857142857142;9,03163252629242
19;28;3;100;2;3;4;6;0,02;0,05;GE;11,686785170241185;0,8291826830173838;-13,466205519047326;33,333333333333336;8,231406616024632;8,216105942919658;8,522297467718936;7,4857142857142875;8,162063355335205
20;28;4;50;2;3;3;6;0,02;0,05;GE;5,445617938719627;0,5292602108791846;-12,605514341213127;19,0;4,003498733400516;5,432425402502525;9,0807310176241;2,5714285714285716;4,932500942037039
21;28;4;50;2;3;4;6;0,02;0,05;GE;7,946118676297443;0,7426849444434234;-11,611647773389638;18,0;5,6973945042938885;7,4132915691188375;9,725571408573993;2,2285714285714286;6,267558498323537
22;28;4;100;2;3;3;6;0,02;0,05;GE;4,736007901809691;0,415284246443696;-12,444853113416897;20,5;3,5227928402002653;4,37457644569561;9,184971216758164;3,085714285714286;4,512602416352066
23;28;4;100;2;3;4;6;0,02;0,05;GE;3,5490746329104264;0,3745471849004609;-12,662365385487712;18,5;2,718737390703106;3,9964821845912737;9,043844929689563;2,4000000000000004;3,9418602101402036
24;35;3;50;2;3;3;6;0,02;0,05;GE;14,297553280709556;0,9859077965365745;-19,111284277712507;35,333333333333336;10,0;9,67072401667643;4,859658124036843;8,171428571428573;8,910362104116896
25;35;3;50;2;3;4;6;0,02;0,05;GE;13,15709706312996;0,9911178989347826;-17,7177180842878;31,333333333333332;9,227429156562282;9,71908071551289;5,763831579584791;6,8;8,526325782899631
26;35;3;100;2;3;3;6;0,02;0,05;GE;11,112914508787723;0,8071191005758732;-19,43737774721521;36,0;7,842653646722398;8,01132647222357;4,64808219707833;8,4;7,514099440241809
27;35;3;100;2;3;4;6;0,02;0,05;GE;9,054848987178017;0,6469447322758685;-20,79016400785864;33,666666666666664;6,448473500767671;6,524694713917449;3,7703675727748776;7,6;6,252168214701827
28;35;4;50;2;3;3;6;0,02;0,05;GE;5,801005115291302;0,5549205713550651;-13,976571742711503;22,0;4,244246047079628;5,67058777028897;8,191161713836049;3,6;5,123582199378982
29;35;4;50;2;3;4;6;0,02;0,05;GE;8,269137300139818;0,8229823998408495;-12,027194953441384;20,5;5,916214628048948;8,15855904588141;9,455956135540395;3,085714285714286;6,658204628166336
30;35;4;100;2;3;3;6;0,02;0,05;GE;6,372602190428355;0,5813885788764629;-12,898956556140334;24,5;4,6314588375735735;5,916246179796142;8,890339873861961;4,457142857142857;5,582050229045403
31;35;4;100;2;3;4;6;0,02;0,05;GE;7,972667793946497;0,7270472103132031;-14,285517737985442;22,0;5,715379477235847;7,2681525407420216;7,990711409112415;3,6;6,181879274614857
32;42;3;50;2;3;3;6;0,02;0,05;GE;11,230899911601378;0,7487358298385565;-17,300165209014192;37,333333333333336;7,922579627886793;7,469451855497662;6,034748187558977;8,85714285714286;7,656933377051077
33;42;3;50;2;3;4;6;0,02;0,05;GE;13,179889865837817;0,7952477956478816;-19,585392395159584;36,0;9,24286951678031;7,90114493003429;4,552047350412964;8,4;8,068992251546067
34;42;3;100;2;3;3;6;0,02;0,05;GE;10,608657524592266;0,6225824444633546;-19,00635241221221;37,0;7,501058557332607;6,29858019165355;4,927740004807311;8,742857142857144;6,967276171852768
