;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;9,241320928163166;0,8925665969227621;-18,22345719701066;30,0
1;14;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;2,2633932727192274;0,19614409468412802;-24,740180164920712;27,0
2;21;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;7,3224019750243174;0,6618631399816284;-10,526073423632399;30,0
3;21;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;5,9852707125432;0,529080781480417;-11,837318031040667;34,0
4;28;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;-2,48183025261437;-0,20148507335895433;-35,503141102553;44,0
5;28;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;-4,514475623415814;-0,37091061930898495;-37,69587983132682;40,0
6;35;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;4,32597407030979;0,3499457769197089;-13,191096666404889;43,0
7;35;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;-2,2431864381893374;-0,2009604623050486;-29,538916218008005;37,0
8;42;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;-3,3670854492363955;-0,29261249020880314;-30,190477972614836;44,0
9;42;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;2,9024836693288147;0,2607223832454584;-19,52892388595905;38,0
10;49;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;5,182279413239277;0,43825217886143447;-18,416040527823196;48,0
11;49;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;-0,5162050795511575;-0,043116306021079555;-28,298601531302513;44,0
12;14;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;7,720547585348814;0,7533369231377299;-18,223445271112126;30,0
13;14;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;6,439138942885525;0,6259386733575452;-14,347488200003944;28,0
14;21;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;7,433793728752214;0,6761116869616548;-9,534747875096961;30,0
15;21;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;4,2964066783047095;0,39933773186077276;-14,80243200790633;33,0
16;28;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-3,041508453164621;-0,24465320450449202;-36,60334528192366;45,0
17;28;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-6,6376866438660365;-0,5738886499342816;-43,97185160994799;38,0
18;35;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-2,7740227853074395;-0,24214340793818975;-28,01534673041236;39,0
19;35;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-4,254593200315671;-0,3748515804377634;-36,48353111467332;35,0
20;42;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-5,099574053486322;-0,4372985907368156;-32,75131057345232;44,0
21;42;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-2,943009988338108;-0,2706490889197771;-31,993844449487284;40,0
22;49;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;3,127371952175828;0,28072115253814967;-20,67236219748658;42,0
23;49;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;0,671421593760968;0,06897783038795932;-20,5092960080699;35,0
24;14;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;7,349854829950542;0,7096557445862963;-11,240317210522422;23,0
25;14;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;3,0678550316280306;0,4292476904838549;-10,333619732710819;19,0
26;14;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;1,8212552417973482;0,27008554627700954;-13,500564076477739;13,0
27;14;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;2,4707166454190244;0,40055091632133627;-7,073362077463951;14,0
28;21;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;5,713259302020868;0,6564552243970165;-9,810137422125976;23,0
29;21;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;-3,060621988981793;-0,39165789954391184;-20,411804201514304;24,0
30;21;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;1,4044907656751038;0,21330932945768;-9,88570269219422;20,0
31;21;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;-1,2193488275311637;-0,17983391377046468;-15,629599695322483;19,0
32;28;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;6,413260045970981;0,6058564898997805;-10,508179562815434;31,0
33;28;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;4,740622519840398;0,443750439267206;-12,904500360286796;34,0
34;28;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;2,0580994560503107;0,20931551052536054;-10,961586204237339;23,0
35;28;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;3,7325749714522294;0,3676884953079309;-14,12751913645678;30,0
36;35;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;2,081155078654384;0,19873133292617837;-20,15669369867784;34,0
37;35;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;2,9205108221780796;0,3311090378241286;-17,261518935404162;30,0
38;35;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;2,928170681783193;0,3490181087463872;-15,32297731468889;23,0
39;35;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;0,23823045295181533;0,028866318354784586;-19,89113010197645;25,0
40;42;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;6,644973146221433;0,6196719179829226;-18,229423289057543;34,0
41;42;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;-0,548524614965995;-0,0626132245388843;-23,70128857720235;28,0
42;42;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;2,3775272390282876;0,2514811512186906;-25,756919450216444;30,0
43;42;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;-2,448454256487176;-0,27851673846045655;-24,77385787922809;24,0
44;49;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;7,04065576409223;0,655017267135135;-10,26342104633966;39,0
45;49;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;0,8004697934675953;0,089611238309273;-13,64864126243458;33,0
46;49;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;9,995686707878093;0,9754511896356922;-7,896039257250187;32,0
47;49;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_2_1x;1,598897644287245;0,20302424624004434;-11,762131320821823;26,0
48;14;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;4,993432051248314;0,5135961957424866;-14,560923767406031;23,0
49;14;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;3,33976258357378;0,47026919780024723;-10,333619732710819;19,0
50;14;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;1,8212552417973482;0,27008554627700954;-13,500564076477739;13,0
51;14;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;2,5649329828501655;0,42104072366563977;-7,073362077463951;14,0
52;21;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;4,622003852441536;0,517371031358618;-9,810151976662794;25,0
53;21;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;-1,2725372606461227;-0,1571799502565049;-12,306747014023301;23,0
54;21;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;1,535056024851067;0,21663645773384288;-8,827934218806677;20,0
55;21;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;1,080751370792843;0,15030664132769153;-11,866633622596002;18,0
56;28;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;1,004806172379813;0,1011556440549462;-16,35026249069429;33,0
57;28;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;4,261938948062061;0,3934555793145623;-14,775955608516222;35,0
58;28;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;0,19806315283981135;0,021703572376543353;-13,374199906159856;24,0
59;28;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;4,351682291021675;0,41029257191953966;-19,05966006233205;31,0
60;35;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;1,9299021478017986;0,202948197226687;-21,202417751411595;32,0
61;35;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;-0,185939533634627;-0,020929836109269313;-16,756929280053214;30,0
62;35;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;3,6815132322650657;0,4443672743292284;-17,880505066811423;21,0
63;35;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;-1,0471937440239887;-0,12327133298724313;-19,934108271777905;25,0
64;42;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;7,453640937482686;0,7025217158771917;-12,928473920856732;35,0
65;42;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;0,6052401015608222;0,06738726504057048;-18,39825060789091;27,0
66;42;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;7,871807712664336;0,8545394758769509;-9,733671678738853;28,0
67;42;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;-3,101292071872863;-0,3717109914426124;-25,785871229029933;21,0
68;49;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;5,29391960054304;0,5595700199348551;-15,499849219822403;33,0
69;49;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;2,787990097763804;0,3456475451414459;-11,656168213565099;27,0
70;49;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;5,143531137139057;0,6241286474400206;-13,235575686874935;28,0
71;49;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_2_1x;3,515952456797211;0,4834995846764616;-12,698051714878112;25,0
72;14;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;1,3720528236555118;0,1461153907987095;-9,165846390204546;12,0
73;14;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;2,7371692174327444;0,270585356721868;-12,386523076407464;14,0
74;14;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;0,3116296498022031;0,07315738204538137;-6,891225237786724;5,0
75;14;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;3,373903183121474;0,4663220079456038;-9,424292350247299;11,0
76;21;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;5,438481944711748;0,4875532605950742;-14,441384259036194;15,0
77;21;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;-4,615485955015375;-0,566933699539568;-23,143847223138614;15,0
78;21;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;1,8569666597882506;0,2146629660171883;-7,709201553116751;10,0
79;21;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;-5,157403335744915;-1,0453719786278521;-16,44028223839452;9,0
80;28;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;1,2760643999589982;0,19268791905404575;-9,746671851320665;11,0
81;28;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;0,4989902541948421;0,05717444780796123;-9,74392308316303;16,0
82;28;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;-3,1723468097479612;-0,6977169456982025;-11,990803889539182;7,0
83;28;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;-2,2973606975607685;-0,3778610646927433;-13,217062742585862;9,0
84;35;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;7,543974483467575;0,7553126403335322;-7,286174337839924;15,0
85;35;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;8,118538768444994;0,7846523701965658;-8,092235337538057;17,0
86;35;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;1,9712680257351733;0,22005406688580473;-10,807216120523034;13,0
87;35;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;7,13685593816753;0,7084148075951815;-7,619774369436449;16,0
88;42;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;4,632198854281833;0,5060009934685352;-8,310098904168894;19,0
89;42;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;11,48506487035743;0,9861827287506246;-7,6296087320186885;19,0
90;42;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;2,0297577197156746;0,2899651936146252;-6,771755882820063;12,0
91;42;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;6,45784469149282;0,6066871904932402;-8,093567217073838;14,0
92;49;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;5,246598627422094;0,5300522251495775;-9,584739781472052;16,0
93;49;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;4,575421630424525;0,49380007315390595;-8,837648824056954;14,0
94;49;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;5,2730016472323005;0,5265637764950233;-9,584718399969717;9,0
95;49;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_3_1x;4,255088524443629;0,4499914426558679;-12,612847618484647;12,0
96;14;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;2,2938198392207676;0,2485147307825987;-8,892141040712499;11,0
97;14;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;3,9465790568974146;0,41663949877169915;-8,542226816813415;13,0
98;14;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;2,276361550440553;0,5024840240141094;-6,89122202311615;5,0
99;14;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;4,473663878985268;0,7220791438444252;-6,89124905837356;10,0
100;21;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;3,8714081987607063;0,3514856693464367;-15,02723286200711;16,0
101;21;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;-5,286300063291183;-0,6570249246572825;-22,84373902590704;15,0
102;21;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;1,7883777048161908;0,20860749269148943;-8,982830124880925;9,0
103;21;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;-5,326033611219239;-1,1195390815072326;-17,22846830630659;9,0
104;28;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;0,08212670206428907;0,012168545768248802;-8,8254754679837;12,0
105;28;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;5,004425054883832;0,5738828847103897;-9,215915355574634;15,0
106;28;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;-2,4069774239166897;-0,473541032106482;-11,07829222917095;9,0
107;28;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;0,41738568068623305;0,06808968422321508;-9,722206215737582;9,0
108;35;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;6,109701795707312;0,5538392636615171;-8,990033692773892;15,0
109;35;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;5,184637737307107;0,5703500527223943;-10,624312464336372;13,0
110;35;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;1,245787144857502;0,13444913778411713;-10,498999998017656;12,0
111;35;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;3,891320003340537;0,4193807928300287;-10,624308979101615;13,0
112;42;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;3,222819304111546;0,37199279320984313;-8,310072363288201;18,0
113;42;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;6,132435879728737;0,6798172259890227;-6,665859299565325;16,0
114;42;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;-1,4741579155366002;-0,21361778608976967;-10,830493291348764;11,0
115;42;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;3,309215033707269;0,34333394189891897;-10,247552316412346;13,0
116;49;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;0,7382303167184912;0,09540394262286944;-7,727814916744702;11,0
117;49;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;7,380303171994318;0,7722653540359719;-7,707331667061313;12,0
118;49;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;6,162004577154456;0,7651041874248778;-7,727794591113724;8,0
119;49;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_3_1x;6,826151377383161;0,6721024945171395;-14,126669415267457;12,0
