;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;start_date;end_date;final_balance;return_acum;return_ann;sharpe_ratio;sortino_ratio;volatility;max_drawdown;trades;win_rate;profit_factor;avg_trade_return
0;14;3;50;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;14517207,479768455;45,17207479768455;6,654649362989362;0,6866412147829091;1,1169148620189013;9,69159616364322;-11,198291097054902;22;59,09090909090909;2,5764229416630315;1,7087521670758443
1;14;3;100;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;16082347,55151856;60,8234755151856;8,558875454135428;0,922505747824913;1,5585548030598049;9,277855963841496;-13,816316835220155;25;68,0;2,7552662859615014;1,918724766283475
2;14;4;50;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;12133377,126648499;21,333771266484987;3,398765806328652;0,42265821030696776;0,6429314551358075;8,041404906958272;-13,135563114153136;18;50,0;1,8196839221390932;1,0800981204338589
3;14;4;100;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;12123947,617185831;21,23947617185831;3,384872506485337;0,41877512388263816;0,6394286493154966;8,082792681434317;-15,90768960831439;19;52,63157894736842;1,6452126366259903;1,0188271542549199
4;21;3;50;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;18159899,86150698;81,59899861506979;10,862595146263509;0,7946913920159786;1,485952293431981;13,668947789540292;-9,46268206758184;30;63,33333333333333;3,03738129025826;2,008677666849823
5;21;3;100;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;14735561,031511828;47,355610315118284;6,930208355209189;0,6046975722198024;1,0504765952486281;11,46061878464119;-11,109099703236502;26;53,84615384615385;2,446351391888524;1,5022442284008841
6;21;4;50;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;15558240,068708092;55,58240068708093;7,938990642982358;0,6769294157295332;1,1171037954500147;11,727944536767444;-9,69804266248141;24;62,5;2,6092940587021802;1,8587539835614342
7;21;4;100;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;12594301,432895424;25,943014328954238;4,067240592799726;0,4204984396697066;0,6532722451131947;9,672427312677936;-11,10910401626568;19;52,63157894736842;2,10284902063328;1,2213960165706306
8;28;3;50;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;14341568,405571481;43,415684055714806;6,430496325408286;0,4680762203018093;0,8521816828793629;13,738139316844569;-17,830588009150084;40;47,5;1,6059768338167193;0,9055187191363334
9;28;3;100;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;12984632,22249442;29,846322224944196;4,61768971903993;0,3630602370820327;0,6269107754832427;12,718797729415277;-21,325147864981208;33;51,515151515151516;1,547868502088458;0,794599489312442
10;28;4;50;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;16692674,63641757;66,9267463641757;9,260018970832329;0,6888529919291523;1,3830346308443553;13,442663499071672;-17,061497037762507;36;52,77777777777778;2,1513200606465;1,4334691518543385
11;28;4;100;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;13748533,490162248;37,48533490162248;5,656486298314367;0,46505027080497574;0,8201397792089243;12,163171711572835;-15,51218294926251;29;55,172413793103445;1,7722963519605486;1,1037965401055505
12;35;3;50;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;18028633,688459396;80,28633688459396;10,723673619260833;0,9119770193880227;1,5322697422124927;11,758710352654386;-17,24948695177361;39;64,1025641025641;2,4439690381200774;1,5226986272035115
13;35;3;100;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;13485666,9281746;34,856669281746;5,304537860222003;0,5717680754166035;0,8887376297501913;9,277429237994783;-12,898748071479648;31;58,06451612903226;1,8475449578046264;0,9693208247240959
14;35;4;50;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;16684808,190040851;66,8480819004085;9,251117913329953;0,8360525034564729;1,390168798998228;11,065235586381556;-13,491934008132034;30;63,33333333333333;2,520479393850705;1,721021980528481
15;35;4;100;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;13627430,406431196;36,27430406431196;5,495040861447964;0,7075196641315588;1,1168952531282945;7,766626342736102;-9,92309233132066;24;62,5;2,196330164090825;1,2979333423938089
16;42;3;50;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;24310607,43418692;143,1060743418692;16,595222990443492;1,2514460726730623;2,545908165082581;13,260837484588087;-17,143953553051272;46;71,73913043478261;3,5232881573078276;1,949915269095559
17;42;3;100;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;15815036,772251908;58,15036772251908;8,244838325125414;0,6712899925757025;1,1218347876726367;12,282081390027022;-25,90010571927206;36;55,55555555555556;2,025206655875263;1,2814087202060342
18;42;4;50;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;20121580,81747096;101,21580817470961;12,845645970430342;1,190595904237183;2,4467739019745594;10,789257652167526;-14,365767684482833;30;73,33333333333333;5,271982213397804;2,3580664499712745
19;42;4;100;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;18427774,83205776;84,2777483205776;11,14353466768192;0,9356005359161562;1,6941371091025643;11,91056892327448;-15,92073479992716;29;62,06896551724138;3,4674413459689473;2,130214833882782
20;49;3;50;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;16251747,703070074;62,51747703070074;8,755658974905089;0,5967732464147076;1,0233558422391473;14,671668054000927;-17,294535353885266;50;50,0;1,9041597462452626;0,9759628063824133
21;49;3;100;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;11277525,133995222;12,77525133995222;2,0997333933720608;0,16128989032593655;0,2408444666039633;13,018381927899474;-20,64176193089391;39;41,02564102564102;1,2230478186618579;0,3087495040993371
22;49;4;50;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;15516653,225307057;55,166532253070564;7,889068009870415;0,5748234168967978;0,9774415758236165;13,72433303510806;-14,11411456390923;36;55,55555555555556;2,069176725422483;1,2278347339141238
23;49;4;100;2;3;3;6;0,02;0,05;NEE;2008-01-15;2013-10-29;13443317,370177804;34,43317370177804;5,247306861625045;0,435751440568327;0,7069600528215524;12,041972494184453;-15,262622199119392;33;48,484848484848484;1,6487378413519203;0,900690422881878
24;14;3;50;2;3;4;6;0,02;0,05;NEE;2008-01-15;2013-10-29;12821721,409453709;28,217214094537084;4,389637977522676;0,4798297637444991;0,7480311570773175;9,148323653928397;-16,392738352954396;23;52,17391304347826;1,8569347455394507;1,0865373376557574
25;14;3;100;2;3;4;6;0,02;0,05;NEE;2008-01-15;2013-10-29;14291238,479059597;42,91238479059597;6,365846109173878;0,7163738262951026;1,1520833915719837;8,886206999069694;-15,90768960831439;25;60,0;2,142084777717718;1,4384956260573123
26;14;4;50;2;3;4;6;0,02;0,05;NEE;2008-01-15;2013-10-29;11140483,288293371;11,404832882933711;1,8842070240163933;0,25438137658370463;0,37321660095423115;7,407016383514191;-17,858371908667394;18;44,44444444444444;1,4158018762149325;0,6018073688386139
27;14;4;100;2;3;4;6;0,02;0,05;NEE;2008-01-15;2013-10-29;12153053,8912897;21,530538912896997;3,4277285214392217;0,4218949990203528;0,6468878597397903;8,12460097749076;-15,90768960831439;19;52,63157894736842;1,6527348595512736;1,0315771154203235
28;21;3;50;2;3;4;6;0,02;0,05;NEE;2008-01-15;2013-10-29;19881877,567661505;98,81877567661506;12,612144462664787;0,9551242111991167;1,864298208777859;13,204716532974063;-8,129176193138854;29;65,51724137931035;3,878243375246749;2,3980386661578645
