;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;56;3;50;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;11,204479535542644;0,6583679677157789;-17,39093448238108;56,0
1;56;3;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;5,898820971498742;0,37540464513311994;-15,429429405947337;53,0
2;56;4;50;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;15,201802403980835;0,956102440277033;-18,431904187955585;43,0
3;56;4;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;1,9668751945947083;0,1479292481223738;-13,49520147094494;41,0
4;63;3;50;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;28,877525876134058;1,4097888073258134;-14,738431262537821;59,0
5;63;3;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;20,0408813740675;1,2332684546135049;-17,825268106396496;46,0
6;63;4;50;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;12,919950652028112;0,8681370903576078;-20,542726677708067;42,0
7;63;4;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;11,924037041895241;0,8061238841790107;-16,936596034387406;36,0
8;56;3;50;2;3;4;6;0,02;0,05;GE;in_sample_1_1x;17,852622441437415;1,0955450727081686;-18,69597740697341;50,0
9;56;3;100;2;3;4;6;0,02;0,05;GE;in_sample_1_1x;12,689822795875848;0,7875140760403037;-18,210145091543072;48,0
10;56;4;50;2;3;4;6;0,02;0,05;GE;in_sample_1_1x;12,760129221712502;0,860566258730648;-12,60779128164965;39,0
11;56;4;100;2;3;4;6;0,02;0,05;GE;in_sample_1_1x;8,35457726806732;0,6190667632056944;-15,585848376503886;35,0
12;63;3;50;2;3;4;6;0,02;0,05;GE;in_sample_1_1x;19,849653485085827;1,0793165520097703;-13,031480093703351;48,0
13;63;3;100;2;3;4;6;0,02;0,05;GE;in_sample_1_1x;9,841950978162783;0,6351403573242129;-20,006392926463423;38,0
14;63;4;50;2;3;4;6;0,02;0,05;GE;in_sample_1_1x;10,900344212717105;0,7606789274115136;-11,629975011597104;34,0
15;63;4;100;2;3;4;6;0,02;0,05;GE;in_sample_1_1x;6,726296016704025;0,4652021765657451;-20,759073394518857;30,0
16;56;3;50;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;21,6422213794502;0,9937609643278993;-19,82343489331835;61,0
17;56;3;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;11,298410018460881;0,6392473375424663;-18,522415069292506;52,0
18;56;4;50;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;7,526552646176965;0,5082572066087819;-26,24611301138141;40,0
19;56;4;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;8,523978351094152;0,6145595607270885;-16,299318328749525;37,0
20;63;3;50;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;17,441806392294602;0,8123644156982358;-19,809455319366897;70,0
21;63;3;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;12,819747780640188;0,7579229153098206;-15,860854394098578;51,0
22;63;4;50;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;6,4424782587219065;0,3865783481339021;-15,946967572961078;50,0
23;63;4;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;2,7513031704959223;0,18286997299566526;-23,1303082425821;42,0
24;56;3;50;2;3;4;6;0,02;0,05;GE;in_sample_2_1x;20,212147786760994;1,048926883453277;-22,843054340942338;55,0
25;56;3;100;2;3;4;6;0,02;0,05;GE;in_sample_2_1x;16,77485724496075;0,9355972316208975;-19,056054778868013;48,0
26;56;4;50;2;3;4;6;0,02;0,05;GE;in_sample_2_1x;10,106930186930875;0,7161082407616571;-18,830430157000688;39,0
27;56;4;100;2;3;4;6;0,02;0,05;GE;in_sample_2_1x;13,057487012216583;0,9687806344466469;-15,155558714518335;34,0
28;63;3;50;2;3;4;6;0,02;0,05;GE;in_sample_2_1x;19,36728506835419;0,9731688832988673;-15,300888419219582;58,0
29;63;3;100;2;3;4;6;0,02;0,05;GE;in_sample_2_1x;9,115563508279422;0,6344713569732431;-30,26275608266067;43,0
30;63;4;50;2;3;4;6;0,02;0,05;GE;in_sample_2_1x;0,9254750604467343;0,07511957239975836;-21,065726348537673;39,0
31;63;4;100;2;3;4;6;0,02;0,05;GE;in_sample_2_1x;-0,8936770032352603;-0,07253730290870379;-27,475236591924435;36,0
32;56;3;50;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;5,348466969872545;0,3406318435445132;-14,966144258582958;38,0
33;56;3;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;14,942092184107825;0,910418855918633;-12,373104191459138;29,0
34;56;4;50;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;10,869105330369578;0,7994785542341746;-14,96611057159929;24,0
35;56;4;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;9,085074186201458;0,6923630315367836;-12,630994913384441;22,0
36;63;3;50;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;-4,907179912415016;-0,3332783079731671;-39,983546779333345;34,0
37;63;3;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;0,8199912464196712;0,05340037506436867;-27,53741051220865;24,0
38;63;4;50;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;5,364658406534661;0,3342016664225272;-30,639409049453825;31,0
39;63;4;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;0,8489089036524344;0,05813789157745263;-29,883328814132724;22,0
40;56;3;50;2;3;4;6;0,02;0,05;GE;in_sample_3_1x;10,608338590018107;0,6233541183231469;-16,610288105764013;33,0
41;56;3;100;2;3;4;6;0,02;0,05;GE;in_sample_3_1x;14,292245162541617;0,8759715856746576;-12,842841789325332;28,0
42;56;4;50;2;3;4;6;0,02;0,05;GE;in_sample_3_1x;15,352227514079985;1,0444943908584312;-10,160090721686455;22,0
43;56;4;100;2;3;4;6;0,02;0,05;GE;in_sample_3_1x;9,431663688859814;0,6371077516474299;-17,786498342443547;23,0
44;63;3;50;2;3;4;6;0,02;0,05;GE;in_sample_3_1x;-3,3988075317325728;-0,25244895903030096;-32,866663247209395;26,0
45;63;3;100;2;3;4;6;0,02;0,05;GE;in_sample_3_1x;-4,016935962705059;-0,2949326112059407;-28,044378626645727;21,0
46;63;4;50;2;3;4;6;0,02;0,05;GE;in_sample_3_1x;2,7323658892944858;0,19579416171284997;-23,980587654550167;22,0
47;63;4;100;2;3;4;6;0,02;0,05;GE;in_sample_3_1x;-3,4453009243117227;-0,27343661099000927;-31,952356377102863;19,0
