;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;56;3;50;2;3;3;6;0,02;0,05;WM;9,089142278279098;0,6245658391509561;-13,432075721744674;42,666666666666664;7,423902616431628;5,682281438444141;10,0;10,0;7,662324389454739
1;56;3;50;2;3;4;6;0,02;0,05;WM;8,650345266089515;0,6913749799726076;-14,921440302711027;34,666666666666664;6,730654056661371;7,4332917690335405;8,25497010366546;4,782608695652173;6,870874929624118
2;56;3;100;2;3;3;6;0,02;0,05;WM;10,719702946726521;0,7077094543135445;-14,439748960103023;40,333333333333336;10,0;7,861404344108877;8,81934890278468;8,47826086956522;9,002916922938237
3;56;3;100;2;3;4;6;0,02;0,05;WM;9,941073991012908;0,7429108599491422;-14,555055435575518;34,333333333333336;8,769856249817247;8,784003020893895;8,684248840978514;4,56521739130435;8,161005860503199
4;56;4;50;2;3;3;6;0,02;0,05;WM;8,435793259171623;0,6616192488692586;-14,065945863779518;32,333333333333336;6,3916866852805825;6,653419555210384;9,257319287446107;3,260869565217394;6,428584002703716
5;56;4;50;2;3;4;6;0,02;0,05;WM;6,39285608094989;0,5480746104693207;-13,624195670241898;28,0;3,1640820818758755;3,677511881856557;9,774900613258586;0,434782608695653;3,86527903304214
6;56;4;100;2;3;3;6;0,02;0,05;WM;5,678876719158765;0,4678323784211374;-15,599629197293217;30,333333333333332;2,0360772173998742;1,5744317413559934;7,460362852001047;1,956521739130435;2,6677113894347273
7;56;4;100;2;3;4;6;0,02;0,05;WM;6,761371310142383;0,5229122742892995;-15,250589617665577;27,333333333333332;3,7462935482126714;3,018028612784166;7,869318798206693;0,0;3,592036666916148
8;63;3;50;2;3;3;6;0,02;0,05;WM;8,25994261907188;0,6273312304932164;-16,672738334264057;42,0;6,113863000074737;5,7547599757949905;6,203043086259835;9,56521739130435;6,517052775625482
9;63;3;50;2;3;4;6;0,02;0,05;WM;7,2066676244909;0,6385438680651965;-21,966970075673995;34,0;4,449810254155369;6,0486335981800465;0,0;4,347826086956523;4,256360577968961
10;63;3;100;2;3;3;6;0,02;0,05;WM;6,683740504690665;0,48939961220051514;-17,37592113883397;38,666666666666664;3,623645848756693;2,1396904572365067;5,379151453381944;7,391304347826086;3,988682037421589
11;63;3;100;2;3;4;6;0,02;0,05;WM;4,390125971694643;0,40776052728195866;-18,147982572085425;31,333333333333332;0,0;0,0;4,474557440573793;2,608695652173913;1,011893298963958
12;63;4;50;2;3;3;6;0,02;0,05;WM;10,712510796191813;0,7893067674983895;-14,651434303741377;35,333333333333336;9,988637233478512;10,0;8,571325512148453;5,217391304347828;9,107804073847403
13;63;4;50;2;3;4;6;0,02;0,05;WM;9,046044313861247;0,7883920290381151;-13,686578155478534;28,333333333333332;7,355812814241278;9,976025488817411;9,701809509081162;0,6521739130434783;7,481924691783327
14;63;4;100;2;3;3;6;0,02;0,05;WM;8,080630438543162;0,6382142909565724;-15,29030707149928;33,0;5,830570481102226;6,039995664585495;7,822783419809868;3,6956521739130443;5,870019766600083
15;63;4;100;2;3;4;6;0,02;0,05;WM;5,852355034857156;0,5293037787955243;-17,297152468506095;29,333333333333332;2,3101529042628446;3,185544468859675;5,471441606090877;1,3043478260869565;2,8681910118122453
