;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;35;2;50;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;38,83284504898832;1,1251295843299598;-27,299242596257955;91,0
1;35;2;100;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;39,534982605550596;1,1458818327321647;-15,03978817417233;86,0
2;42;2;50;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;49,49728454758764;1,3575106896104074;-16,306547627117208;88,0
3;42;2;100;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;26,208103848920782;0,8506719862594091;-24,729796086223498;81,0
4;49;2;50;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;32,06917384414716;0,9211569706927598;-21,40340638339492;93,0
5;49;2;100;2;3;3;6;0,02;0,05;ADBE;in_sample_1_1x;31,67268401346035;1,0584582607787298;-20,564971741043216;81,0
6;35;2;50;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;51,16206058067807;1,3423753359718822;-14,776002166080781;88,0
7;35;2;100;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;36,26118025500497;1,0660075956013852;-26,34656047029631;84,0
8;42;2;50;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;44,69333446841504;1,2299512518982818;-19,594383138558904;85,0
9;42;2;100;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;30,447504091881726;1,0056493019457735;-27,254522450842977;73,0
10;49;2;50;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;35,481863702102046;1,0911133653178786;-23,37177654400734;89,0
11;49;2;100;2;3;4;6;0,02;0,05;ADBE;in_sample_1_1x;6,52860919376308;0,29592918892333053;-24,3271350686742;74,0
12;35;2;50;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;19,279379809901222;0,8088663466217375;-26,307794073367784;85,0
13;35;2;100;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;13,13300510084714;0,6951721687105792;-17,928102008148294;68,0
14;42;2;50;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;22,88375712110795;0,8191978408137639;-19,802971974464977;91,0
15;42;2;100;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;20,39539239358239;0,8439258590859813;-22,20908678963508;74,0
16;49;2;50;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;18,41130548818446;0,7722833692844164;-25,82099271349164;87,0
17;49;2;100;2;3;3;6;0,02;0,05;ADBE;in_sample_2_1x;-4,1021788965288515;-0,23130576524420265;-36,2890736146065;64,0
18;35;2;50;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;27,2426430619662;1,103523406310466;-14,162214387312899;77,0
19;35;2;100;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;10,712250956841562;0,5951332185077509;-18,622715981627323;64,0
20;42;2;50;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;14,923811462534676;0,6121060650121353;-26,038448127812185;87,0
21;42;2;100;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;19,138684041915145;0,8263650438245914;-22,20907603280635;67,0
22;49;2;50;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;8,414375154162347;0,40871882592484127;-22,16179224311654;74,0
23;49;2;100;2;3;4;6;0,02;0,05;ADBE;in_sample_2_1x;-5,397886516536876;-0,3136938554426329;-51,0927667455531;70,0
24;35;2;50;2;3;3;6;0,02;0,05;ADBE;in_sample_3_1x;4,126574932911797;0,2566314477666948;-22,282262945191345;38,0
25;35;2;100;2;3;3;6;0,02;0,05;ADBE;in_sample_3_1x;12,70668623238247;0,7781943628806045;-17,43924329574359;35,0
26;42;2;50;2;3;3;6;0,02;0,05;ADBE;in_sample_3_1x;3,8809842219140966;0,2966446182331774;-14,225789033048319;34,0
27;42;2;100;2;3;3;6;0,02;0,05;ADBE;in_sample_3_1x;7,0147677388539;0,507085437073465;-14,739901936342214;31,0
28;49;2;50;2;3;3;6;0,02;0,05;ADBE;in_sample_3_1x;23,29494012439486;1,234898104564446;-11,121249500515829;34,0
29;49;2;100;2;3;3;6;0,02;0,05;ADBE;in_sample_3_1x;8,52888300512593;0,5828639205468763;-17,56205110869573;28,0
30;35;2;50;2;3;4;6;0,02;0,05;ADBE;in_sample_3_1x;2,8092431494090686;0,17633777922802127;-22,770093362610368;39,0
31;35;2;100;2;3;4;6;0,02;0,05;ADBE;in_sample_3_1x;10,911777082220752;0,7104911442029801;-15,85870221381278;31,0
32;42;2;50;2;3;4;6;0,02;0,05;ADBE;in_sample_3_1x;2,843259568392087;0,25360417669366336;-18,905068472612985;28,0
33;42;2;100;2;3;4;6;0,02;0,05;ADBE;in_sample_3_1x;1,806490689611473;0,1461901439537848;-16,659716199670648;31,0
34;49;2;50;2;3;4;6;0,02;0,05;ADBE;in_sample_3_1x;12,22960517720173;0,7729363911249213;-15,81629288973656;32,0
35;49;2;100;2;3;4;6;0,02;0,05;ADBE;in_sample_3_1x;6,681598347519269;0,4938851236382742;-18,13190801497342;25,0
