;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;35;2;50;2;3;3;6;0,02;0,05;AFL;in_sample_1_1x;6,747873361443668;0,36993122714392634;-33,923138449893756;63,0
1;35;2;100;2;3;3;6;0,02;0,05;AFL;in_sample_1_1x;12,260671162924574;0,6872321885082454;-16,43431302733901;56,0
2;42;2;50;2;3;3;6;0,02;0,05;AFL;in_sample_1_1x;9,660088336052475;0,46310733201939897;-24,425739120274002;70,0
3;42;2;100;2;3;3;6;0,02;0,05;AFL;in_sample_1_1x;6,696790558447474;0,37782103966649394;-21,387382050084092;57,0
4;49;2;50;2;3;3;6;0,02;0,05;AFL;in_sample_1_1x;12,856269474200488;0,611450840948673;-18,21056573784139;68,0
5;49;2;100;2;3;3;6;0,02;0,05;AFL;in_sample_1_1x;4,08086681693185;0,25081948005154775;-33,42845229900552;53,0
6;35;2;50;2;3;4;6;0,02;0,05;AFL;in_sample_1_1x;11,255808708913895;0,606356905332233;-28,962410372083458;60,0
7;35;2;100;2;3;4;6;0,02;0,05;AFL;in_sample_1_1x;6,7234349004196;0,4002787676644388;-18,430223728404194;58,0
8;42;2;50;2;3;4;6;0,02;0,05;AFL;in_sample_1_1x;7,304205291273824;0,3828468234938216;-34,45951485407522;65,0
9;42;2;100;2;3;4;6;0,02;0,05;AFL;in_sample_1_1x;9,202843338967481;0,5700419000619664;-15,823845395577052;54,0
10;49;2;50;2;3;4;6;0,02;0,05;AFL;in_sample_1_1x;11,399061248676068;0,5676038967055362;-16,67928544853119;65,0
11;49;2;100;2;3;4;6;0,02;0,05;AFL;in_sample_1_1x;10,402135844800364;0,6268927175989064;-21,742304352588913;49,0
12;35;2;50;2;3;3;6;0,02;0,05;AFL;in_sample_2_1x;35,131878992950625;0,9987470439955861;-15,288635428124275;79,0
13;35;2;100;2;3;3;6;0,02;0,05;AFL;in_sample_2_1x;16,312203383863366;0,7241899479999954;-14,41668387454027;67,0
14;42;2;50;2;3;3;6;0,02;0,05;AFL;in_sample_2_1x;21,214121861016988;0,7902545852237153;-39,941389513884786;86,0
15;42;2;100;2;3;3;6;0,02;0,05;AFL;in_sample_2_1x;15,387318207255651;0,6535738472030662;-32,335301247579714;69,0
16;49;2;50;2;3;3;6;0,02;0,05;AFL;in_sample_2_1x;31,245125389701766;0,8555732450715371;-18,776212960362805;84,0
17;49;2;100;2;3;3;6;0,02;0,05;AFL;in_sample_2_1x;22,776908552178977;0,6791939013478802;-36,108744766618614;79,0
18;35;2;50;2;3;4;6;0,02;0,05;AFL;in_sample_2_1x;35,168101665050024;1,0009487347632016;-13,58309350085415;75,0
19;35;2;100;2;3;4;6;0,02;0,05;AFL;in_sample_2_1x;23,34067813136802;0,8442889793907876;-15,624459290086712;65,0
20;42;2;50;2;3;4;6;0,02;0,05;AFL;in_sample_2_1x;25,318868100524796;0,787707582419972;-27,767903647903925;82,0
21;42;2;100;2;3;4;6;0,02;0,05;AFL;in_sample_2_1x;14,846281076076483;0,5215890668508909;-34,264666639310434;69,0
22;49;2;50;2;3;4;6;0,02;0,05;AFL;in_sample_2_1x;32,502467957333245;0,8973632408813735;-26,230263814350185;78,0
23;49;2;100;2;3;4;6;0,02;0,05;AFL;in_sample_2_1x;14,859702322509815;0,6334130071231805;-27,790995831469345;70,0
24;35;2;50;2;3;3;6;0,02;0,05;AFL;in_sample_3_1x;7,4335993820418;0,6578684396830508;-14,10952554389434;34,0
25;35;2;100;2;3;3;6;0,02;0,05;AFL;in_sample_3_1x;-0,6031551889139952;-0,057647636810008326;-15,14071467528102;21,0
26;42;2;50;2;3;3;6;0,02;0,05;AFL;in_sample_3_1x;13,249974625379778;1,0651538175561779;-10,349239945562584;32,0
27;42;2;100;2;3;3;6;0,02;0,05;AFL;in_sample_3_1x;11,263008759749859;0,947766819053386;-11,099259321485889;26,0
28;49;2;50;2;3;3;6;0,02;0,05;AFL;in_sample_3_1x;-0,07559148334322918;-0,0070474761643858855;-14,812261983565877;33,0
29;49;2;100;2;3;3;6;0,02;0,05;AFL;in_sample_3_1x;-4,079022951728595;-0,43459485212939064;-17,08619348487488;25,0
30;35;2;50;2;3;4;6;0,02;0,05;AFL;in_sample_3_1x;0,6226088956891251;0,0536401292613375;-27,200161755603258;35,0
31;35;2;100;2;3;4;6;0,02;0,05;AFL;in_sample_3_1x;-0,684675091440945;-0,07128943478708838;-17,5348348372932;23,0
32;42;2;50;2;3;4;6;0,02;0,05;AFL;in_sample_3_1x;7,883285158643938;0,7541626310427255;-11,736835332192442;29,0
33;42;2;100;2;3;4;6;0,02;0,05;AFL;in_sample_3_1x;11,26610548927287;0,9796762079549113;-11,128840845357878;25,0
34;49;2;50;2;3;4;6;0,02;0,05;AFL;in_sample_3_1x;-0,09163643200017502;-0,009028145661125867;-16,059772968579423;26,0
35;49;2;100;2;3;4;6;0,02;0,05;AFL;in_sample_3_1x;-0,9922875733789471;-0,10435545514483772;-14,143222905371333;22,0
